,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-10-31,929.76900,201.76500,728.00400,241.39500,506.40100,747.79600,-19.79210,-8.47300,-28.26500,4.35500,-32.62000,-32.62000,-32.62000,35.93100,-19.79210,163.04400,163.04400,-0.20000,-0.20000
2022-07-31,798.75300,206.79100,591.96200,257.05700,525.00300,782.06000,-190.09800,-11.67100,-201.76900,7.94300,-209.71200,-209.71200,-209.71200,-134.91100,-190.09800,161.78700,161.78700,-1.30000,-1.30000
2022-04-30,674.08100,202.15600,471.92500,255.69100,507.92100,763.61200,-291.68700,-9.28100,-300.96800,3.35400,-304.32200,-304.32200,-304.32200,-239.86400,-291.68700,160.33900,160.33900,-1.90000,-1.90000
2022-01-31,901.11910,190.36600,710.75320,257.52190,531.91690,789.43890,-78.68570,-52.73600,-131.42190,9.40100,-140.82280,-140.82280,-140.82300,22.46830,-78.68580,161.62800,161.62800,-0.92000,-0.92000
2021-10-31,664.75100,188.29000,476.46100,265.14500,499.68200,764.82700,-288.36600,-49.42400,-337.79000,5.53200,-343.32200,-343.32200,-343.32200,-191.07000,-288.36600,160.20200,160.20200,-2.14000,-2.14000
2021-07-31,605.74300,183.40700,422.33600,259.70900,507.05700,766.76600,-344.43010,-37.36000,-381.79000,2.16100,-383.95100,-383.95100,-383.95100,-252.70610,-344.43010,164.01800,164.01800,-2.34000,-2.34000
2021-04-30,502.05100,171.90600,330.14500,247.19800,518.29400,765.49200,-435.34700,-34.43400,-469.78100,1.22000,-471.00100,-471.00100,-471.00100,-340.67900,-435.34700,163.16900,163.16900,-2.89000,-2.89000
2021-01-31,745.07800,149.89600,595.18200,211.38300,470.39700,681.78000,-86.59800,-49.27600,-135.87400,3.67400,-139.54800,-139.54800,-139.54800,9.99900,-86.59810,159.74400,159.74400,-0.84000,-0.84000
2020-10-31,558.57200,136.78000,421.79200,190.22200,397.08700,587.30900,-165.51700,-32.30000,-197.81700,3.71400,-201.53100,-201.53100,-201.53100,-75.91900,-165.51700,160.51500,160.51500,-1.26000,-1.26000
2020-07-31,491.65800,132.05200,359.60600,197.29700,401.76800,599.06500,-239.45900,-20.65000,-260.10900,1.21300,-261.32200,-261.32200,-261.32200,-158.70400,-239.45900,158.95200,158.95200,-1.64000,-1.64000
2020-04-30,434.07700,128.61700,305.46000,192.12400,401.94800,594.07200,-288.61200,-18.63600,-307.24800,-1.66900,-305.57900,-305.57900,-305.57900,-220.82400,-288.61200,157.53400,157.53400,-1.94000,-1.94000
2020-01-31,791.18210,127.83800,663.34410,197.51300,473.60010,671.11290,-7.76870,-16.95200,-24.72100,-1.99300,-22.72800,-22.72800,-22.72800,63.76730,-7.76890,151.94900,151.94900,-0.13000,-0.13000
2019-10-31,626.33600,107.81900,518.51700,158.88700,407.11500,566.00200,-47.48510,-12.00900,-59.49400,-1.85500,-57.63900,-57.63900,-57.63900,13.03100,-47.48510,152.40400,152.40400,-0.38000,-0.38000
2019-07-31,516.55800,98.30800,418.25000,134.11000,371.03700,505.14700,-86.89700,-8.34300,-95.24000,5.63200,-100.87200,-100.87200,-100.87200,-29.23100,-86.89700,150.30600,150.30600,-0.67000,-0.67000
2019-04-30,424.85000,95.82300,329.02700,129.29000,344.72300,474.01300,-144.98600,-7.21000,-152.19600,3.23300,-155.42900,-155.42900,-155.42900,-82.53400,-144.98600,149.06000,149.06000,-1.04000,-1.04000
2019-01-31,622.08500,93.73300,528.35200,131.15100,373.04400,504.19510,24.15690,-10.28200,13.87500,11.74900,2.12600,2.12600,2.12600,80.44390,24.15690,145.70700,145.70700,0.03000,0.03000
2018-10-31,480.98300,89.22500,391.75800,117.72200,324.04200,441.76400,-50.00600,-3.88500,-53.89100,1.81400,-55.70500,-55.70500,-55.70500,-5.02100,-50.00600,146.39100,146.39100,-0.38000,-0.38000
2018-07-31,388.30300,83.74800,304.55500,106.73900,301.67400,408.41300,-103.85800,1.17000,-102.68800,0.81100,-103.49900,-103.49900,-103.49900,-74.01800,-103.85800,145.03000,145.03000,-0.71000,-0.71000
2018-04-30,311.63900,77.97000,233.66900,86.35700,268.77800,355.13500,-121.46600,0.97900,-120.48700,-1.98800,-118.49900,-118.49900,-118.49900,-94.26200,-121.46600,143.54800,143.54800,-0.83000,-0.83000
2018-01-31,459.65090,74.20300,385.44790,83.96200,267.16300,351.12500,34.32300,-1.25800,33.06500,-0.10200,33.16700,33.16700,33.16700,59.06900,34.32290,139.86600,139.86600,0.26000,0.26000
2017-10-31,342.48900,64.16700,278.32200,74.08000,234.12300,308.20300,-29.88100,-0.01900,-29.90000,-0.23200,-29.66800,-29.66800,-29.66800,-7.60200,-29.88100,140.41300,140.41300,-0.21000,-0.21000
2017-07-31,280.22400,59.87600,220.34800,71.77400,225.77600,297.55000,-77.20200,-1.03800,-78.24000,0.35300,-78.59300,-78.59300,-78.59300,-56.05300,-77.20200,139.06300,139.06300,-0.57000,-0.57000
2017-04-30,226.76800,58.16300,168.60500,71.29800,209.95700,281.25500,-112.65000,-1.13600,-113.78600,1.33800,-115.12400,-115.12400,-115.12400,-93.23000,-112.65000,137.78500,137.78500,-0.84000,-0.84000
2017-01-31,300.07000,58.26300,241.80700,75.59600,229.59000,305.18600,-63.37900,-1.29200,-64.67100,1.80500,-66.47600,-66.47600,-66.47600,-17.36200,-63.37900,133.91000,133.91000,-0.48000,-0.48000
2016-10-31,244.78900,48.67400,196.11500,85.65900,201.40900,287.06800,-90.95300,-1.17100,-92.12400,1.36700,-93.49100,-93.49100,-93.49100,-82.67400,-90.95300,134.67700,134.67700,-0.69000,-0.69000
2016-07-31,212.75300,44.61600,168.13700,67.22400,184.54000,251.76400,-83.62700,-1.86000,-85.48700,1.11000,-86.59700,-86.59700,-86.59700,-75.45300,-83.62700,133.04100,133.04100,-0.65000,-0.65000
2016-04-30,185.95200,39.50000,146.45200,67.37100,177.22400,244.59500,-98.14300,-1.52800,-99.67100,1.22500,-100.89600,-100.89600,-100.89600,-91.68200,-98.14300,131.49400,131.49400,-0.77000,-0.77000
2016-01-31,220.02400,35.40600,184.61800,66.11700,197.53200,263.64900,-79.03100,0.59400,-78.43700,0.88600,-79.32300,-79.32300,-79.32300,-73.00700,-79.03100,126.74600,126.74600,-0.62000,-0.62000
2015-10-31,174.42000,30.59100,143.82900,56.18600,159.98800,216.17400,-72.34500,0.10600,-72.23900,0.73500,-72.97400,-72.97400,-72.97400,-66.65400,-72.34500,128.36800,128.36800,-0.57000,-0.57000
2015-07-31,148.32600,25.04000,123.28600,48.30800,140.54600,188.85400,-65.56800,0.13000,-65.43800,-10.14900,-55.28900,-55.28900,-55.28900,-61.25800,-65.56800,126.62100,126.62100,-0.44000,-0.44000
2015-04-30,125.66500,23.08500,102.58000,44.69800,128.86100,173.55900,-70.97900,0.44900,-70.53000,0.65600,-71.18600,-71.18600,-71.18600,-67.51300,-70.97900,124.54800,124.54800,-0.57000,-0.57000
