,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4195.00000,4104.00000,91.00000,-48.00000,48.00000,43.00000,-78.00000,-35.00000,-40.00000,5.00000,5.00000,,5.00000,-609.00000,43.00000,171.03500,172.70000,0.16000,0.15000
2022-09-30,4798.00000,7186.00000,-2388.00000,-44.00000,678.00000,-3066.00000,-71.00000,-3137.00000,-563.00000,-2574.00000,-2574.00000,,-2574.00000,-2450.00000,-3066.00000,169.70700,171.09500,-15.17000,-15.17000
2022-06-30,5104.00000,4723.00000,381.00000,-44.00000,44.00000,337.00000,-68.00000,269.00000,31.00000,238.00000,238.00000,,238.00000,318.00000,337.00000,171.13000,172.70700,1.39000,1.34000
2022-03-31,4687.00000,4498.00000,189.00000,-31.00000,31.00000,158.00000,-66.00000,92.00000,-12.00000,104.00000,104.00000,,104.00000,139.00000,158.00000,174.15300,176.43500,0.60000,0.58000
2021-12-31,4604.00000,4270.00000,334.00000,-31.00000,31.00000,303.00000,-67.00000,236.00000,16.00000,220.00000,220.00000,,220.00000,284.00000,303.00000,187.36000,189.09900,1.25000,1.25000
2021-09-30,5241.00000,4778.00000,463.00000,-22.00000,22.00000,441.00000,-73.00000,368.00000,50.00000,318.00000,318.00000,,318.00000,431.00000,441.00000,187.27700,189.09100,1.70000,1.68000
2021-06-30,4851.00000,3993.00000,858.00000,-21.00000,21.00000,837.00000,-65.00000,772.00000,130.00000,642.00000,642.00000,,642.00000,829.00000,837.00000,189.98800,192.20200,3.38000,3.34000
2021-03-31,4534.00000,4194.00000,340.00000,-13.00000,13.00000,327.00000,-65.00000,262.00000,37.00000,225.00000,225.00000,,225.00000,318.00000,327.00000,191.78000,193.06600,1.17000,1.16000
2020-12-31,4136.00000,3958.00000,178.00000,-22.00000,22.00000,156.00000,-66.00000,90.00000,-53.00000,143.00000,143.00000,,143.00000,147.00000,156.00000,193.61000,194.46500,0.74000,0.89000
2020-09-30,5361.00000,4815.00000,546.00000,-20.00000,20.00000,526.00000,-66.00000,460.00000,62.00000,398.00000,398.00000,,398.00000,516.00000,526.00000,193.25100,195.35600,2.06000,2.01000
