,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5497.00000,5497.00000,2341.00000,,2844.00000,-246.00000,2598.00000,630.00000,1968.00000,1968.00000,1821.00000,,2844.00000,1864.00000,1873.00000,0.98000,0.97000
2022-09-30,5500.00000,5500.00000,2252.00000,,2929.00000,-252.00000,2677.00000,657.00000,2020.00000,2020.00000,1884.00000,3543.00000,2929.00000,1887.00000,1895.00000,1.00000,0.99000
2022-06-30,5093.00000,5093.00000,2252.00000,,2528.00000,-254.00000,2274.00000,481.00000,1793.00000,1793.00000,1652.00000,3223.00000,2528.00000,1896.00000,1904.00000,0.87000,0.87000
2022-03-31,4672.00000,4672.00000,2305.00000,,2063.00000,-224.00000,1839.00000,437.00000,1402.00000,1402.00000,1278.00000,2853.00000,2063.00000,1894.00000,1905.00000,0.67000,0.67000
2021-12-31,4708.00000,4708.00000,2176.00000,,2233.00000,-210.00000,2023.00000,443.00000,1580.00000,1580.00000,1449.00000,3094.00000,2233.00000,1887.00000,1897.00000,0.77000,0.77000
2021-09-30,4570.00000,4570.00000,2062.00000,,2215.00000,-204.00000,2011.00000,485.00000,1526.00000,1526.00000,1406.00000,3068.00000,2215.00000,1888.00000,1898.00000,0.74000,0.74000
2021-06-30,4527.00000,4527.00000,2098.00000,,2140.00000,-421.00000,1719.00000,454.00000,1265.00000,1265.00000,1117.00000,3029.00000,2140.00000,1886.00000,1896.00000,0.59000,0.59000
2021-03-31,4715.00000,4715.00000,2156.00000,,2276.00000,-316.00000,1960.00000,476.00000,1484.00000,1484.00000,1388.00000,3183.00000,2276.00000,1882.00000,1892.00000,0.74000,0.73000
2020-12-31,4176.00000,4176.00000,2171.00000,,1728.00000,-252.00000,1476.00000,341.00000,1135.00000,1135.00000,1050.00000,2579.00000,1728.00000,1429.00000,1435.00000,0.58000,0.58000
2020-09-30,2448.00000,2448.00000,1328.00000,,998.00000,-109.00000,889.00000,191.00000,698.00000,698.00000,615.00000,1621.00000,998.00000,1289.00000,1294.00000,0.48000,0.48000
2020-06-30,2450.00000,2450.00000,1317.00000,,1024.00000,-136.00000,888.00000,217.00000,671.00000,671.00000,621.00000,1454.00000,1024.00000,1288.00000,1294.00000,0.48000,0.48000
2020-03-31,2617.00000,2617.00000,1363.00000,,1158.00000,-111.00000,1047.00000,252.00000,795.00000,795.00000,757.00000,1444.00000,1158.00000,1287.00000,1294.00000,0.59000,0.58000
2019-12-31,2606.00000,2606.00000,1299.00000,,1213.00000,-101.00000,1112.00000,260.00000,852.00000,852.00000,801.00000,1471.00000,1213.00000,1311.00000,1320.00000,0.63000,0.62000
2019-09-30,2711.00000,2711.00000,1303.00000,,1320.00000,-84.00000,1236.00000,285.00000,951.00000,951.00000,913.00000,1531.00000,1320.00000,1300.00000,1308.00000,0.70000,0.70000
2019-06-30,2681.00000,2681.00000,1257.00000,,1340.00000,-104.00000,1236.00000,299.00000,937.00000,937.00000,887.00000,1515.00000,1340.00000,1328.00000,1337.00000,0.67000,0.66000
2019-03-31,2723.00000,2723.00000,1282.00000,,1358.00000,-94.00000,1264.00000,300.00000,964.00000,964.00000,925.00000,1509.00000,1358.00000,1333.00000,1344.00000,0.69000,0.69000
2018-12-31,2669.00000,2669.00000,1267.00000,,1322.00000,-112.00000,1210.00000,275.00000,935.00000,935.00000,885.00000,1476.00000,1322.00000,1348.00000,1361.00000,0.66000,0.65000
2018-09-30,2579.00000,2579.00000,1154.00000,,1347.00000,-128.00000,1219.00000,296.00000,923.00000,923.00000,885.00000,1514.00000,1347.00000,1351.00000,1364.00000,0.66000,0.65000
2018-06-30,2486.00000,2486.00000,1158.00000,,1253.00000,-122.00000,1131.00000,265.00000,866.00000,866.00000,813.00000,1419.00000,1253.00000,1350.00000,1364.00000,0.60000,0.60000
2018-03-31,2398.00000,2398.00000,1183.00000,,1142.00000,-140.00000,1002.00000,219.00000,783.00000,783.00000,746.00000,1311.00000,1142.00000,1347.00000,1362.00000,0.55000,0.55000
2017-12-31,2242.00000,2242.00000,1098.00000,,1075.00000,-122.00000,953.00000,356.00000,597.00000,597.00000,550.00000,1246.00000,1075.00000,1339.00000,1353.00000,0.41000,0.41000
2017-09-30,2165.00000,2165.00000,1044.00000,,1052.00000,-107.00000,945.00000,327.00000,618.00000,618.00000,575.00000,1213.00000,1052.00000,1339.00000,1353.00000,0.43000,0.42000
2017-06-30,2130.00000,2130.00000,1043.00000,,1021.00000,-112.00000,909.00000,334.00000,575.00000,575.00000,530.00000,1163.00000,1021.00000,1338.00000,1351.00000,0.40000,0.39000
2017-03-31,2081.00000,2081.00000,1067.00000,,949.00000,-106.00000,843.00000,279.00000,564.00000,564.00000,525.00000,1086.00000,949.00000,1336.00000,1351.00000,0.39000,0.39000
2016-12-31,1972.00000,1972.00000,981.00000,,930.00000,-106.00000,824.00000,302.00000,522.00000,522.00000,478.00000,1076.00000,930.00000,1324.00000,1334.00000,0.35000,0.37000
2016-09-30,1914.00000,1914.00000,961.00000,,893.00000,-99.00000,794.00000,291.00000,503.00000,503.00000,470.00000,1027.00000,893.00000,1324.00000,1334.00000,0.36000,0.35000
2016-06-30,1828.00000,1828.00000,960.00000,,811.00000,-91.00000,720.00000,268.00000,452.00000,452.00000,406.00000,929.00000,811.00000,1322.00000,1333.00000,0.31000,0.30000
2016-03-31,1764.00000,1764.00000,970.00000,,738.00000,-83.00000,655.00000,243.00000,412.00000,412.00000,392.00000,840.00000,738.00000,1321.00000,1330.00000,0.30000,0.29000
2015-12-31,1691.00000,1691.00000,902.00000,,731.00000,-86.00000,645.00000,229.00000,416.00000,416.00000,378.00000,832.00000,731.00000,1315.00000,1327.00000,0.29000,0.28000
2015-09-30,1597.00000,1597.00000,870.00000,,670.00000,-87.00000,583.00000,207.00000,376.00000,376.00000,365.00000,769.00000,670.00000,1316.00000,1328.00000,0.28000,0.28000
2015-06-30,1566.00000,1566.00000,858.00000,,653.00000,-86.00000,567.00000,214.00000,353.00000,353.00000,330.00000,747.00000,653.00000,1314.00000,1326.00000,0.25000,0.25000
2015-03-31,1526.00000,1526.00000,905.00000,,567.00000,-83.00000,484.00000,182.00000,302.00000,302.00000,291.00000,659.00000,567.00000,1312.00000,1323.00000,0.22000,0.22000
2014-12-31,1551.00000,1551.00000,860.00000,,637.00000,-83.00000,554.00000,204.00000,350.00000,350.00000,329.00000,725.00000,637.00000,1303.00000,1315.00000,0.25000,0.24000
2014-09-30,1551.00000,1551.00000,906.00000,,596.00000,-78.00000,518.00000,197.00000,321.00000,321.00000,312.00000,678.00000,596.00000,1316.00000,1316.00000,0.24000,0.24000
2014-06-30,1478.00000,1478.00000,834.00000,,596.00000,-75.00000,521.00000,197.00000,324.00000,324.00000,302.00000,675.00000,596.00000,1313.00000,1313.00000,0.23000,0.23000
2014-03-31,1478.00000,1478.00000,833.00000,,597.00000,-75.00000,522.00000,196.00000,326.00000,326.00000,318.00000,672.00000,597.00000,1311.00000,1311.00000,0.24000,0.24000
2013-12-31,1435.00000,1435.00000,814.00000,,572.00000,-74.00000,498.00000,179.00000,319.00000,319.00000,297.00000,654.00000,572.00000,1285.00000,1293.00000,0.23000,0.23000
2013-09-30,1373.00000,1373.00000,774.00000,,548.00000,-84.00000,464.00000,174.00000,290.00000,290.00000,282.00000,636.00000,548.00000,1296.00000,1296.00000,0.22000,0.22000
2013-06-30,1337.00000,1337.00000,800.00000,,486.00000,-74.00000,412.00000,156.00000,256.00000,256.00000,233.00000,585.00000,486.00000,1288.00000,1288.00000,0.18000,0.18000
2013-03-31,1290.00000,1290.00000,840.00000,,399.00000,-68.00000,331.00000,125.00000,206.00000,206.00000,198.00000,494.00000,399.00000,1282.00000,1282.00000,0.15000,0.15000
2012-12-31,1215.00000,1215.00000,751.00000,,414.00000,-70.00000,344.00000,133.00000,211.00000,211.00000,189.00000,523.00000,414.00000,1275.00000,1275.00000,0.15000,0.15000
2012-09-30,1196.00000,1196.00000,719.00000,,427.00000,-66.00000,361.00000,114.00000,247.00000,247.00000,238.00000,542.00000,427.00000,1274.00000,1275.00000,0.19000,0.19000
2012-06-30,1283.00000,1283.00000,731.00000,,504.00000,-72.00000,432.00000,157.00000,275.00000,275.00000,261.00000,598.00000,504.00000,1274.00000,1274.00000,0.20000,0.20000
2012-03-31,1189.00000,1189.00000,762.00000,,379.00000,-66.00000,313.00000,118.00000,195.00000,195.00000,195.00000,479.00000,379.00000,1273.00000,1273.00000,0.15000,0.15000
2011-12-31,1113.00000,1113.00000,743.00000,,322.00000,-70.00000,252.00000,89.00000,163.00000,163.00000,163.00000,444.00000,322.00000,1229.00000,1229.00000,0.12000,0.12000
2011-09-30,1181.00000,1181.00000,709.00000,,433.00000,-73.00000,360.00000,140.00000,220.00000,220.00000,220.00000,497.00000,433.00000,1228.00000,1229.00000,0.18000,0.18000
2011-06-30,1190.00000,1190.00000,700.00000,-7.00000,450.00000,-64.00000,386.00000,148.00000,238.00000,238.00000,238.00000,497.00000,450.00000,1207.00000,1210.00000,0.20000,0.20000
2011-03-31,1207.00000,1207.00000,716.00000,,456.00000,-62.00000,394.00000,151.00000,243.00000,243.00000,243.00000,514.00000,456.00000,1203.00000,1207.00000,0.20000,0.20000
2010-12-31,1127.00000,1127.00000,669.00000,-124.00000,296.00000,-67.00000,229.00000,110.00000,119.00000,119.00000,119.00000,369.00000,296.00000,1191.00000,1194.00000,0.11000,0.11000
2010-09-30,1063.00000,1063.00000,615.00000,-132.00000,281.00000,-82.00000,199.00000,75.00000,124.00000,124.00000,124.00000,316.00000,281.00000,1194.00000,1194.00000,0.10000,0.10000
2010-06-30,1080.00000,1080.00000,641.00000,,403.00000,-65.00000,338.00000,133.00000,205.00000,205.00000,205.00000,439.00000,403.00000,1195.00000,1195.00000,0.17000,0.17000
2010-03-31,978.00000,978.00000,664.00000,-196.00000,81.00000,-68.00000,13.00000,7.00000,6.00000,6.00000,6.00000,118.00000,81.00000,1188.00000,1188.00000,0.00000,0.00000
