,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2366.00000,475.00000,1891.00000,1421.00000,1421.00000,470.00000,,470.00000,76.00000,394.00000,394.00000,,356.00000,924.36300,933.05900,0.38000,0.39000
2022-09-30,2127.00000,248.00000,1879.00000,1215.00000,1215.00000,664.00000,,664.00000,124.00000,540.00000,540.00000,2.00000,515.00000,924.59400,932.45500,0.55000,0.55000
2022-06-30,1881.00000,96.00000,1785.00000,1123.00000,1123.00000,662.00000,,662.00000,132.00000,530.00000,530.00000,3.00000,507.00000,924.30200,931.80800,0.55000,0.54000
2022-03-31,1756.00000,66.00000,1690.00000,1153.00000,1153.00000,537.00000,,537.00000,90.00000,447.00000,447.00000,1.00000,421.00000,922.94100,933.63400,0.46000,0.45000
2021-12-31,2012.00000,70.00000,1942.00000,1174.00000,1174.00000,768.00000,,768.00000,141.00000,627.00000,627.00000,2.00000,603.00000,947.06500,957.41400,0.64000,0.64000
2021-09-30,1884.00000,71.00000,1813.00000,1005.00000,1005.00000,808.00000,,808.00000,165.00000,643.00000,643.00000,2.00000,618.00000,942.44600,952.52300,0.66000,0.65000
2021-06-30,1840.00000,73.00000,1767.00000,854.00000,854.00000,913.00000,,913.00000,189.00000,724.00000,724.00000,5.00000,703.00000,957.42300,967.16300,0.73000,0.73000
2021-03-31,1825.00000,82.00000,1743.00000,978.00000,978.00000,765.00000,,765.00000,147.00000,618.00000,618.00000,4.00000,595.00000,964.87800,974.29700,0.62000,0.61000
2020-12-31,1927.00000,90.00000,1837.00000,1198.00000,1198.00000,639.00000,,689.00000,114.00000,575.00000,575.00000,7.00000,556.00000,967.78300,974.80700,0.58000,0.57000
2020-09-30,1800.00000,119.00000,1681.00000,1182.00000,1197.00000,484.00000,,484.00000,60.00000,424.00000,424.00000,4.00000,401.00000,967.80400,973.98800,0.41000,0.41000
2020-06-30,1882.00000,172.00000,1710.00000,1477.00000,1495.00000,215.00000,,215.00000,30.00000,185.00000,185.00000,2.00000,161.00000,967.14700,972.14100,0.17000,0.17000
2020-03-31,1728.00000,270.00000,1458.00000,1273.00000,1290.00000,168.00000,,168.00000,23.00000,145.00000,145.00000,1.00000,119.00000,967.44600,976.11000,0.12000,0.12000
2019-12-31,1936.00000,306.00000,1630.00000,1103.00000,1122.00000,508.00000,,541.00000,75.00000,466.00000,466.00000,3.00000,442.00000,992.09100,1002.25400,0.46000,0.45000
2019-09-30,1967.00000,345.00000,1622.00000,1113.00000,1139.00000,483.00000,,483.00000,70.00000,413.00000,413.00000,3.00000,386.00000,988.31900,998.32800,0.39000,0.39000
2019-06-30,1951.00000,348.00000,1603.00000,1071.00000,1093.00000,510.00000,,510.00000,87.00000,423.00000,423.00000,2.00000,405.00000,999.16300,1007.96400,0.40000,0.40000
2019-03-31,1840.00000,327.00000,1513.00000,1003.00000,1025.00000,488.00000,,488.00000,82.00000,406.00000,406.00000,1.00000,387.00000,1006.71700,1016.50400,0.38000,0.38000
2018-12-31,1942.00000,297.00000,1645.00000,1049.00000,1071.00000,574.00000,,574.00000,92.00000,482.00000,482.00000,2.00000,461.00000,1040.89000,1054.68200,0.46000,0.44000
2018-09-30,1848.00000,253.00000,1595.00000,1003.00000,1026.00000,569.00000,,569.00000,87.00000,482.00000,482.00000,,468.00000,1036.47900,1049.97600,0.45000,0.45000
2018-06-30,1865.00000,226.00000,1639.00000,1032.00000,1057.00000,582.00000,,582.00000,103.00000,479.00000,479.00000,3.00000,467.00000,1052.65200,1065.79300,0.44000,0.44000
2018-03-31,1738.00000,193.00000,1545.00000,1038.00000,1067.00000,478.00000,,478.00000,62.00000,416.00000,416.00000,2.00000,404.00000,1056.03700,1071.78600,0.38000,0.38000
2017-12-31,1770.00000,176.00000,1594.00000,1121.00000,1147.00000,447.00000,,447.00000,251.00000,196.00000,196.00000,1.00000,182.00000,1072.07800,1088.59300,0.17000,0.18000
2017-09-30,1701.00000,161.00000,1540.00000,1018.00000,1043.00000,497.00000,,497.00000,134.00000,363.00000,363.00000,1.00000,350.00000,1073.39000,1088.84100,0.32000,0.32000
2017-06-30,1770.00000,144.00000,1626.00000,1039.00000,1061.00000,565.00000,,565.00000,158.00000,407.00000,407.00000,5.00000,398.00000,1076.20300,1093.03900,0.37000,0.36000
2017-03-31,1627.00000,132.00000,1495.00000,1054.00000,1076.00000,419.00000,,419.00000,94.00000,325.00000,325.00000,,296.00000,1068.60900,1086.54000,0.28000,0.27000
2016-12-31,1680.00000,124.00000,1556.00000,1259.00000,1286.00000,270.00000,,270.00000,38.00000,232.00000,232.00000,-4.00000,209.00000,927.81600,938.53600,0.19000,0.18000
2016-09-30,1439.00000,110.00000,1329.00000,1128.00000,1141.00000,188.00000,,188.00000,16.00000,172.00000,172.00000,1.00000,166.00000,982.08000,994.66000,0.17000,0.17000
2016-06-30,1157.00000,87.00000,1070.00000,796.00000,803.00000,267.00000,,267.00000,69.00000,198.00000,198.00000,3.00000,196.00000,831.89900,838.49600,0.23000,0.23000
2016-03-31,1114.00000,79.00000,1035.00000,784.00000,792.00000,243.00000,,243.00000,56.00000,187.00000,187.00000,1.00000,183.00000,827.38100,835.06000,0.22000,0.22000
2015-12-31,1158.00000,71.00000,1087.00000,772.00000,790.00000,297.00000,,306.00000,73.00000,233.00000,233.00000,-4.00000,220.00000,836.84600,844.48900,0.25000,0.27000
2015-09-30,1131.00000,70.00000,1061.00000,760.00000,760.00000,301.00000,-9.00000,292.00000,72.00000,220.00000,220.00000,-3.00000,213.00000,831.43000,838.88000,0.26000,0.25000
2015-06-30,1140.00000,68.00000,1072.00000,743.00000,752.00000,320.00000,,320.00000,84.00000,236.00000,236.00000,3.00000,233.00000,839.45400,846.31200,0.28000,0.27000
2015-03-31,1073.00000,65.00000,1008.00000,695.00000,704.00000,304.00000,,304.00000,74.00000,230.00000,230.00000,5.00000,227.00000,848.58000,857.12200,0.27000,0.26000
2014-12-31,1136.00000,64.00000,1072.00000,716.00000,736.00000,336.00000,,346.00000,94.00000,252.00000,252.00000,2.00000,248.00000,871.46400,878.19900,0.29000,0.28000
2014-09-30,1056.00000,64.00000,992.00000,715.00000,725.00000,267.00000,,267.00000,64.00000,203.00000,203.00000,-17.00000,180.00000,867.35000,874.12200,0.21000,0.21000
2014-06-30,1094.00000,66.00000,1028.00000,690.00000,699.00000,329.00000,,329.00000,76.00000,253.00000,253.00000,-28.00000,214.00000,875.29800,902.13700,0.24000,0.24000
2014-03-31,1065.00000,67.00000,998.00000,658.00000,658.00000,340.00000,-10.00000,330.00000,92.00000,238.00000,238.00000,4.00000,236.00000,884.72700,891.89000,0.27000,0.26000
2013-12-31,1102.00000,66.00000,1036.00000,732.00000,742.00000,294.00000,,305.00000,70.00000,235.00000,235.00000,-5.00000,224.00000,906.52400,912.57100,0.25000,0.25000
2013-09-30,1106.00000,69.00000,1037.00000,729.00000,741.00000,296.00000,-3.00000,293.00000,59.00000,234.00000,234.00000,37.00000,266.00000,901.90400,908.25300,0.29000,0.29000
2013-06-30,1086.00000,76.00000,1010.00000,724.00000,734.00000,276.00000,-5.00000,271.00000,72.00000,199.00000,199.00000,5.00000,198.00000,913.73600,918.62800,0.22000,0.22000
2013-03-31,1092.00000,84.00000,1008.00000,721.00000,733.00000,275.00000,-3.00000,272.00000,70.00000,202.00000,202.00000,3.00000,199.00000,920.31600,926.05100,0.22000,0.21000
