,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,7465.00000,1257.00000,6208.00000,3868.00000,4075.00000,2133.00000,-114.00000,2019.00000,337.00000,1682.00000,1682.00000,1610.00000,1326.78700,1337.33800,1.21000,1.20000
2022-09-30,6471.00000,624.00000,5847.00000,3600.00000,3785.00000,2062.00000,-62.00000,2000.00000,363.00000,1637.00000,1637.00000,1536.00000,1326.53900,1336.65900,1.16000,1.15000
2022-06-30,5921.00000,266.00000,5655.00000,3440.00000,3630.00000,2025.00000,-121.00000,1904.00000,372.00000,1532.00000,1532.00000,1454.00000,1330.16000,1338.86400,1.09000,1.09000
2022-03-31,5499.00000,174.00000,5325.00000,3178.00000,3363.00000,1962.00000,-216.00000,1746.00000,330.00000,1416.00000,1416.00000,1327.00000,1329.03700,1341.56300,1.00000,0.99000
2021-12-31,5734.00000,168.00000,5566.00000,3196.00000,3385.00000,2181.00000,-212.00000,1969.00000,367.00000,1602.00000,1602.00000,1524.00000,1337.14400,1349.37800,1.15000,1.13000
2021-09-30,5791.00000,193.00000,5598.00000,3107.00000,3299.00000,2299.00000,-172.00000,2127.00000,423.00000,1704.00000,1704.00000,1616.00000,1334.82500,1346.85400,1.21000,1.20000
2021-06-30,5848.00000,198.00000,5650.00000,3091.00000,3280.00000,2370.00000,-297.00000,2073.00000,415.00000,1658.00000,1658.00000,1559.00000,1338.30200,1349.49200,1.16000,1.16000
2021-03-31,5691.00000,209.00000,5482.00000,3323.00000,3517.00000,1965.00000,-141.00000,1824.00000,351.00000,1473.00000,1473.00000,1334.00000,1345.66600,1358.93200,0.99000,0.98000
2020-12-31,5896.00000,245.00000,5651.00000,3476.00000,3702.00000,1949.00000,-308.00000,1641.00000,311.00000,1330.00000,1330.00000,1228.00000,1347.08000,1358.28900,0.92000,0.89000
2020-09-30,5833.00000,261.00000,5572.00000,3714.00000,3940.00000,1632.00000,-236.00000,1396.00000,255.00000,1141.00000,1141.00000,1068.00000,1347.91600,1358.12200,0.79000,0.79000
2020-06-30,6311.00000,440.00000,5871.00000,4258.00000,4513.00000,1358.00000,-209.00000,1149.00000,191.00000,958.00000,958.00000,902.00000,1347.51200,1355.83400,0.67000,0.67000
2020-03-31,6387.00000,776.00000,5611.00000,3981.00000,4217.00000,1394.00000,-107.00000,1287.00000,224.00000,1063.00000,1063.00000,986.00000,1344.37200,1357.54500,0.73000,0.73000
2019-12-31,4210.00000,585.00000,3625.00000,2409.00000,2523.00000,1102.00000,-223.00000,879.00000,153.00000,726.00000,726.00000,702.00000,805.10400,815.20400,0.72000,0.70000
2019-09-30,3521.00000,518.00000,3003.00000,1859.00000,1923.00000,1080.00000,-34.00000,1046.00000,218.00000,828.00000,828.00000,735.00000,766.16700,775.79100,0.96000,0.95000
2019-06-30,3558.00000,516.00000,3042.00000,1839.00000,1900.00000,1142.00000,-23.00000,1119.00000,234.00000,885.00000,885.00000,842.00000,765.95800,774.60300,1.10000,1.09000
2019-03-31,3375.00000,477.00000,2898.00000,1782.00000,1843.00000,1055.00000,-80.00000,975.00000,177.00000,798.00000,798.00000,749.00000,764.13500,774.07100,0.98000,0.97000
2018-12-31,3371.00000,431.00000,2940.00000,1700.00000,1854.00000,1086.00000,-76.00000,1010.00000,205.00000,805.00000,805.00000,754.00000,772.96300,783.48400,0.98000,0.97000
2018-09-30,3308.00000,382.00000,2926.00000,1826.00000,1859.00000,1067.00000,-18.00000,1049.00000,210.00000,839.00000,839.00000,789.00000,771.56200,781.86700,1.02000,1.01000
2018-06-30,3216.00000,337.00000,2879.00000,1800.00000,1831.00000,1048.00000,-24.00000,1024.00000,202.00000,822.00000,822.00000,775.00000,775.83600,785.75000,1.00000,0.99000
2018-03-31,3101.00000,288.00000,2813.00000,1775.00000,1808.00000,1005.00000,-28.00000,977.00000,186.00000,791.00000,791.00000,745.00000,779.61700,791.00500,0.96000,0.94000
2017-12-31,3123.00000,254.00000,2869.00000,1817.00000,1971.00000,898.00000,-22.00000,876.00000,209.00000,667.00000,667.00000,614.00000,799.21700,810.97700,0.78000,0.77000
2017-09-30,3043.00000,230.00000,2813.00000,1790.00000,1824.00000,989.00000,-47.00000,942.00000,294.00000,648.00000,648.00000,597.00000,794.55800,806.12400,0.75000,0.74000
2017-06-30,3044.00000,189.00000,2855.00000,1831.00000,1867.00000,988.00000,-10.00000,978.00000,304.00000,674.00000,674.00000,631.00000,808.98000,819.38900,0.78000,0.77000
2017-03-31,2946.00000,166.00000,2780.00000,2176.00000,2214.00000,566.00000,-36.00000,530.00000,104.00000,426.00000,426.00000,378.00000,809.90300,822.71900,0.47000,0.46000
2016-12-31,2907.00000,180.00000,2727.00000,1746.00000,1784.00000,943.00000,-13.00000,930.00000,287.00000,643.00000,643.00000,592.00000,804.68000,814.91600,0.73000,0.71000
2016-09-30,2959.00000,185.00000,2774.00000,1778.00000,1816.00000,958.00000,-43.00000,915.00000,273.00000,642.00000,642.00000,599.00000,812.52100,823.10600,0.74000,0.73000
2016-06-30,2935.00000,188.00000,2747.00000,1774.00000,1816.00000,931.00000,-92.00000,839.00000,252.00000,587.00000,587.00000,541.00000,814.26100,823.68200,0.67000,0.66000
2016-03-31,2737.00000,192.00000,2545.00000,1674.00000,1706.00000,839.00000,-23.00000,816.00000,246.00000,570.00000,570.00000,527.00000,781.19300,790.17600,0.67000,0.67000
2015-12-31,2710.00000,191.00000,2519.00000,1644.00000,1676.00000,843.00000,-50.00000,793.00000,251.00000,542.00000,542.00000,502.00000,748.01000,757.76500,0.64000,0.63000
2015-09-30,2638.00000,186.00000,2452.00000,1591.00000,1620.00000,832.00000,-77.00000,755.00000,222.00000,533.00000,533.00000,492.00000,764.43500,774.02300,0.64000,0.64000
2015-06-30,2508.00000,177.00000,2331.00000,1702.00000,1725.00000,606.00000,-25.00000,581.00000,80.00000,501.00000,501.00000,454.00000,724.88000,734.52700,0.63000,0.62000
2015-03-31,2490.00000,181.00000,2309.00000,1487.00000,1508.00000,801.00000,-13.00000,788.00000,241.00000,547.00000,547.00000,488.00000,721.63900,731.51100,0.68000,0.67000
2014-12-31,2540.00000,183.00000,2357.00000,1437.00000,1459.00000,898.00000,-18.00000,880.00000,277.00000,603.00000,603.00000,551.00000,718.14000,728.37200,0.76000,0.76000
