,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,415.18300,127.77800,287.40500,16.03600,94.41600,59.26200,228.14300,-33.92300,194.22000,194.22000,194.22000,,185.16500,,228.14300,64.72700,64.73100,2.86000,2.86000
2022-09-30,409.74800,130.22700,279.52100,15.17200,,150.91300,128.60800,-29.90800,98.70000,98.70000,98.70000,,92.84200,265.70300,128.60800,65.06000,65.06800,1.43000,1.43000
2022-06-30,399.97800,123.69600,276.28200,13.12700,,147.65400,128.62800,-66.93800,61.69000,61.69000,61.69000,,57.05400,264.81200,128.62800,65.26300,65.29000,0.87000,0.87000
2022-03-31,381.90500,126.27200,255.63300,12.24200,0.00000,145.78300,109.85000,-31.47500,78.37500,78.37500,78.37500,,73.25400,245.04800,109.85000,65.27600,65.33900,1.12000,1.12000
2021-12-31,371.59590,121.02400,250.57200,17.09200,0.00000,149.31000,101.26190,42.86300,144.12500,144.12500,144.12500,,136.87400,234.99190,101.26200,65.05100,65.08900,2.10000,2.10000
2021-09-30,362.85700,124.39900,238.45800,12.71200,42.89700,100.48700,137.97100,-12.96900,125.00200,125.00200,125.00200,,118.39000,270.21100,137.97100,65.04800,65.14800,1.82000,1.82000
2021-06-30,350.97800,116.59800,234.38000,12.22200,,140.99900,93.38100,-23.76600,69.61500,69.61500,69.61500,,64.84600,226.29600,93.38100,65.00200,65.08100,1.00000,1.00000
2021-03-31,355.12500,119.42600,235.69900,9.81200,100.09600,38.31800,197.38100,-20.43200,176.94900,176.94900,176.94900,,168.44400,328.10000,197.38100,64.99000,65.11500,2.59000,2.59000
2020-12-31,362.07300,119.27500,242.79800,23.14400,23.89100,130.86700,111.93100,-10.28200,101.64900,101.64900,101.64900,,95.74500,231.07800,111.93100,65.45400,65.56500,1.50000,1.51000
2020-09-30,370.81100,121.01400,249.79700,13.31000,22.65400,120.86000,128.93700,-50.09500,78.84200,78.84200,78.84200,,73.66100,258.60700,128.93700,65.23300,65.24100,1.13000,1.13000
2020-06-30,370.49700,118.78200,251.71500,14.95200,16.59700,131.97900,119.73600,-29.66000,90.07600,90.07600,90.07600,,84.45800,252.55300,119.73600,65.41200,65.42800,1.29000,1.29000
2020-03-31,392.36700,115.90200,276.46500,13.98200,,145.62800,130.83700,197.92800,328.76500,328.76500,328.76500,,315.00600,262.29900,130.83700,66.04400,66.19500,4.77000,4.76000
2019-12-31,375.36500,109.74000,265.62500,15.53100,,148.80700,116.81800,18.36400,135.18200,135.18200,135.18200,,128.81800,230.14300,116.81800,65.84000,65.93900,1.95000,1.94000
2019-09-30,366.93200,110.72600,256.20600,11.34500,,132.16700,124.03900,-18.33900,105.70000,105.70000,105.70000,,99.33500,240.77200,124.03900,65.85100,65.97300,1.51000,1.51000
2019-06-30,361.63500,103.65900,257.97600,13.92700,,133.41600,124.56000,-26.49900,98.06100,98.06100,98.06100,,92.27500,239.66400,124.56000,65.71900,65.82200,1.40000,1.40000
2019-03-31,356.22300,106.46900,249.75400,13.45900,,134.05900,115.69500,9.81000,125.50500,125.50500,125.50500,,118.85800,231.48100,115.69500,65.70300,65.78400,1.81000,1.81000
2018-12-31,353.15800,106.19900,246.95900,16.91200,,75.68600,171.27300,-46.83300,124.44000,124.44000,124.44000,,117.82000,286.55300,171.27310,66.04100,66.08510,1.78000,1.78000
2018-09-30,350.91700,105.53600,245.38100,10.60100,,131.48400,113.89700,-27.78700,86.11000,86.11000,86.11000,,80.97500,229.66300,113.89700,66.05200,66.10400,1.23000,1.22000
2018-06-30,348.72300,101.92800,246.79500,11.12500,,130.52300,116.27200,-9.86200,106.41000,106.41000,106.41000,,100.44000,230.60200,116.27200,66.04800,66.09600,1.52000,1.52000
2018-03-31,347.25500,102.73300,244.52200,14.81300,,133.97500,110.54700,-13.90800,96.63900,96.63900,96.63900,,90.91800,224.83100,110.54700,66.04400,66.08300,1.38000,1.38000
2017-12-31,345.06400,103.62700,241.43700,10.65900,,129.06200,112.37500,-2.71300,109.66200,109.66200,109.66200,,103.61300,225.55610,112.37500,65.82900,65.89800,1.56000,1.56000
2017-09-30,344.36900,104.13700,240.23200,9.78800,,127.56300,112.66900,-27.63400,85.03500,85.03500,85.03500,,79.72300,225.44700,112.66900,65.99500,66.07800,1.21000,1.21000
2017-06-30,339.06200,98.26500,240.79700,10.33700,,128.55000,112.24700,-36.45200,75.79500,75.79500,75.79500,,70.75900,225.48100,112.24700,65.72900,65.82000,1.08000,1.08000
2017-03-31,335.40400,99.51300,235.89100,10.60100,,126.66000,109.23100,78.32000,187.55100,187.55100,187.55100,,178.96400,217.85200,109.23100,65.54900,65.85900,2.73000,2.72000
2016-12-31,329.03800,68.88700,260.15100,12.22400,,154.63100,105.52000,98.99700,204.51700,204.51700,204.51700,,195.56900,210.11300,105.52000,65.47200,65.58800,2.99000,2.98000
2016-09-30,329.17100,99.36100,229.81000,9.64700,,120.39800,109.41200,-39.25000,70.16200,70.16200,70.16200,,65.56100,212.73100,109.41200,65.50800,65.61800,1.00000,1.00000
2016-06-30,321.59000,96.07900,225.51100,9.69800,,119.63800,105.87300,-29.04900,76.82400,76.82400,76.82400,,72.01300,208.04200,105.87300,65.45100,65.57500,1.10000,1.10000
2016-03-31,314.20200,94.49000,219.71200,9.18200,,119.71700,99.99500,-13.08800,86.90700,86.90700,86.90700,,77.98100,202.15100,99.99500,65.40600,65.55800,1.19000,1.19000
2015-12-31,310.74600,92.14100,218.60500,8.86700,,126.40100,92.20410,-6.44200,85.76200,85.76200,85.76200,,79.62400,201.00700,92.20400,64.87200,65.06200,1.23000,1.22000
2015-09-30,304.62600,94.11900,210.50700,11.12900,,127.81800,82.68900,-35.50700,47.18200,47.18200,47.18200,,42.32300,191.82300,82.68900,65.13900,65.29800,0.65000,0.65000
2015-06-30,296.16200,90.07700,206.08500,9.54900,,125.11900,80.96600,-30.42400,50.54200,50.54200,50.54200,,45.55500,187.18100,80.96600,64.81000,64.97300,0.70000,0.70000
2015-03-31,282.87300,87.17100,195.70200,10.54500,,120.38700,75.31500,-10.56200,64.75300,64.75300,64.75300,,59.36300,172.83600,75.31500,64.18500,64.39500,0.92000,0.92000
2014-12-31,279.26800,88.62000,190.64800,12.25800,,127.18700,63.46100,-18.65700,44.80400,44.80400,44.80400,,40.17400,157.70800,63.46100,56.54700,56.69700,0.62000,0.61000
2014-09-30,270.87300,88.06200,182.81100,11.47900,,117.67300,65.13800,-6.55600,58.58200,58.58200,58.58200,,53.56600,160.69300,65.13800,62.89300,63.07000,0.85000,0.85000
2014-06-30,259.78800,83.55800,176.23000,9.55800,,137.87600,38.35400,-33.70800,4.64600,4.64600,4.64600,,1.20700,133.78700,38.35400,61.88500,62.06000,0.02000,0.02000
2014-03-31,161.00900,52.30600,108.70300,7.58300,,74.14200,34.56100,-8.15500,26.40600,26.40600,26.40600,,21.91200,85.92100,34.56100,37.68500,37.93100,0.58000,0.58000
2013-12-31,157.82200,52.39200,105.43000,7.59300,,60.27800,45.15200,-25.13400,20.01800,20.01800,20.01800,16.88400,31.87400,96.37700,45.15200,37.24900,37.33600,0.86000,0.85000
2013-09-30,153.94800,50.32200,103.62600,6.26300,,54.72700,48.89900,13.81900,62.71800,62.71800,62.71800,13.15700,68.78800,98.52100,48.89900,37.32100,37.43700,1.84000,1.84000
2013-06-30,150.81500,48.29600,102.51900,6.58900,,54.43000,48.08900,-19.10400,28.98500,28.98500,28.98500,0.59000,24.94600,97.72300,48.08900,37.29300,37.39100,0.67000,0.67000
2013-03-31,148.00500,48.02700,99.97800,6.23900,,53.41300,46.56500,-17.40400,29.16100,29.16100,29.16100,0.54200,25.20300,94.41800,46.56500,37.00400,37.09200,0.68000,0.68000
2012-12-31,137.08400,44.51300,92.57100,8.13300,,49.19600,43.37500,4.53400,47.90900,47.90900,47.90900,1.72800,43.79300,89.57700,43.37500,35.03200,35.12500,1.22000,1.22000
2012-09-30,137.59000,46.71500,90.87500,5.27600,,48.17300,42.70200,-22.65200,20.05000,20.05000,20.05000,0.17200,16.21900,86.92300,42.70200,35.60100,35.70000,0.46000,0.45000
2012-06-30,132.56100,44.02800,88.53300,5.76400,,47.56500,40.96800,1.52200,42.49000,42.49000,42.49000,0.00000,37.07800,83.93900,40.96800,34.57100,34.70800,1.07000,1.07000
2012-03-31,127.91800,41.80400,86.11400,5.40000,,46.13400,39.98000,-22.77600,17.20400,17.20400,17.20400,10.03700,22.72200,81.95700,39.98000,34.02800,34.15100,0.67000,0.67000
2011-12-31,119.51600,39.91300,79.60300,5.06900,,43.28900,36.31400,-23.72500,12.58900,12.58900,12.58900,5.28200,13.93800,77.19100,36.31400,32.54200,32.62900,0.42000,0.42000
2011-09-30,119.16600,42.01400,77.15200,4.96600,,42.84700,34.30500,-22.54100,11.76400,11.76400,11.76400,-0.67900,7.68700,73.93700,34.30500,33.12200,33.20900,0.23000,0.23000
2011-06-30,116.32600,40.84400,75.48200,5.38500,,42.63500,32.84700,-22.34500,10.50200,10.50200,10.50200,5.55100,10.32500,71.35000,32.84700,32.04100,32.13500,0.32000,0.32000
2011-03-31,112.43200,39.34900,73.08300,5.27400,,41.93200,31.15100,-19.04800,12.10300,12.10300,12.10300,0.40400,8.41800,69.60400,31.15100,31.46600,31.54700,0.27000,0.27000
