,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,12649.00000,7683.00000,4966.00000,3363.00000,3363.00000,1603.00000,-417.00000,-713.00000,-164.00000,-549.00000,-540.00000,,-558.00000,,1603.00000,367.60000,369.40000,-1.51800,-1.53000
2022-09-30,20480.00000,17374.00000,3106.00000,3543.00000,3543.00000,-437.00000,,-437.00000,-148.00000,-289.00000,-290.00000,,-284.00000,-563.00000,-437.00000,371.00000,371.00000,-0.78000,-0.78000
2022-06-30,13021.00000,10070.00000,2951.00000,3462.00000,3462.00000,-511.00000,,-511.00000,11.00000,-522.00000,-572.00000,,-565.00000,-341.00000,-511.00000,374.40000,374.40000,-1.53000,-1.53000
2022-03-31,13215.00000,9272.00000,3943.00000,4058.00000,4058.00000,-115.00000,,-115.00000,-69.00000,-46.00000,-44.00000,,-31.00000,-97.00000,-115.00000,376.10000,376.10000,-0.10000,-0.10000
2021-12-31,16424.00000,9890.00000,6534.00000,4086.00000,5146.00000,1388.00000,,1388.00000,170.00000,1218.00000,1242.00000,,1208.00000,2565.00000,1388.00000,387.20000,390.10000,3.27000,3.23000
2021-09-30,21641.00000,15920.00000,5721.00000,3915.00000,3915.00000,1806.00000,,1806.00000,259.00000,1547.00000,1565.00000,,1530.00000,1848.00000,1806.00000,383.80000,386.80000,3.92000,3.90000
2021-06-30,15917.00000,9522.00000,6395.00000,3622.00000,3622.00000,2773.00000,,2773.00000,609.00000,2164.00000,2183.00000,,2158.00000,2788.00000,2773.00000,391.10000,394.10000,5.44000,5.40000
2021-03-31,16952.00000,9482.00000,7470.00000,4056.00000,4056.00000,3414.00000,,3414.00000,636.00000,2778.00000,2804.00000,,2828.00000,3444.00000,3414.00000,396.30000,398.80000,7.02000,6.98000
2020-12-31,16029.00000,11071.00000,4958.00000,4058.00000,4058.00000,900.00000,,900.00000,-88.00000,988.00000,1022.00000,,819.00000,909.00000,900.00000,395.80000,395.80000,2.10000,2.12000
2020-09-30,15425.00000,10017.00000,5408.00000,3961.00000,3961.00000,1447.00000,,1447.00000,-50.00000,1497.00000,1507.00000,,1487.00000,1512.00000,1447.00000,395.30000,397.10000,3.72000,3.70000
