,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3617.00000,3617.00000,2152.00000,-709.00000,681.00000,-62.00000,619.00000,125.00000,494.00000,494.00000,,494.00000,,903.00000,108.90000,111.40000,4.54000,4.43000
2022-09-30,3491.00000,3491.00000,2120.00000,-370.00000,737.00000,-52.00000,685.00000,137.00000,548.00000,548.00000,,548.00000,887.00000,894.00000,110.50000,112.70000,4.96000,4.86000
2022-06-30,3508.00000,3508.00000,2130.00000,-82.00000,999.00000,-44.00000,955.00000,199.00000,756.00000,756.00000,,756.00000,1152.00000,1144.00000,112.30000,114.40000,6.73000,6.61000
2022-03-31,3655.00000,3655.00000,2244.00000,-211.00000,963.00000,-40.00000,923.00000,162.00000,761.00000,761.00000,,761.00000,1092.00000,1104.00000,113.70000,116.20000,6.69000,6.55000
2021-12-31,3760.00000,3760.00000,2282.00000,-378.00000,908.00000,-42.00000,866.00000,165.00000,701.00000,701.00000,,701.00000,1056.00000,1053.00000,117.30000,120.00000,6.03000,5.89000
2021-09-30,2903.00000,2903.00000,2107.00000,719.00000,1334.00000,-64.00000,1270.00000,239.00000,1031.00000,1031.00000,,1031.00000,1481.00000,1506.00000,116.40000,119.20000,8.86000,8.65000
2021-06-30,3418.00000,3418.00000,2063.00000,-404.00000,764.00000,-43.00000,721.00000,130.00000,591.00000,591.00000,,591.00000,948.00000,888.00000,118.40000,121.20000,4.99000,4.88000
2021-03-31,3350.00000,3350.00000,1998.00000,-653.00000,535.00000,-42.00000,493.00000,56.00000,437.00000,437.00000,,437.00000,754.00000,694.00000,119.80000,122.20000,3.65000,3.58000
2020-12-31,3183.00000,3183.00000,1924.00000,-982.00000,228.00000,-38.00000,190.00000,13.00000,177.00000,177.00000,,177.00000,406.00000,349.00000,123.80000,125.70000,1.73000,1.77000
2020-09-30,3003.00000,3003.00000,1791.00000,-1104.00000,-147.00000,-37.00000,-184.00000,-44.00000,-140.00000,-140.00000,,-140.00000,77.00000,23.00000,123.00000,124.90000,-1.14000,-1.14000
2020-06-30,2712.00000,2712.00000,1716.00000,-1467.00000,-485.00000,-41.00000,-526.00000,13.00000,-539.00000,-539.00000,,-539.00000,-174.00000,-223.00000,125.00000,126.20000,-4.31000,-4.31000
2020-03-31,3001.00000,3001.00000,1748.00000,1747.00000,2397.00000,-46.00000,2351.00000,315.00000,2036.00000,2036.00000,,2036.00000,2535.00000,2488.00000,126.40000,128.20000,16.11000,15.88000
2019-12-31,3287.00000,3287.00000,1830.00000,-728.00000,584.00000,-50.00000,534.00000,71.00000,463.00000,463.00000,,463.00000,787.00000,736.00000,134.10000,136.00000,3.57000,3.49000
2019-09-30,3317.00000,3317.00000,1791.00000,-594.00000,693.00000,-52.00000,641.00000,98.00000,543.00000,543.00000,,543.00000,861.00000,820.00000,132.70000,134.50000,4.09000,4.04000
2019-06-30,3245.00000,3245.00000,1771.00000,-584.00000,646.00000,-59.00000,587.00000,95.00000,492.00000,492.00000,,492.00000,877.00000,832.00000,136.10000,138.00000,3.61000,3.57000
