,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1823.00000,1434.00000,389.00000,,127.00000,-30.00000,157.00000,232.00000,-266.00000,-34.00000,-45.00000,11.00000,11.00000,,11.00000,352.00000,232.00000,741.90400,742.95300,0.02000,0.02000
2022-09-30,2276.00000,1694.00000,582.00000,,124.00000,-1.00000,125.00000,457.00000,-70.00000,387.00000,77.00000,310.00000,310.00000,,310.00000,576.00000,457.00000,740.05800,740.97500,0.42000,0.42000
2022-06-30,2973.00000,1789.00000,1184.00000,,125.00000,-12.00000,137.00000,1047.00000,-75.00000,972.00000,184.00000,788.00000,788.00000,,788.00000,1166.00000,1047.00000,744.54200,745.58200,1.06000,1.06000
2022-03-31,3112.00000,1647.00000,1465.00000,,115.00000,-6.00000,121.00000,1344.00000,-364.00000,980.00000,209.00000,771.00000,771.00000,,771.00000,1466.00000,1344.00000,747.50700,748.82300,1.03000,1.03000
2021-12-31,2206.00000,1501.00000,705.00000,,140.00000,44.00000,96.00000,609.00000,-81.00000,528.00000,112.00000,416.00000,416.00000,,416.00000,730.00000,609.00000,749.49600,750.98300,0.56000,0.55000
2021-09-30,2345.00000,1589.00000,756.00000,,122.00000,15.00000,107.00000,649.00000,-83.00000,566.00000,84.00000,482.00000,482.00000,,482.00000,767.00000,649.00000,750.10500,751.44300,0.64000,0.64000
2021-06-30,3144.00000,1583.00000,1561.00000,,119.00000,-13.00000,132.00000,1429.00000,-77.00000,1352.00000,324.00000,1028.00000,1028.00000,,1028.00000,1549.00000,1429.00000,750.12700,751.50800,1.37000,1.37000
2021-03-31,2506.00000,1430.00000,1076.00000,,110.00000,-10.00000,120.00000,956.00000,-86.00000,870.00000,189.00000,681.00000,681.00000,,681.00000,1074.00000,956.00000,748.71800,750.02400,0.91000,0.91000
2020-12-31,2063.00000,1392.00000,671.00000,,114.00000,160.00000,-46.00000,717.00000,-406.00000,311.00000,19.00000,292.00000,292.00000,,292.00000,834.00000,717.00000,746.93100,747.89900,0.39000,0.39000
2020-09-30,2110.00000,1390.00000,720.00000,,118.00000,-92.00000,210.00000,510.00000,-118.00000,392.00000,109.00000,283.00000,283.00000,,283.00000,625.00000,510.00000,746.99600,748.45000,0.38000,0.38000
2020-06-30,1631.00000,1283.00000,348.00000,,102.00000,-3.00000,105.00000,243.00000,-111.00000,132.00000,60.00000,72.00000,72.00000,,72.00000,360.00000,243.00000,746.89600,746.98400,0.10000,0.10000
2020-03-31,1728.00000,1382.00000,346.00000,,96.00000,-10.00000,106.00000,240.00000,-93.00000,147.00000,-3.00000,150.00000,150.00000,,150.00000,363.00000,240.00000,746.53400,747.15500,0.20000,0.20000
2019-12-31,1548.00000,1301.00000,247.00000,,116.00000,38.00000,158.00000,89.00000,-102.00000,-13.00000,1.00000,-14.00000,-14.00000,,-14.00000,217.00000,89.00000,745.89700,745.89700,-0.01000,-0.01000
2019-09-30,1671.00000,1399.00000,272.00000,,105.00000,35.00000,70.00000,202.00000,-100.00000,102.00000,3.00000,99.00000,99.00000,,99.00000,337.00000,202.00000,745.62600,746.51400,0.13000,0.13000
2019-06-30,1692.00000,1390.00000,302.00000,,101.00000,-15.00000,116.00000,186.00000,-95.00000,91.00000,-37.00000,128.00000,128.00000,,128.00000,310.00000,186.00000,745.48600,746.23200,0.17000,0.17000
2019-03-31,1643.00000,1322.00000,321.00000,,110.00000,-37.00000,147.00000,174.00000,-567.00000,-393.00000,-104.00000,-289.00000,-289.00000,,-289.00000,297.00000,174.00000,746.60300,746.60300,-0.39000,-0.39000
2018-12-31,1636.00000,1345.00000,291.00000,,104.00000,-14.00000,114.00000,177.00000,-291.00000,-114.00000,-21.00000,-93.00000,-93.00000,,-93.00000,302.00000,177.00000,754.55600,756.82700,-0.12000,-0.12000
2018-09-30,1910.00000,1452.00000,458.00000,2.00000,98.00000,-21.00000,121.00000,337.00000,-97.00000,240.00000,-15.00000,255.00000,255.00000,,255.00000,459.00000,337.00000,754.98600,757.38900,0.34000,0.34000
2018-06-30,2065.00000,1447.00000,618.00000,2.00000,103.00000,-37.00000,142.00000,476.00000,-94.00000,382.00000,65.00000,317.00000,317.00000,,317.00000,595.00000,476.00000,757.82900,760.53300,0.42000,0.42000
2018-03-31,1865.00000,1348.00000,517.00000,2.00000,101.00000,-10.00000,113.00000,404.00000,-105.00000,299.00000,30.00000,269.00000,269.00000,,269.00000,524.00000,404.00000,756.81500,759.46200,0.35000,0.35000
2017-12-31,1823.00000,1316.00000,507.00000,,93.00000,66.00000,31.00000,476.00000,-102.00000,374.00000,103.00000,271.00000,271.00000,,271.00000,603.00000,476.00000,753.08500,756.66600,0.36000,0.36000
2017-09-30,1872.00000,1374.00000,498.00000,4.00000,97.00000,-178.00000,293.00000,205.00000,-102.00000,103.00000,-27.00000,130.00000,130.00000,,130.00000,337.00000,205.00000,753.53500,756.90300,0.17000,0.17000
2017-06-30,1808.00000,1336.00000,472.00000,4.00000,98.00000,-62.00000,315.00000,157.00000,-99.00000,58.00000,34.00000,24.00000,24.00000,,24.00000,286.00000,157.00000,752.63000,756.45100,0.03000,0.03000
2017-03-31,1693.00000,1272.00000,421.00000,4.00000,109.00000,-2.00000,128.00000,293.00000,-112.00000,181.00000,24.00000,157.00000,157.00000,,157.00000,426.00000,293.00000,750.66500,754.74700,0.21000,0.21000
2016-12-31,1596.00000,1278.00000,318.00000,5.00000,107.00000,-3.00000,144.00000,174.00000,-87.00000,87.00000,25.00000,62.00000,62.00000,489.00000,551.00000,311.00000,174.00000,718.56000,722.40100,0.78000,0.77000
2016-09-30,1709.00000,1328.00000,381.00000,5.00000,102.00000,3.00000,120.00000,261.00000,-77.00000,184.00000,22.00000,162.00000,162.00000,65.00000,227.00000,400.00000,261.00000,749.58700,754.04400,0.30000,0.30000
2016-06-30,1655.00000,1271.00000,384.00000,4.00000,116.00000,-2.00000,136.00000,248.00000,-87.00000,161.00000,31.00000,130.00000,130.00000,38.00000,157.00000,395.00000,248.00000,743.14000,747.70100,0.21000,0.21000
2016-03-31,1405.00000,1103.00000,302.00000,5.00000,102.00000,55.00000,163.00000,139.00000,-67.00000,72.00000,11.00000,61.00000,61.00000,20.00000,70.00000,281.00000,139.00000,632.00400,634.87200,0.11000,0.11000
2015-12-31,819.00000,638.00000,181.00000,4.00000,83.00000,7.00000,103.00000,78.00000,-57.00000,21.00000,-32.00000,53.00000,53.00000,17.00000,59.00000,198.00000,78.00000,516.37100,519.61800,0.11000,0.11000
2015-09-30,1355.00000,1073.00000,282.00000,4.00000,79.00000,-31.00000,116.00000,166.00000,-78.00000,88.00000,-44.00000,132.00000,132.00000,59.00000,180.00000,284.00000,166.00000,514.30100,517.08800,0.35000,0.35000
2015-06-30,1345.00000,1057.00000,288.00000,5.00000,87.00000,4.00000,88.00000,200.00000,-76.00000,124.00000,-1.00000,125.00000,125.00000,19.00000,133.00000,318.00000,200.00000,516.62600,519.80400,0.26000,0.26000
2015-03-31,1727.00000,1385.00000,342.00000,5.00000,102.00000,-21.00000,142.00000,200.00000,-80.00000,120.00000,19.00000,101.00000,101.00000,,90.00000,323.00000,200.00000,523.42600,527.42300,0.17000,0.17000
2014-12-31,-126.00000,-181.00000,55.00000,1.00000,71.00000,-15.00000,94.00000,-39.00000,-73.00000,-112.00000,-77.00000,-35.00000,-35.00000,212.00000,166.00000,86.00000,-39.00000,556.70500,560.89900,0.24000,0.25000
2014-09-30,1915.00000,1504.00000,411.00000,5.00000,101.00000,23.00000,93.00000,318.00000,-81.00000,237.00000,39.00000,198.00000,198.00000,966.00000,1153.00000,441.00000,318.00000,531.91300,536.01200,2.17000,2.15000
2014-06-30,1964.00000,1499.00000,465.00000,7.00000,115.00000,65.00000,65.00000,400.00000,-72.00000,328.00000,59.00000,269.00000,269.00000,22.00000,280.00000,526.00000,400.00000,586.06100,589.76600,0.48000,0.47000
2014-03-31,1736.00000,1361.00000,375.00000,7.00000,116.00000,75.00000,67.00000,308.00000,-74.00000,234.00000,50.00000,184.00000,184.00000,10.00000,183.00000,434.00000,308.00000,584.91500,589.31200,0.31000,0.31000
2013-12-31,1572.00000,1251.00000,321.00000,10.00000,103.00000,3.00000,479.00000,-158.00000,-98.00000,-256.00000,-272.00000,16.00000,16.00000,38.00000,43.00000,-29.00000,-158.00000,566.32900,571.23900,0.07000,0.07000
2013-09-30,1857.00000,1479.00000,378.00000,8.00000,130.00000,4.00000,135.00000,243.00000,-73.00000,170.00000,24.00000,146.00000,146.00000,21.00000,157.00000,363.00000,243.00000,582.82800,587.17900,0.27000,0.27000
2013-06-30,1874.00000,1453.00000,421.00000,8.00000,127.00000,10.00000,128.00000,293.00000,-72.00000,221.00000,36.00000,185.00000,185.00000,13.00000,196.00000,404.00000,293.00000,552.85500,557.58800,0.35000,0.35000
2013-03-31,1951.00000,1533.00000,418.00000,7.00000,169.00000,18.00000,162.00000,256.00000,-71.00000,185.00000,41.00000,144.00000,144.00000,,144.00000,368.00000,256.00000,545.23400,550.78500,0.26000,0.26000
2012-12-31,930.00000,763.00000,167.00000,9.00000,50.00000,31.00000,28.00000,139.00000,-74.00000,65.00000,-5.00000,70.00000,70.00000,,143.00000,257.00000,139.00000,539.14000,542.31000,0.25000,0.25000
2012-09-30,1772.00000,1424.00000,348.00000,8.00000,156.00000,28.00000,146.00000,202.00000,-72.00000,130.00000,13.00000,117.00000,117.00000,,117.00000,314.00000,202.00000,539.09400,542.31100,0.22000,0.22000
2012-06-30,1793.00000,1516.00000,277.00000,8.00000,142.00000,53.00000,101.00000,176.00000,-75.00000,101.00000,17.00000,84.00000,84.00000,,84.00000,289.00000,176.00000,537.96600,540.03300,0.16000,0.16000
2012-03-31,1494.00000,1290.00000,204.00000,7.00000,150.00000,66.00000,103.00000,101.00000,-75.00000,26.00000,-15.00000,41.00000,41.00000,,41.00000,214.00000,101.00000,537.36800,539.72800,0.08000,0.08000
2011-12-31,1615.00000,1317.00000,298.00000,9.00000,149.00000,22.00000,167.00000,131.00000,-76.00000,55.00000,-10.00000,65.00000,65.00000,,65.00000,248.00000,131.00000,537.53400,539.87900,0.13000,0.12000
2011-09-30,1569.00000,1283.00000,286.00000,7.00000,135.00000,-3.00000,186.00000,100.00000,-71.00000,29.00000,-104.00000,133.00000,133.00000,24.00000,157.00000,220.00000,100.00000,537.96900,539.82700,0.29000,0.29000
2011-06-30,1610.00000,1343.00000,267.00000,7.00000,145.00000,19.00000,140.00000,127.00000,-108.00000,19.00000,-4.00000,23.00000,23.00000,-13.00000,10.00000,247.00000,127.00000,538.59900,541.09500,0.02000,0.02000
2011-03-31,1422.00000,1177.00000,245.00000,7.00000,172.00000,174.00000,9.00000,236.00000,-82.00000,154.00000,56.00000,98.00000,98.00000,1.00000,99.00000,359.00000,236.00000,537.14000,540.47600,0.18000,0.18000
2010-12-31,1380.00000,1092.00000,288.00000,10.00000,164.00000,67.00000,233.00000,55.00000,-89.00000,-34.00000,-206.00000,172.00000,172.00000,-1.00000,171.00000,182.00000,55.00000,319.97600,321.09600,0.51000,0.52000
2010-09-30,1514.00000,1193.00000,321.00000,8.00000,161.00000,24.00000,161.00000,160.00000,-76.00000,84.00000,-1028.00000,1112.00000,1112.00000,4.00000,1116.00000,284.00000,160.00000,317.36900,318.36000,3.52000,3.50000
2010-06-30,1641.00000,1314.00000,327.00000,8.00000,162.00000,2.00000,172.00000,155.00000,-143.00000,12.00000,4.00000,8.00000,8.00000,6.00000,14.00000,281.00000,155.00000,211.60000,212.10300,0.07000,0.07000
2010-03-31,1419.00000,1232.00000,187.00000,8.00000,163.00000,70.00000,103.00000,84.00000,-64.00000,20.00000,38.00000,-18.00000,-18.00000,,-20.00000,210.00000,84.00000,211.44000,211.44000,-0.10000,-0.10000
2009-12-31,995.00000,1181.00000,-186.00000,13.00000,192.00000,363.00000,139.00000,-325.00000,111.00000,-214.00000,-76.00000,-138.00000,-138.00000,,-170.00000,-191.00000,-325.00000,211.34200,211.34200,-1.54480,-1.54480
2009-09-30,1407.00000,1137.00000,270.00000,10.00000,147.00000,226.00000,65.00000,205.00000,-175.00000,30.00000,35.00000,-5.00000,-5.00000,,-5.00000,354.00000,205.00000,211.35700,211.35700,-0.02370,-0.02370
2009-06-30,1391.00000,1214.00000,177.00000,15.00000,153.00000,131.00000,166.00000,11.00000,-159.00000,-148.00000,-32.00000,-116.00000,-116.00000,,-106.00000,140.00000,11.00000,211.35600,211.35600,-0.50000,-0.50000
2009-03-31,1275.00000,1129.00000,146.00000,13.00000,189.00000,-88.00000,416.00000,-270.00000,-172.00000,-442.00000,-176.00000,-266.00000,-266.00000,,-264.00000,-144.00000,-270.00000,516.28550,516.28550,-0.51160,-0.51160
