,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,82787.00000,61905.00000,82787.00000,-13009.00000,13991.00000,6891.00000,-676.00000,6215.00000,1307.00000,4908.00000,4908.00000,4761.00000,,6891.00000,,947.00000,,5.03000
2022-09-30,80894.00000,60941.00000,19953.00000,-11663.00000,12491.00000,7462.00000,-516.00000,6946.00000,1562.00000,5384.00000,5384.00000,5262.00000,8290.00000,7462.00000,935.00000,948.00000,5.63000,5.55000
2022-06-30,80332.00000,60689.00000,19643.00000,-11709.00000,12511.00000,7132.00000,-467.00000,6665.00000,1466.00000,5199.00000,5199.00000,5070.00000,7934.00000,7132.00000,937.00000,950.00000,5.41000,5.34000
2022-03-31,80149.00000,61010.00000,19139.00000,-11401.00000,12189.00000,6950.00000,-433.00000,6517.00000,1369.00000,5148.00000,5148.00000,5027.00000,7738.00000,6950.00000,941.00000,954.00000,5.34000,5.27000
2021-12-31,73743.00000,56159.00000,17584.00000,-11272.00000,12043.00000,5541.00000,-431.00000,5110.00000,919.00000,4191.00000,4191.00000,4071.00000,6312.00000,5541.00000,943.00000,956.00000,4.34000,4.26000
2021-09-30,72337.00000,55104.00000,17233.00000,-10725.00000,11521.00000,5712.00000,-422.00000,5290.00000,1099.00000,4191.00000,4191.00000,4086.00000,6508.00000,5712.00000,943.00000,955.00000,4.33000,4.28000
2021-06-30,71321.00000,54206.00000,17115.00000,-10359.00000,11137.00000,5978.00000,-410.00000,5568.00000,1196.00000,4372.00000,4372.00000,4266.00000,6756.00000,5978.00000,944.00000,956.00000,4.52000,4.46000
2021-03-31,70196.00000,52476.00000,17720.00000,-10223.00000,10981.00000,6739.00000,-397.00000,6342.00000,1364.00000,4978.00000,4978.00000,4862.00000,7497.00000,6739.00000,945.00000,957.00000,5.14000,5.08000
2020-12-31,65467.00000,49704.00000,15763.00000,-11514.00000,12246.00000,3517.00000,-401.00000,3116.00000,764.00000,2352.00000,2352.00000,2212.00000,4249.00000,3517.00000,949.00000,961.00000,2.34000,2.30000
2020-09-30,65115.00000,49571.00000,15544.00000,-10174.00000,10893.00000,4651.00000,-395.00000,4256.00000,1000.00000,3256.00000,3256.00000,3172.00000,5370.00000,4651.00000,950.00000,962.00000,3.34000,3.30000
2020-06-30,62138.00000,42179.00000,19959.00000,-10001.00000,10718.00000,9241.00000,-430.00000,8811.00000,2115.00000,6696.00000,6696.00000,6637.00000,9958.00000,9241.00000,949.00000,960.00000,6.99000,6.91000
