,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,8017.00000,1681.00000,6336.00000,5060.00000,5145.00000,1191.00000,-90.00000,1101.00000,171.00000,930.00000,930.00000,853.00000,1501.00000,1501.00000,0.57000,0.57000
2022-09-30,7197.00000,901.00000,6296.00000,3914.00000,3957.00000,2339.00000,-42.00000,2297.00000,481.00000,1816.00000,1816.00000,1718.00000,1486.00000,1486.00000,1.16000,1.16000
2022-06-30,6373.00000,390.00000,5983.00000,3798.00000,3838.00000,2145.00000,-197.00000,1948.00000,414.00000,1534.00000,1534.00000,1464.00000,1486.00000,1487.00000,0.99000,0.99000
2022-03-31,5814.00000,245.00000,5569.00000,3567.00000,3614.00000,1955.00000,,1955.00000,397.00000,1558.00000,1558.00000,1466.00000,1485.00000,1486.00000,0.99000,0.99000
2021-12-31,5889.00000,232.00000,5657.00000,3480.00000,3520.00000,2137.00000,,2137.00000,459.00000,1678.00000,1678.00000,1582.00000,1489.00000,1490.00000,1.07000,1.07000
2021-09-30,6102.00000,238.00000,5864.00000,3225.00000,3266.00000,2598.00000,,2598.00000,564.00000,2034.00000,2034.00000,1934.00000,1483.00000,1484.00000,1.30000,1.30000
2021-06-30,6001.00000,245.00000,5756.00000,3177.00000,3217.00000,2539.00000,,2539.00000,551.00000,1988.00000,1988.00000,1914.00000,1489.00000,1490.00000,1.29000,1.28000
2021-03-31,5722.00000,278.00000,5444.00000,2514.00000,2552.00000,2892.00000,,2892.00000,607.00000,2285.00000,2285.00000,2175.00000,1502.00000,1503.00000,1.45000,1.45000
2020-12-31,6029.00000,304.00000,5725.00000,3758.00000,3805.00000,1920.00000,,1920.00000,395.00000,1525.00000,1525.00000,1425.00000,1509.00000,1510.00000,0.94000,0.94000
2020-09-30,6285.00000,346.00000,5939.00000,3962.00000,4006.00000,1933.00000,,1933.00000,347.00000,1586.00000,1586.00000,1494.00000,1506.00000,1507.00000,0.99000,0.99000
2020-06-30,6286.00000,472.00000,5814.00000,5012.00000,5055.00000,759.00000,,759.00000,64.00000,695.00000,695.00000,614.00000,1506.00000,1507.00000,0.41000,0.41000
2020-03-31,6641.00000,893.00000,5748.00000,4267.00000,4309.00000,1439.00000,,1439.00000,260.00000,1179.00000,1179.00000,1088.00000,1518.00000,1519.00000,0.72000,0.72000
2019-12-31,6691.00000,1048.00000,5643.00000,3752.00000,3796.00000,1847.00000,,1847.00000,354.00000,1493.00000,1493.00000,1408.00000,1581.00000,1583.00000,0.90000,0.92000
2019-09-30,7051.00000,1156.00000,5895.00000,3469.00000,3511.00000,2384.00000,,2384.00000,467.00000,1917.00000,1917.00000,1821.00000,1575.00000,1578.00000,1.16000,1.15000
2019-06-30,6941.00000,1146.00000,5795.00000,3476.00000,3518.00000,2277.00000,,2277.00000,449.00000,1828.00000,1828.00000,1741.00000,1590.00000,1592.00000,1.09000,1.09000
