,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2544.00000,570.90000,1973.10000,601.60020,632.80000,268.40000,1148.00000,825.10000,,603.80020,54.30000,549.49990,549.50000,550.40000,944.90000,825.10000,145.30000,146.00000,3.79000,3.73000
2022-09-30,2508.50000,469.50000,2039.00000,549.20000,563.30000,460.50000,723.90000,1315.10000,56.00000,1371.10000,236.20000,1134.90000,1134.90000,1134.70000,1435.80000,1315.10000,144.40000,144.80000,7.86000,7.84000
2022-06-30,2589.10000,484.00000,2105.10000,528.60000,572.60000,-24.90000,1264.20000,840.90010,428.60000,1269.50000,216.70000,1052.80000,1058.70000,1058.00000,975.70010,840.90010,145.90000,146.20000,7.25000,7.24000
2022-03-31,2531.80000,753.90000,1777.90000,551.70000,634.90000,124.40000,1167.20000,610.70010,-263.30000,347.40000,125.60000,221.80000,218.50000,303.80000,753.80000,610.70010,147.10000,147.60000,2.06000,2.06000
2021-12-31,2733.80100,660.10000,2073.70100,699.49990,787.90010,-1026.60000,2582.10000,-508.39890,,405.00000,443.30000,-38.30000,-20.60000,368.19990,-1002.99900,-508.39980,149.10000,149.60000,2.52000,2.50000
2021-09-30,2778.90000,511.80000,2267.10000,702.40000,654.10000,-5.60000,1473.10000,794.00000,-502.90000,291.10000,-25.90000,317.00000,318.10000,329.20000,970.60000,794.00000,148.00000,148.60000,2.22000,2.22000
2021-06-30,2775.00000,459.70000,2315.30000,585.10000,637.30000,14.90000,1829.60000,485.70000,96.40000,582.10000,-409.10000,991.20000,1025.50000,448.50000,1144.50000,485.70000,149.70000,150.10000,3.00000,2.99000
2021-03-31,2694.00000,478.10000,2215.90000,514.20000,595.00000,-34.70000,1242.00000,973.90000,-506.90000,467.00000,44.20000,422.80000,404.60000,410.20000,1120.80000,973.90000,151.90000,152.30000,2.70000,2.69000
2020-12-31,2852.60000,490.70000,2361.90000,1726.10000,806.20010,586.30000,2195.20000,166.69950,,352.79990,13.40000,339.39990,357.50010,357.90010,257.09950,166.69890,160.90000,161.30000,2.69000,2.67000
2020-09-30,3376.10000,449.10000,2927.00000,1140.90000,573.10000,-44.00000,1840.60000,1086.40000,-128.60000,957.80000,240.80000,717.00000,703.90000,701.50000,1220.40000,1086.40000,156.90000,157.20000,4.47000,4.46000
2020-06-30,3681.60000,411.10000,3270.50000,647.60000,555.10000,-31.80000,1296.00000,1974.50000,63.00000,2037.50000,446.10000,1591.40000,1606.50000,1542.10000,2087.40000,1974.50000,160.60000,160.90000,9.60000,9.59000
2020-03-31,3534.30000,454.30000,3080.00000,476.30000,570.10000,-67.20000,1260.10000,1819.90000,-120.50000,1699.40000,292.00000,1407.40000,1392.60000,1399.10000,1939.80000,1819.90000,172.80000,173.10000,8.10000,8.08000
2019-12-31,3671.30100,447.10010,3224.20000,691.70010,664.90000,-22.20000,1446.50090,1777.69900,-49.30000,1728.40000,276.10000,1452.30000,1439.70000,1439.70000,1890.69900,1777.70000,187.10000,187.40000,8.05000,8.03000
2019-09-30,3600.10000,430.00000,3170.10000,540.40000,554.50000,15.30000,1363.80000,1806.30000,-27.30000,1779.00000,211.30000,1567.70000,1545.90000,1545.90000,2135.80000,1806.30000,184.00000,184.20000,8.40000,8.39000
2019-06-30,3616.70000,476.30000,3140.40000,484.80000,587.60000,-41.20000,1184.50000,1955.90000,-197.40000,1758.50000,248.10000,1510.40000,1494.10000,1494.10000,2072.90000,1955.90000,190.30000,190.40000,7.85000,7.85000
2019-03-31,3489.80000,602.00000,2887.80000,563.70000,567.70000,-185.10000,1385.10000,1502.70000,357.30000,1860.00000,422.50000,1437.50000,1408.80000,1408.80000,1623.80000,1502.70000,196.60000,197.00000,7.17000,7.15000
2018-12-31,3526.30000,488.50000,3037.80000,611.60000,591.10020,-135.10000,1594.69900,1443.10100,-28.60000,1414.50000,469.60000,944.90010,944.90010,946.80020,1406.70100,1443.10100,204.90000,205.30000,4.73000,4.71000
2018-09-30,3439.00000,460.80000,2978.20000,507.90000,497.70000,40.40000,1280.60000,1697.60000,115.10000,1812.70000,369.80000,1442.90000,1442.90000,1444.40000,2044.10000,1697.60000,201.40000,201.90000,7.17000,7.15000
2018-06-30,3356.50000,421.00000,2935.50000,981.00000,516.20000,-41.10000,1722.30000,1213.20000,-34.50000,1178.70000,263.70000,914.99990,914.99990,866.60000,1384.70000,1213.20000,207.10000,207.30000,4.18000,4.18000
2018-03-31,3131.10000,446.00000,2685.10000,496.70000,501.30000,-36.90000,1150.40000,1534.70000,-41.00000,1493.70000,322.50000,1171.20000,1171.20000,1172.90000,1703.60000,1534.70000,211.40000,211.70000,5.55000,5.54000
2017-12-31,3307.00100,509.20000,2797.80100,587.60010,571.99990,-31.30000,1331.60000,1466.20100,-66.40000,1399.80000,1566.10000,-166.30030,-166.30030,-297.39980,1675.20100,1466.20100,212.60000,213.00000,-1.40000,-1.40000
2017-09-30,3077.80000,370.00000,2707.80000,446.40000,433.40000,-65.20000,1053.90000,1653.90000,-44.00000,1609.90000,383.80000,1226.10000,1226.10000,1226.10000,1831.30000,1653.90000,211.40000,211.80000,5.80000,5.79000
2017-06-30,3078.40000,366.20000,2712.20000,796.20000,429.80000,-47.70000,1511.20000,1201.00000,-68.60000,1132.40000,269.60000,862.80000,862.80000,862.80000,1383.60000,1201.00000,211.90000,212.20000,4.07000,4.07000
2017-03-31,2810.70000,384.60000,2426.10000,423.40000,498.70000,-30.80000,1401.40000,1024.70000,-38.00000,986.70000,239.20000,747.50000,747.50000,747.60000,1536.70000,1024.70000,215.60000,215.90000,3.47000,3.46000
2016-12-31,2872.00000,378.49990,2493.50000,533.90010,494.19990,-461.90000,1606.00010,887.49950,-49.30000,838.20010,190.30010,647.90000,647.90000,649.19980,1064.90000,887.49950,218.40000,218.80000,3.01000,3.00000
2016-09-30,2955.80000,416.90000,2538.90000,529.00000,462.70000,-10.60000,1113.60000,1425.30000,-58.10000,1367.20000,337.00000,1030.20000,1030.20000,1032.90000,1605.50000,1425.30000,218.90000,219.40000,4.72000,4.71000
2016-06-30,2894.20000,370.30000,2523.90000,473.10000,492.40000,-5.00000,1063.40000,1460.50000,-58.50000,1402.00000,353.60000,1048.40000,1048.40000,1049.80000,1635.90000,1460.50000,219.10000,219.40000,4.79000,4.79000
2016-03-31,2726.80000,313.00000,2413.80000,437.30000,497.30000,-2.30000,1035.40000,1378.40000,-52.80000,1325.60000,356.40000,969.20000,969.20000,970.90000,1528.10000,1378.40000,218.90000,219.30000,4.44000,4.43000
2015-12-31,2839.30000,331.90010,2507.40000,541.70000,583.00000,-24.70000,1339.39990,1168.00000,-82.40000,1085.80000,257.10000,828.69970,828.69980,831.59990,1324.30000,1168.00000,230.70000,231.20000,3.78000,3.77000
2015-09-30,2777.90000,310.00000,2467.90000,519.90000,477.80000,-0.20000,1096.00000,1371.90000,-15.40000,1356.40000,330.10000,1026.30000,1019.50000,965.60000,1523.50000,1371.90000,232.20000,232.60000,4.16000,4.15000
2015-06-30,2591.60000,286.10000,2305.50000,490.70000,491.90000,2.20000,1072.40000,1233.10000,-10.90000,1222.20000,292.50000,929.70000,924.79990,927.30000,1377.70000,1233.10000,235.30000,235.70000,3.94000,3.93000
2015-03-31,2555.00000,312.40000,2242.60000,460.50000,560.40000,-7.80000,1124.60000,1118.00000,-15.00000,1102.90000,281.90000,821.00000,820.20000,822.50000,1265.90000,1118.00000,235.00000,235.60000,3.50000,3.49000
2014-12-31,2640.65000,297.22900,2343.42100,500.06920,573.56790,-2.65100,1183.57300,1159.84900,-8.77000,1150.97900,268.19100,882.78830,882.61990,883.48020,1317.44100,1159.84900,236.40000,237.20000,3.74000,3.72000
2014-09-30,2511.44600,302.63900,2208.80700,417.17400,570.43600,53.81200,1056.22900,1152.57800,-16.29000,1136.28800,274.77400,861.51400,856.12000,856.85800,1327.98400,1152.57800,236.21700,236.97200,3.63000,3.62000
2014-06-30,2421.45200,291.88700,2129.56500,447.27300,576.62200,-0.11900,1140.84000,988.72500,4.86100,993.58600,268.52100,725.06500,723.13200,714.50600,1152.86400,988.72500,236.66100,237.40100,3.02000,3.01000
2014-03-31,2129.75100,279.24500,1850.50600,528.88400,511.67400,4.65800,1179.15800,671.34790,-5.60100,665.74700,178.41400,487.33300,479.72800,479.95600,862.31090,671.34790,236.78600,237.84900,2.03000,2.02000
2013-12-31,1965.85100,258.52700,1707.32400,422.28000,522.90600,5.05500,1049.50700,657.81690,-5.37500,652.54210,190.24700,462.29510,457.36520,457.26500,816.15990,657.81730,236.90000,238.30000,1.93000,1.91000
2013-09-30,1827.78000,234.69600,1593.08400,410.01700,405.58400,7.04600,908.55300,684.53100,-4.64000,679.89100,186.10500,493.78600,487.61600,487.61600,832.00800,684.53100,237.07000,238.34900,2.06000,2.05000
2013-06-30,1723.47300,230.72800,1492.74500,327.46300,431.01200,10.48200,830.21800,662.52710,-10.42800,652.09900,159.14000,492.95900,490.67000,490.67000,790.95410,662.52710,237.48400,238.74300,2.07000,2.06000
2013-03-31,1415.09600,133.74900,1281.34700,284.34000,352.59800,-82.58300,770.82200,510.52500,-14.45700,496.06800,65.50800,430.56000,426.74900,426.74900,607.97800,510.52500,236.83700,238.30400,1.80000,1.79000
2012-12-31,1417.94200,133.82700,1284.11500,345.18090,375.97800,-66.50200,838.60910,445.50590,-14.29000,431.21600,136.34100,294.87500,292.12610,292.12590,542.38200,445.50570,237.93800,239.74000,1.24000,1.23000
2012-09-30,1385.55400,139.35800,1246.19600,304.21700,299.63100,-53.28200,710.94600,535.25000,-4.54800,530.70200,131.04400,399.65800,398.40000,398.40000,629.45300,535.25000,236.47400,238.12500,1.68000,1.67000
2012-06-30,1420.95100,139.11200,1281.83900,329.55900,301.76700,-91.36900,776.11600,505.72310,2.95000,508.67300,121.02100,387.65200,387.14100,386.84600,596.34710,505.72310,238.98800,240.62200,1.62000,1.61000
2012-03-31,1292.01400,133.19700,1158.81700,355.96200,300.08900,-87.15200,789.44700,369.37010,15.14400,384.51400,82.14800,302.36600,302.36600,302.66100,453.31510,369.37010,239.75400,241.82800,1.26000,1.25000
2011-12-31,1326.71100,139.63700,1187.07400,338.93400,283.91810,-103.61700,777.97200,409.10170,-3.97300,405.12900,104.92000,300.20910,300.20910,300.23700,497.82270,409.10180,242.39500,245.03300,1.23000,1.23000
2011-09-30,1309.93400,123.52700,1186.40700,301.39100,261.39800,-83.97500,697.91390,488.49300,-7.72700,480.76600,127.10400,353.66200,353.66200,351.82600,575.86000,488.49300,242.88300,245.36600,1.45000,1.43000
2011-06-30,1208.64700,100.50300,1108.14400,285.64400,266.30100,-90.25000,697.33100,410.81300,-11.72800,399.08500,95.03600,304.04900,304.04900,288.03400,501.11300,410.81300,242.37500,244.96600,1.19000,1.18000
2011-03-31,1203.34200,103.11300,1100.22900,293.63300,244.51600,-75.99400,683.94600,416.28310,9.95100,426.23400,117.46800,308.76600,308.76600,294.33100,508.82810,416.28310,241.53600,244.55100,1.22000,1.20000
2010-12-31,1219.07200,100.30400,1118.76800,290.84510,276.39400,-67.83100,763.58310,355.18460,-4.66400,350.52110,78.76900,271.75200,271.75200,240.27800,450.83960,355.18470,252.30700,254.86700,0.99000,0.97000
2010-09-30,1175.78900,95.91800,1079.87100,319.05400,244.16000,-63.99100,885.73600,194.13490,-6.94500,187.19000,75.01100,112.17900,112.17900,254.11500,284.26290,194.13490,239.86400,242.31300,1.06000,1.05000
2010-06-30,1212.70200,106.98500,1105.71700,331.67500,262.32200,-62.69200,709.83700,395.88000,1.01200,396.89200,102.24300,294.64900,294.64900,293.43800,483.33100,395.88000,259.93800,261.65800,1.13000,1.12000
2010-03-31,1108.86000,97.05500,1011.80500,307.03000,248.66400,-63.55700,708.11600,303.68900,-8.38600,295.30300,75.31000,219.99300,219.99300,217.44200,386.19900,303.68900,269.92200,272.70300,0.80000,0.80000
2009-12-31,1127.05700,99.70000,1027.35700,283.08200,241.62000,-63.29600,643.98010,383.37700,6.36600,389.74300,83.74700,305.99600,305.99600,305.63700,476.57700,383.37710,287.35600,289.47600,1.07000,1.07000
2009-09-30,1120.51800,93.48600,1027.03200,304.05500,226.75500,-60.69700,642.85400,384.17790,9.36000,393.53800,113.93600,279.60200,279.60200,277.66300,470.06190,384.17790,288.91700,291.03700,0.96000,0.95000
2009-06-30,1093.28900,90.72100,1002.56800,416.45300,220.82900,-49.13800,779.65400,222.91390,14.68000,237.59400,92.70900,144.88500,144.88500,142.84500,349.64490,222.91390,288.61500,290.35900,0.49000,0.49000
2009-03-31,1036.48400,98.19700,938.28700,279.47800,221.83000,-42.77300,633.32900,304.95800,6.84600,311.80400,65.22500,246.57900,246.57900,243.98700,427.10400,304.95800,287.70300,289.74400,0.85000,0.84000
