,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1057.68500,425.54500,632.14000,45.94200,227.58600,290.06990,342.07020,-17.05600,325.01400,59.18000,265.83400,265.83400,265.83400,370.39520,342.06990,22.49200,22.71800,11.91000,11.81000
2022-09-30,985.84600,401.19000,584.65600,44.12900,233.35700,294.21400,290.44200,-14.55700,275.88500,55.28800,220.59700,220.59700,220.59700,318.84400,290.44200,22.40300,22.61000,9.85000,9.76000
2022-06-30,978.38700,406.72600,571.66100,44.02300,242.20600,302.59400,269.06700,-12.37500,256.69200,44.62200,212.07000,212.07000,212.07000,296.87900,269.06700,22.59300,22.82200,9.39000,9.29000
2022-03-31,897.79100,378.20600,519.58500,43.02800,235.31200,294.94400,224.64100,-11.64000,213.00100,39.00000,174.00100,174.00100,174.00100,253.12500,224.64100,22.76800,23.04000,7.64000,7.55000
2021-12-31,1037.23900,430.10600,607.13280,45.61500,242.44500,304.99420,302.13870,-16.16300,285.97600,55.10500,230.87100,230.87100,230.87100,330.61470,302.13880,23.13000,23.45800,10.04000,9.90000
2021-09-30,951.95000,396.13000,555.82000,42.27600,240.73400,299.04900,256.77100,-9.18400,247.58700,43.89900,203.68800,203.68800,203.68800,283.98900,256.77100,23.05700,23.39400,8.83000,8.71000
2021-06-30,924.35100,387.44700,536.90400,42.60300,239.04500,297.86600,239.03800,-8.65400,230.38400,45.62100,184.76300,184.76300,184.76300,266.57400,239.03800,23.19100,23.52200,7.97000,7.85000
2021-03-31,804.39000,332.69400,471.69600,39.27200,221.75200,274.90800,196.78800,-11.37400,185.41400,35.75100,149.66300,149.66300,149.66300,221.61500,196.78800,23.36500,23.68600,6.41000,6.32000
2020-12-31,937.98510,378.94100,559.04410,39.86600,226.36900,280.89210,278.15200,-8.97200,269.18000,52.88500,216.29500,216.29500,216.29500,303.90400,278.15200,23.88300,24.19900,9.11000,8.98000
2020-09-30,807.35700,337.74900,469.60800,34.65600,204.97400,253.75100,215.85700,-10.04800,205.80900,44.04200,161.76700,161.76700,161.76700,240.60000,215.85700,23.92200,24.22500,6.76000,6.68000
2020-06-30,690.67300,292.70300,397.97000,31.19300,190.13400,235.21600,162.75400,-7.49900,155.25500,28.69300,126.56200,126.56200,126.56200,186.83700,162.75400,23.94000,24.22900,5.29000,5.22000
2020-03-31,649.16200,274.75300,374.40900,34.38700,198.74400,247.12900,127.28000,-8.78100,118.49900,20.38400,98.11500,98.11500,98.11500,151.41100,127.28000,24.02800,24.35300,4.08000,4.03000
2019-12-31,843.96810,345.67000,498.29810,35.30000,206.71700,254.83000,243.46810,-12.32500,231.14300,38.39400,192.74900,192.74900,192.74900,265.92410,243.46810,24.56800,24.97400,7.91000,7.79000
2019-09-30,753.86600,318.81000,435.05600,36.01500,202.82600,251.17000,183.88600,-14.52700,169.35900,39.96400,129.39500,129.39500,129.39500,206.17300,183.88600,24.48700,24.88000,5.28000,5.20000
2019-06-30,731.36600,311.82800,419.53800,36.58200,205.21500,254.12300,165.41500,-10.19900,155.21600,28.05600,127.16000,127.16000,127.16000,187.36400,165.41500,24.69800,25.11800,5.15000,5.06000
2019-03-31,679.45200,291.13300,388.31900,36.05300,204.42500,252.70000,135.61900,-9.94300,125.67600,13.87100,111.80500,111.80500,111.80500,157.60800,135.61900,24.85100,25.31100,4.50000,4.42000
2018-12-31,817.92300,340.35700,477.56600,36.20500,201.65300,249.82100,227.74510,2.70900,230.45390,49.26800,181.18590,181.18590,181.18600,248.98610,227.74500,25.21600,25.78100,7.22000,7.06000
2018-09-30,734.84600,315.59200,419.25400,34.83800,202.45100,249.14500,170.10900,-9.74600,160.36300,33.71000,126.65300,126.65300,126.65300,191.24800,170.10900,25.12600,25.68300,5.04000,4.93000
2018-06-30,721.99600,309.37100,412.62500,35.31500,208.02400,255.30900,157.31600,-13.71400,143.60200,32.13400,111.46800,111.46800,111.46800,178.73500,157.31600,25.29900,25.86700,4.41000,4.31000
2018-03-31,660.82100,285.88800,374.93300,34.71300,200.67400,247.12200,127.81100,-10.37200,117.43900,24.13500,93.30400,93.30400,93.30400,148.70300,127.81100,25.46800,26.09600,3.66000,3.58000
2017-12-31,778.03090,322.25600,455.77490,32.32300,206.54800,250.53200,205.24290,-11.34300,193.90000,116.92400,76.97600,181.92600,76.97600,225.94090,205.24290,25.71400,26.39400,3.01000,2.93000
2017-09-30,698.79900,297.82400,400.97500,32.20300,207.03300,249.95200,151.02300,-11.39600,139.62700,34.67700,104.95000,,104.95000,170.24100,151.02300,25.61300,26.30400,4.10000,3.99000
2017-06-30,653.65600,278.04400,375.61200,32.58200,195.62400,238.45500,137.15700,-10.31000,126.84700,25.26700,101.58000,101.58000,101.58000,155.35900,137.15700,25.75100,26.44000,3.94000,3.84000
2017-03-31,594.56700,251.17800,343.38900,31.20000,185.65600,226.90100,116.48800,-2.64000,113.84800,21.38200,92.46600,92.46600,92.46600,134.49900,116.48800,25.93200,26.58600,3.57000,3.48000
2016-12-31,709.69900,288.94410,420.75500,29.38300,200.95900,240.22800,180.52700,0.75700,181.28400,43.50800,137.77600,137.77600,137.77600,198.62900,180.52690,26.51800,27.02400,5.22000,5.12000
2016-09-30,650.59800,281.10400,369.49400,30.13900,187.68000,226.90600,142.58800,-9.26400,133.32400,31.99200,101.33200,101.33200,101.33200,160.08600,142.58800,26.37500,26.88900,3.84000,3.77000
2016-06-30,608.28600,260.71000,347.57600,30.70100,187.79800,227.15400,120.42200,-17.25000,103.17200,23.58400,79.58800,79.58800,79.58800,137.07100,120.42200,26.63100,27.14300,2.99000,2.93000
2016-03-31,539.67400,239.76700,299.90700,28.97300,168.92100,206.31800,93.58900,-7.17600,86.41300,20.73900,65.67400,65.67400,65.67400,110.13500,93.58900,26.93100,27.42100,2.44000,2.40000
2015-12-31,673.53500,282.78800,390.74700,31.11000,177.41800,216.55010,174.19690,-12.70600,161.49100,38.14000,123.35100,123.35100,123.35100,190.32790,174.19700,27.68100,28.27000,4.49000,4.40000
2015-09-30,604.15400,264.62500,339.52900,29.71100,175.54600,213.02400,126.50500,-9.58200,116.92300,28.06200,88.86100,88.86100,88.86100,142.59200,126.50500,27.54800,28.11300,3.23000,3.16000
2015-06-30,582.05700,259.14500,322.91200,29.79400,174.80800,212.23600,110.67600,-8.62900,102.04700,24.49000,77.55700,77.55700,77.55700,126.66700,110.67600,27.84400,28.46000,2.79000,2.73000
2015-03-31,535.70100,236.89600,298.80500,28.46100,173.03800,209.02700,89.77800,-6.81500,82.96300,19.91200,63.05100,63.05100,63.05100,105.60700,89.77800,28.11500,28.76300,2.24000,2.19000
2014-12-31,697.42800,303.04600,394.38200,31.32300,186.78900,225.72210,168.65990,-9.27400,159.38600,38.21400,121.17200,121.17200,121.17200,184.41780,168.65990,28.89100,29.57100,4.22000,4.13000
2014-09-30,629.10000,285.54900,343.55100,30.35200,186.49900,224.04900,119.50200,-7.66600,111.83600,26.84000,84.99600,84.99600,84.99600,135.29500,119.50200,28.73200,29.40900,2.96000,2.89000
2014-06-30,608.83400,280.65800,328.17600,32.12500,183.10300,222.51100,105.66500,-8.26700,97.39800,23.37600,74.02200,74.02200,74.02200,121.40200,105.66500,29.07500,29.75100,2.55000,2.49000
2014-03-31,550.62100,257.98000,292.64100,29.49700,172.19100,208.78200,83.85900,-7.47500,76.38400,18.33300,58.05100,58.05100,58.05100,99.37300,83.85900,29.37000,30.08800,1.98000,1.93000
2013-12-31,684.25000,308.89290,375.35710,30.59700,179.78800,217.32000,158.03710,-13.13300,144.90400,34.74200,110.16200,110.16200,110.16200,173.71310,158.03700,29.94600,30.72800,3.71000,3.60000
2013-09-30,591.68700,273.11400,318.57300,29.04600,173.44600,209.16700,109.40600,-11.61000,97.79600,23.47000,74.32600,74.32600,74.32600,124.65800,109.40600,29.81800,30.58000,2.49000,2.43000
2013-06-30,578.68000,269.83700,308.84300,29.00300,173.43400,208.24400,100.59900,-9.72600,90.87300,21.81100,69.06200,69.06200,69.06200,114.97200,100.59900,30.12000,30.85000,2.29000,2.24000
2013-03-31,524.35500,245.19700,279.15800,27.70000,166.02500,198.84700,80.31100,-11.17500,69.13600,16.59200,52.54400,52.54400,52.54400,94.31400,80.31100,30.30000,31.10200,1.73000,1.69000
2012-12-31,657.29210,300.50400,356.78810,28.00100,175.37900,208.96620,147.82200,-11.86000,135.96200,31.32900,104.63300,104.63300,104.63300,162.55100,147.82190,31.04500,31.82400,3.40000,3.31000
2012-09-30,578.55300,270.39600,308.15700,27.89600,171.02100,204.13200,104.02500,-8.42000,95.60500,23.42200,72.18300,72.18300,72.18300,117.41200,104.02500,30.84600,31.59900,2.34000,2.28000
2012-06-30,570.28300,271.27500,299.00800,27.96600,169.98500,203.30800,95.70000,-13.97400,81.72600,20.02200,61.70400,61.70400,61.70400,109.38800,95.70000,31.26800,32.03900,1.97000,1.93000
2012-03-31,535.40000,258.29800,277.10200,28.66700,167.64100,201.50700,75.59500,-6.28700,69.30800,16.98100,52.32700,52.32700,52.32700,88.56900,75.59500,31.53200,32.38700,1.66000,1.62000
2011-12-31,648.35990,302.20100,346.15890,30.11500,184.36800,219.54910,126.60980,-9.10600,117.50400,23.22200,94.28200,94.28200,94.28200,139.99480,126.60980,31.89800,32.83900,2.97000,2.89000
2011-09-30,601.11400,286.69700,314.41700,30.06800,185.83200,220.69500,93.72200,-6.66400,87.05800,18.86200,68.19600,68.19600,68.19600,107.03300,93.72200,31.76000,32.66400,2.15000,2.09000
2011-06-30,561.08800,264.89700,296.19100,29.60500,172.05400,205.98400,90.20700,-8.87000,81.33700,21.14900,60.18800,60.18800,60.18800,102.00300,90.20700,31.99800,33.01400,1.88000,1.82000
2011-03-31,498.76600,237.25900,261.50700,26.35100,161.37800,191.35100,70.15600,-6.87800,63.27800,16.45100,46.82700,46.82700,46.82700,81.16100,70.15600,32.29100,33.29200,1.45000,1.41000
2010-12-31,592.76500,276.17500,316.58990,26.46600,164.80700,195.50210,121.08790,-10.99700,110.09100,29.23900,80.85200,80.85200,80.85200,132.74190,121.08780,33.28000,34.14000,2.46000,2.39000
2010-09-30,490.21300,234.15800,256.05500,24.99200,145.30300,173.96200,82.09300,-5.23100,76.86200,14.78100,62.08100,62.08100,62.08100,93.55600,82.09300,33.17100,34.02700,1.87000,1.82000
2010-06-30,468.54900,221.92400,246.62500,23.10500,143.60200,170.27200,76.35300,-6.96700,69.38600,18.03900,51.34700,51.34700,51.34700,86.93600,76.35300,33.53600,34.39600,1.53000,1.49000
2010-03-31,416.65100,198.72500,217.92600,22.46500,135.01400,160.86000,57.06600,-5.89200,51.17400,13.30600,37.86800,37.86800,37.86800,67.89400,57.06600,33.75700,34.53300,1.12000,1.10000
2009-12-31,511.68200,241.69400,269.98800,23.73100,138.96800,165.80900,104.17900,-9.34700,94.83200,25.39400,69.43800,69.43800,69.43800,114.99700,104.17910,33.71600,34.29100,2.06000,2.01000
2009-09-30,435.65000,210.45700,225.19300,22.30900,129.68600,155.23200,69.96100,-13.05100,56.91000,15.36500,41.54500,41.54500,41.54500,80.77100,69.96100,33.72900,34.41400,1.23000,1.21000
2009-06-30,407.44200,201.20800,206.23400,22.07500,122.48800,147.37700,58.85700,-20.87000,37.98700,10.25600,27.73100,27.73100,27.73100,68.97500,58.85700,33.69000,34.19300,0.82000,0.81000
2009-03-31,374.07900,186.15700,187.92200,21.57000,114.03500,138.28800,49.63400,-14.60100,35.03300,1.15400,33.87900,33.87900,33.87900,59.36600,49.63400,33.63100,33.99600,1.01000,1.00000
