,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4126.00000,971.00000,3155.00000,2176.00000,2235.00000,920.00000,-31.00000,889.00000,156.00000,733.00000,733.00000,,696.00000,365.21400,370.10900,1.93000,1.91000
2022-09-30,3400.00000,441.00000,2959.00000,2039.00000,2097.00000,862.00000,-13.00000,849.00000,159.00000,690.00000,690.00000,,669.00000,367.78900,372.41800,1.82000,1.80000
2022-06-30,3073.00000,120.00000,2953.00000,2046.00000,2106.00000,847.00000,-12.00000,835.00000,88.00000,747.00000,747.00000,,712.00000,367.37500,372.12300,1.94000,1.91000
2022-03-31,3093.00000,12.00000,3081.00000,2257.00000,2318.00000,763.00000,-9.00000,754.00000,150.00000,604.00000,604.00000,,583.00000,366.54200,372.03700,1.59000,1.57000
2021-12-31,3052.00000,-1.00000,3053.00000,2235.00000,2297.00000,756.00000,-26.00000,730.00000,33.00000,697.00000,697.00000,,662.00000,352.56500,357.96200,1.81000,1.79000
2021-09-30,2990.00000,,2990.00000,2034.00000,,894.00000,-18.00000,876.00000,162.00000,714.00000,714.00000,,693.00000,347.71800,353.49400,1.99000,1.96000
2021-06-30,3034.00000,,3034.00000,2022.00000,,949.00000,-11.00000,938.00000,175.00000,763.00000,763.00000,,728.00000,345.88900,351.58200,2.11000,2.07000
2021-03-31,2954.00000,4.00000,2950.00000,2255.00000,2313.00000,637.00000,-10.00000,627.00000,108.00000,519.00000,519.00000,,489.00000,350.74300,355.69000,1.39000,1.37000
2020-12-31,2931.00000,14.00000,2917.00000,2205.00000,2264.00000,653.00000,-12.00000,641.00000,104.00000,537.00000,537.00000,,498.00000,352.86500,357.10600,1.41000,1.39000
2020-09-30,2826.00000,42.00000,2784.00000,2029.00000,2088.00000,696.00000,-15.00000,681.00000,126.00000,555.00000,555.00000,,517.00000,352.58600,357.16800,1.47000,1.45000
2020-06-30,3052.00000,115.00000,2937.00000,2064.00000,2122.00000,815.00000,-12.00000,803.00000,109.00000,694.00000,694.00000,,662.00000,352.15700,356.41300,1.88000,1.86000
2020-03-31,3269.00000,204.00000,3065.00000,2222.00000,2280.00000,785.00000,-11.00000,774.00000,140.00000,634.00000,634.00000,,580.00000,353.74600,357.99300,1.64000,1.62000
2019-12-31,3318.00000,270.00000,3048.00000,2323.00000,2381.00000,667.00000,-38.00000,638.00000,74.00000,564.00000,564.00000,,492.00000,369.91100,373.66600,1.35000,1.36000
2019-09-30,3260.00000,357.00000,2903.00000,2096.00000,2155.00000,748.00000,-27.00000,721.00000,138.00000,583.00000,583.00000,,528.00000,366.73200,370.59500,1.44000,1.42000
2019-06-30,3267.00000,394.00000,2873.00000,2084.00000,2143.00000,730.00000,-12.00000,718.00000,131.00000,587.00000,587.00000,,537.00000,373.77300,377.57700,1.44000,1.42000
2019-03-31,3286.00000,354.00000,2932.00000,2228.00000,2288.00000,644.00000,-9.00000,635.00000,127.00000,508.00000,508.00000,,452.00000,377.91500,381.70300,1.20000,1.18000
2018-12-31,3308.00000,285.00000,3023.00000,2389.00000,2470.00000,553.00000,,529.00000,92.00000,437.00000,437.00000,,396.00000,371.98300,376.47600,1.02000,1.02000
2018-09-30,3233.00000,244.00000,2989.00000,2049.00000,2096.00000,893.00000,,893.00000,129.00000,764.00000,764.00000,,708.00000,374.96300,379.38300,1.89000,1.87000
2018-06-30,3311.00000,248.00000,3063.00000,2124.00000,2172.00000,891.00000,,891.00000,158.00000,733.00000,733.00000,,697.00000,365.61900,370.41000,1.91000,1.88000
2018-03-31,3270.00000,214.00000,3056.00000,2218.00000,2268.00000,788.00000,,788.00000,129.00000,659.00000,659.00000,,603.00000,367.43900,372.61900,1.64000,1.62000
2017-12-31,3123.00000,181.00000,2942.00000,1942.00000,1996.00000,946.00000,-204.00000,813.00000,464.00000,349.00000,349.00000,,313.00000,374.79300,380.21300,0.84000,0.85000
2017-09-30,3004.00000,158.00000,2846.00000,1937.00000,1991.00000,855.00000,-33.00000,822.00000,137.00000,685.00000,685.00000,,629.00000,372.76500,378.51800,1.69000,1.66000
2017-06-30,2935.00000,125.00000,2810.00000,1909.00000,1963.00000,847.00000,-71.00000,776.00000,156.00000,620.00000,620.00000,,584.00000,375.39500,380.91500,1.56000,1.53000
2017-03-31,2808.00000,140.00000,2668.00000,2003.00000,2055.00000,613.00000,-29.00000,584.00000,82.00000,502.00000,502.00000,,446.00000,381.22400,386.41700,1.17000,1.15000
2016-12-31,2632.00000,102.00000,2530.00000,2088.00000,2142.00000,388.00000,-43.00000,345.00000,-248.00000,593.00000,595.00000,,557.00000,391.48500,396.09000,1.44000,1.42000
2016-09-30,2730.00000,110.00000,2620.00000,1887.00000,1942.00000,678.00000,-42.00000,636.00000,72.00000,564.00000,563.00000,,507.00000,388.35800,393.21200,1.31000,1.29000
2016-06-30,2672.00000,99.00000,2573.00000,1795.00000,1844.00000,729.00000,-20.00000,709.00000,92.00000,617.00000,617.00000,2.00000,585.00000,394.16000,398.84700,1.48000,1.47000
2016-03-31,2601.00000,117.00000,2484.00000,1901.00000,1950.00000,534.00000,-104.00000,430.00000,62.00000,368.00000,368.00000,,319.00000,399.42100,403.61500,0.80000,0.79000
2015-12-31,2647.00000,109.00000,2538.00000,1802.00000,1852.00000,686.00000,-6.00000,680.00000,103.00000,577.00000,577.00000,,547.00000,407.85600,413.63800,1.35000,1.34000
2015-09-30,2715.00000,101.00000,2614.00000,1909.00000,1957.00000,657.00000,-10.00000,647.00000,67.00000,580.00000,580.00000,1.00000,539.00000,406.61200,412.16700,1.33000,1.31000
2015-06-30,2702.00000,94.00000,2608.00000,2084.00000,2133.00000,475.00000,-3.00000,472.00000,54.00000,418.00000,418.00000,,389.00000,410.67400,416.71200,0.95000,0.93000
2015-03-31,2696.00000,96.00000,2600.00000,2045.00000,2095.00000,505.00000,-6.00000,499.00000,94.00000,405.00000,405.00000,,373.00000,412.22500,418.75000,0.90000,0.89000
2014-12-31,2711.00000,102.00000,2609.00000,1949.00000,2009.00000,600.00000,-52.00000,548.00000,71.00000,477.00000,477.00000,,458.00000,424.22300,432.00700,1.10000,1.08000
2014-09-30,2683.00000,101.00000,2582.00000,1820.00000,1874.00000,708.00000,-20.00000,688.00000,128.00000,560.00000,560.00000,,542.00000,421.97400,429.73600,1.28000,1.26000
2014-06-30,2687.00000,89.00000,2598.00000,1770.00000,1824.00000,774.00000,-28.00000,746.00000,124.00000,622.00000,622.00000,,602.00000,427.82400,435.32000,1.41000,1.38000
2014-03-31,2585.00000,100.00000,2485.00000,1943.00000,1997.00000,488.00000,-33.00000,455.00000,92.00000,363.00000,363.00000,,356.00000,430.62100,438.81500,0.83000,0.81000
2013-12-31,2543.00000,99.00000,2444.00000,1762.00000,1816.00000,628.00000,-30.00000,592.00000,125.00000,467.00000,467.00000,,459.00000,446.24500,455.15500,1.06000,1.04000
2013-09-30,2522.00000,97.00000,2425.00000,1639.00000,1692.00000,733.00000,-30.00000,703.00000,163.00000,540.00000,540.00000,,531.00000,442.86000,452.15400,1.20000,1.17000
2013-06-30,2664.00000,104.00000,2560.00000,1714.00000,1768.00000,792.00000,-30.00000,762.00000,183.00000,579.00000,579.00000,,571.00000,452.17600,461.04000,1.26000,1.24000
2013-03-31,2546.00000,111.00000,2435.00000,1759.00000,1812.00000,623.00000,-14.00000,609.00000,145.00000,464.00000,464.00000,,455.00000,454.31500,462.75100,1.00000,0.98000
2012-12-31,2560.00000,111.00000,2449.00000,1670.00000,1723.00000,726.00000,-139.00000,587.00000,117.00000,470.00000,470.00000,,468.00000,474.45800,481.12900,1.00000,1.01000
2012-09-30,2467.00000,111.00000,2356.00000,1341.00000,1387.00000,969.00000,-28.00000,941.00000,267.00000,674.00000,674.00000,,654.00000,472.35500,480.01000,1.39000,1.36000
2012-06-30,2537.00000,114.00000,2423.00000,1686.00000,1734.00000,689.00000,-37.00000,652.00000,162.00000,490.00000,490.00000,,480.00000,481.40400,488.51800,1.00000,0.98000
2012-03-31,2561.00000,140.00000,2421.00000,1763.00000,1814.00000,607.00000,-21.00000,586.00000,159.00000,427.00000,427.00000,,417.00000,484.94200,490.45400,0.86000,0.85000
2011-12-31,2474.00000,159.00000,2315.00000,1584.00000,1635.00000,680.00000,-167.00000,532.00000,151.00000,381.00000,381.00000,,371.00000,492.59800,496.07200,0.76000,0.76000
2011-09-30,2577.00000,150.00000,2427.00000,1663.00000,1713.00000,714.00000,-85.00000,629.00000,74.00000,555.00000,555.00000,,543.00000,490.84000,494.78000,1.11000,1.10000
2011-06-30,2638.00000,147.00000,2491.00000,1709.00000,1759.00000,732.00000,-17.00000,715.00000,202.00000,513.00000,513.00000,,502.00000,496.80600,501.04400,1.01000,1.00000
2011-03-31,2518.00000,157.00000,2361.00000,1633.00000,1682.00000,679.00000,-19.00000,660.00000,189.00000,471.00000,471.00000,,466.00000,497.47100,500.98000,0.94000,0.93000
2010-12-31,2221.00000,178.00000,2043.00000,1569.00000,1616.00000,427.00000,-175.00000,252.00000,169.00000,83.00000,83.00000,,81.00000,495.39400,497.92400,0.16000,0.15000
2010-09-30,2490.00000,180.00000,2310.00000,1453.00000,1505.00000,805.00000,-23.00000,782.00000,236.00000,546.00000,546.00000,,540.00000,495.72900,498.15900,1.09000,1.08000
2010-06-30,2492.00000,188.00000,2304.00000,1867.00000,1913.00000,391.00000,-41.00000,350.00000,-82.00000,432.00000,432.00000,,427.00000,495.60600,498.88600,0.87000,0.87000
2010-03-31,2513.00000,217.00000,2296.00000,1547.00000,1581.00000,715.00000,-13.00000,702.00000,207.00000,495.00000,495.00000,,492.00000,494.58800,498.05600,0.99000,0.99000
2009-12-31,2460.00000,180.00000,2280.00000,1559.00000,1591.00000,689.00000,-9.00000,680.00000,182.00000,498.00000,498.00000,,498.00000,470.60200,474.00300,1.15000,1.16000
2009-09-30,2411.00000,175.00000,2236.00000,1452.00000,1488.00000,748.00000,-261.00000,487.00000,160.00000,327.00000,327.00000,,327.00000,493.45300,498.29000,0.66000,0.66000
2009-06-30,2315.00000,193.00000,2122.00000,1332.00000,1366.00000,756.00000,-12.00000,744.00000,242.00000,502.00000,502.00000,,-3314.00000,463.19600,465.81400,-7.16000,-7.16000
2009-03-31,2176.00000,174.00000,2002.00000,1337.00000,1371.00000,631.00000,-17.00000,614.00000,138.00000,476.00000,476.00000,,445.00000,432.17900,435.29900,1.03000,1.02000
