,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2154.60000,635.60000,1519.00000,1328.60000,1328.60000,190.40010,190.40000,34.70000,155.70000,155.70000,148.70000,208.42300,208.89400,0.71000,0.71000
2022-09-30,2041.10000,286.30000,1754.80000,1230.30000,1230.30000,524.50000,524.50000,129.70000,394.80000,394.80000,378.60000,208.40000,208.88900,1.80000,1.80000
2022-06-30,1834.80000,66.10000,1768.70000,1228.10000,1228.10000,540.60010,540.60000,144.40000,396.20000,396.20000,391.50000,208.38400,208.87800,1.86000,1.86000
2022-03-31,1721.20000,2.50000,1718.70000,1207.90000,1207.90000,510.79990,510.80000,121.50000,389.30000,389.30000,370.00000,208.02500,208.80900,1.78000,1.77000
2021-12-31,1668.60000,1.60000,1667.00000,1157.40000,1157.40000,509.59970,509.60000,103.20000,406.40010,406.40010,392.49990,208.07600,208.89900,1.91000,1.92000
2021-09-30,1638.70000,4.90000,1633.80000,1115.70000,1115.70000,518.09990,518.10000,122.40000,395.70000,395.70000,379.50000,208.11600,208.92300,1.81000,1.80000
2021-06-30,1587.80000,7.50000,1580.30000,1093.80000,1093.80000,486.49990,486.50000,118.40000,368.10000,368.10000,363.40000,208.36900,209.13800,1.73000,1.72000
2021-03-31,1593.20000,9.80000,1583.40000,1087.50000,1087.50000,495.90000,495.90000,120.80000,375.10000,375.10000,355.20000,208.11300,208.94600,1.71000,1.70000
2020-12-31,1540.10000,18.20000,1521.90000,1148.50000,1148.50000,373.39990,373.39990,132.50000,240.90000,240.90000,228.00000,208.31900,209.00800,1.13000,1.13000
2020-09-30,1511.90000,26.80000,1485.10000,1095.20000,1095.20000,389.90000,389.90000,95.40000,294.50000,294.50000,278.30000,208.10600,208.68800,1.32000,1.32000
2020-06-30,1540.30000,34.20000,1506.10000,1102.90000,1102.90000,403.20010,403.20000,89.90000,313.30000,313.30000,308.50000,208.06900,208.56800,1.47000,1.46000
2020-03-31,1708.80000,121.10000,1587.70000,1126.60000,1126.60000,461.10010,461.10000,100.50000,360.60000,360.60000,326.20000,208.88100,209.81700,1.56000,1.55000
2019-12-31,1703.00000,155.30000,1547.70000,1071.30000,1071.30000,476.40030,476.40000,105.30000,371.09990,371.09990,348.40000,214.52600,215.60100,1.71000,1.71000
2019-09-30,1741.00000,203.10000,1537.90000,1029.30000,1029.30000,508.60000,508.60000,124.00000,384.60000,384.60000,367.20000,213.17700,214.20700,1.70000,1.69000
2019-06-30,1729.40000,222.80000,1506.60000,999.70000,999.70000,506.89990,506.90000,117.50000,389.40000,389.40000,383.50000,216.13900,217.17000,1.76000,1.75000
2019-03-31,1721.70000,240.80000,1480.90000,1028.70000,1028.70000,452.20000,452.20000,105.10000,347.10000,347.10000,329.80000,218.23700,219.27000,1.49000,1.48000
2018-12-31,1735.20000,231.40000,1503.80000,1017.90000,1017.90000,485.89940,485.90000,76.00000,409.90000,409.90000,404.00010,223.14800,224.48800,1.81000,1.80000
2018-09-30,1665.30000,191.00000,1474.30000,993.30000,993.30000,481.00000,481.00000,106.50000,374.50000,374.50000,357.20000,222.44300,223.86000,1.59000,1.58000
2018-06-30,1660.50000,154.40000,1506.10000,998.90000,998.90000,507.20000,507.20000,116.80000,390.40000,390.40000,384.50000,224.20800,225.61100,1.69000,1.68000
2018-03-31,1597.90000,121.90000,1476.00000,992.30000,992.30000,483.70000,483.70000,102.10000,381.60000,381.60000,364.30000,225.68100,227.04800,1.59000,1.58000
2017-12-31,1532.60000,108.10000,1424.50000,988.90000,988.90000,435.60030,435.60010,79.00000,356.60000,356.60000,336.40010,228.25800,229.65400,1.52000,1.51000
2017-09-30,1444.80000,99.60000,1345.20000,928.60000,928.60000,416.60010,416.60000,118.20000,298.40000,298.40000,281.10000,228.01100,229.31400,1.21000,1.20000
2017-06-30,1396.90000,75.70000,1321.20000,930.40000,930.40000,390.80000,390.80000,122.90000,267.90000,267.90000,262.00000,229.19700,230.63800,1.12000,1.12000
2017-03-31,1341.20000,56.80000,1284.40000,893.50000,893.50000,390.90000,390.90000,114.80000,276.10000,276.10000,250.90000,229.06000,230.63100,1.10000,1.09000
2016-12-31,1288.10000,46.70000,1241.40000,851.90000,851.90000,389.49980,389.49990,123.00000,266.50000,266.50000,246.10000,227.58100,229.15100,1.12000,1.11000
