,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,7936.00000,7936.00000,2100.00000,-519.00000,5090.00000,-113.00000,4977.00000,798.00000,4179.00000,4179.00000,4179.00000,5317.00000,5090.00000,1884.00000,2357.00000,2.22000,1.77000
2022-09-30,7787.00000,7787.00000,2286.00000,-188.00000,5087.00000,-219.00000,4868.00000,928.00000,3940.00000,3940.00000,3940.00000,5313.00000,5087.00000,1906.00000,2391.00000,2.08000,1.67000
2022-06-30,7275.00000,7275.00000,2002.00000,-895.00000,4148.00000,-319.00000,3829.00000,418.00000,3411.00000,3411.00000,3411.00000,4378.00000,4148.00000,1897.00000,2384.00000,1.80000,1.43000
2022-03-31,7189.00000,7189.00000,1990.00000,-190.00000,4802.00000,-260.00000,4542.00000,895.00000,3647.00000,3647.00000,3647.00000,5009.00000,4802.00000,1909.00000,2397.00000,1.91000,1.52000
2021-12-31,7059.00000,7059.00000,1747.00000,-338.00000,4776.00000,121.00000,4897.00000,938.00000,3959.00000,3959.00000,3959.00000,4974.00000,4776.00000,1924.00000,2414.00000,2.06000,1.64000
2021-09-30,6559.00000,6559.00000,1849.00000,-193.00000,4315.00000,-17.00000,4298.00000,714.00000,3584.00000,3584.00000,3584.00000,4517.00000,4315.00000,1946.00000,2443.00000,1.86000,1.47000
2021-06-30,6130.00000,6130.00000,1678.00000,-184.00000,4064.00000,325.00000,4389.00000,1814.00000,2575.00000,2575.00000,2575.00000,4268.00000,4064.00000,1946.00000,2439.00000,1.32000,1.06000
2021-03-31,5729.00000,5729.00000,1765.00000,-182.00000,3581.00000,47.00000,3628.00000,602.00000,3026.00000,3026.00000,3026.00000,3782.00000,3581.00000,1951.00000,2449.00000,1.55000,1.24000
2020-12-31,5687.00000,5687.00000,1472.00000,-174.00000,3844.00000,-96.00000,3748.00000,622.00000,3126.00000,3126.00000,3126.00000,4041.00000,3844.00000,1950.00000,2456.00000,1.60000,1.27000
2020-09-30,5101.00000,5101.00000,1570.00000,-193.00000,3142.00000,-87.00000,3055.00000,918.00000,2137.00000,2137.00000,2137.00000,3338.00000,3142.00000,1953.00000,2479.00000,1.11000,0.87000
2020-06-30,4837.00000,4837.00000,1468.00000,-173.00000,2999.00000,-67.00000,2932.00000,559.00000,2373.00000,2373.00000,2373.00000,3196.00000,2999.00000,1946.00000,2470.00000,1.22000,0.96000
2020-03-31,5854.00000,5854.00000,1547.00000,-191.00000,3924.00000,-95.00000,3829.00000,745.00000,3084.00000,3084.00000,3084.00000,4116.00000,3924.00000,1959.00000,2484.00000,1.57000,1.24000
2019-12-31,6054.00000,6054.00000,1675.00000,-181.00000,4016.00000,-42.00000,3974.00000,702.00000,3272.00000,3272.00000,3272.00000,4198.00000,4016.00000,1969.00000,2496.00000,1.66000,1.31000
2019-09-30,6137.00000,6137.00000,1667.00000,-563.00000,3735.00000,-24.00000,3711.00000,686.00000,3025.00000,3025.00000,3025.00000,3907.00000,3735.00000,1999.00000,2529.00000,1.52000,1.21000
2019-06-30,5840.00000,5840.00000,1582.00000,-185.00000,3908.00000,-42.00000,3866.00000,765.00000,3101.00000,3101.00000,3101.00000,4073.00000,3908.00000,1992.00000,2522.00000,1.56000,1.23000
2019-03-31,5494.00000,5494.00000,1500.00000,-193.00000,3641.00000,36.00000,3677.00000,700.00000,2977.00000,2977.00000,2977.00000,3801.00000,3641.00000,2005.00000,2536.00000,1.48000,1.17000
2018-12-31,5506.00000,5506.00000,1450.00000,-180.00000,3717.00000,-87.00000,3630.00000,653.00000,2977.00000,2977.00000,2977.00000,3876.00000,3717.00000,2017.00000,2548.00000,1.48000,1.17000
2018-09-30,5434.00000,5434.00000,1670.00000,-195.00000,3406.00000,132.00000,3538.00000,693.00000,2845.00000,2845.00000,2845.00000,-431.00000,3406.00000,2049.00000,2586.00000,1.40000,1.11000
2018-06-30,5240.00000,5240.00000,1434.00000,-769.00000,2885.00000,-73.00000,2812.00000,483.00000,2329.00000,2329.00000,2329.00000,4411.00000,2885.00000,2041.00000,2578.00000,1.14000,0.90000
2018-03-31,5073.00000,5073.00000,1415.00000,-169.00000,3336.00000,-119.00000,3217.00000,612.00000,2605.00000,2605.00000,2605.00000,4778.00000,3336.00000,2055.00000,2594.00000,1.27000,1.00000
2017-12-31,4862.00000,4862.00000,1230.00000,-160.00000,3327.00000,-88.00000,3239.00000,717.00000,2522.00000,2522.00000,2522.00000,4798.00000,3327.00000,2069.00000,2611.00000,1.22000,0.97000
2017-09-30,4855.00000,4855.00000,1327.00000,-169.00000,3212.00000,-113.00000,3099.00000,959.00000,2140.00000,2140.00000,2140.00000,140.00000,3212.00000,2104.00000,2654.00000,1.02000,0.81000
2017-06-30,4565.00000,4565.00000,1251.00000,-158.00000,3024.00000,-110.00000,2914.00000,855.00000,2059.00000,2059.00000,2059.00000,4303.00000,3024.00000,2099.00000,2644.00000,0.98000,0.78000
2017-03-31,4477.00000,4477.00000,1386.00000,-152.00000,2808.00000,-106.00000,2702.00000,2272.00000,430.00000,430.00000,430.00000,3970.00000,2808.00000,2114.00000,2666.00000,0.20000,0.16000
2016-12-31,4461.00000,4461.00000,1055.00000,-160.00000,3100.00000,-121.00000,2979.00000,909.00000,2070.00000,2070.00000,2070.00000,4287.00000,3100.00000,2122.00000,2683.00000,0.98000,0.77000
2016-09-30,4261.00000,4261.00000,1333.00000,-162.00000,2625.00000,-115.00000,2510.00000,579.00000,1931.00000,1931.00000,1931.00000,350.00000,2625.00000,2170.00000,2678.00000,0.90000,0.72000
2016-06-30,3630.00000,3630.00000,1082.00000,-2000.00000,428.00000,-6.00000,422.00000,10.00000,412.00000,412.00000,412.00000,1387.00000,428.00000,2162.00000,2649.00000,0.19000,0.16000
2016-03-31,3626.00000,3626.00000,944.00000,-127.00000,2434.00000,7.00000,2441.00000,734.00000,1707.00000,1707.00000,1707.00000,3344.00000,2434.00000,2173.00000,2665.00000,0.79000,0.64000
2015-12-31,3565.00000,3565.00000,921.00000,-128.00000,2396.00000,243.00000,2639.00000,698.00000,1941.00000,1941.00000,1941.00000,3304.00000,2396.00000,2202.00000,2695.00000,0.88000,0.72000
2015-09-30,3571.00000,3571.00000,1024.00000,-145.00000,2283.00000,,2283.00000,771.00000,1512.00000,1512.00000,1512.00000,343.00000,2283.00000,2221.00000,2724.00000,0.69000,0.55000
2015-06-30,3518.00000,3518.00000,1009.00000,-117.00000,2262.00000,-94.00000,2168.00000,471.00000,1697.00000,1697.00000,1697.00000,3062.00000,2262.00000,2220.00000,2713.00000,0.76000,0.63000
2015-03-31,3409.00000,3409.00000,891.00000,-112.00000,2281.00000,1.00000,2282.00000,732.00000,1550.00000,1550.00000,1550.00000,3082.00000,2281.00000,2228.00000,2725.00000,0.70000,0.57000
2014-12-31,3382.00000,3382.00000,910.00000,-114.00000,2238.00000,24.00000,2262.00000,693.00000,1569.00000,1569.00000,1569.00000,3071.00000,2238.00000,2241.00000,2745.00000,0.70000,0.57000
2014-09-30,3229.00000,3229.00000,984.00000,-581.00000,1552.00000,-2.00000,1550.00000,477.00000,1073.00000,1073.00000,1073.00000,2432.00000,1552.00000,2264.00000,2794.00000,0.64750,0.50500
2014-06-30,3155.00000,3155.00000,899.00000,-127.00000,2020.00000,10.00000,2030.00000,670.00000,1360.00000,1360.00000,1360.00000,2767.00000,2020.00000,2253.00000,2782.00000,0.60000,0.49000
2014-03-31,3163.00000,3163.00000,888.00000,-120.00000,2048.00000,13.00000,2061.00000,463.00000,1598.00000,1598.00000,1598.00000,2742.00000,2048.00000,2274.00000,2805.00000,0.70000,0.57000
2013-12-31,3155.00000,3155.00000,839.00000,-132.00000,2077.00000,6.00000,2083.00000,676.00000,1407.00000,1407.00000,1407.00000,2783.00000,2077.00000,3108.00000,3644.00000,0.45250,0.38500
2013-09-30,2973.00000,2973.00000,994.00000,-122.00000,1751.00000,15.00000,1766.00000,574.00000,1192.00000,1192.00000,1192.00000,2537.00000,1751.00000,2353.00000,2897.00000,0.93500,0.70500
2013-06-30,3001.00000,3001.00000,956.00000,-116.00000,1828.00000,5.00000,1833.00000,608.00000,1225.00000,1225.00000,1225.00000,2450.00000,1828.00000,3152.00000,3696.00000,0.38750,0.33250
2013-03-31,2958.00000,2958.00000,880.00000,-120.00000,1860.00000,-3.00000,1857.00000,587.00000,1270.00000,1270.00000,1270.00000,2525.00000,1860.00000,3188.00000,3732.00000,0.39750,0.34000
2012-12-31,2846.00000,2846.00000,841.00000,-113.00000,1800.00000,1.00000,1801.00000,508.00000,1293.00000,1293.00000,1293.00000,2445.00000,1800.00000,3224.00000,3776.00000,0.40000,0.34250
2012-09-30,2731.00000,2731.00000,1007.00000,-113.00000,1522.00000,66.00000,1588.00000,-74.00000,1662.00000,1662.00000,1662.00000,2174.00000,1522.00000,3240.00000,3856.00000,0.51500,0.43750
2012-06-30,2565.00000,2565.00000,888.00000,-4200.00000,-2607.00000,,-2607.00000,-768.00000,-1839.00000,-1839.00000,-1839.00000,-1909.00000,-2607.00000,3240.00000,3828.00000,-0.56750,-0.48000
2012-03-31,2578.00000,2578.00000,789.00000,-103.00000,1606.00000,3.00000,1609.00000,317.00000,1292.00000,1292.00000,1292.00000,2183.00000,1606.00000,3244.00000,3852.00000,0.39750,0.33500
2011-12-31,2547.00000,2547.00000,751.00000,-98.00000,1618.00000,-1.00000,1617.00000,590.00000,1027.00000,1027.00000,1029.00000,2179.00000,1618.00000,3244.00000,3924.00000,0.31750,0.26250
2011-09-30,2383.00000,2383.00000,837.00000,-107.00000,1362.00000,-8.00000,1354.00000,476.00000,878.00000,878.00000,880.00000,2015.00000,1362.00000,3296.00000,4088.00000,0.27250,0.22030
2011-06-30,2322.00000,2322.00000,812.00000,-91.00000,1345.00000,198.00000,1543.00000,539.00000,1004.00000,1004.00000,1005.00000,1867.00000,1345.00000,3300.00000,4032.00000,0.30500,0.25000
2011-03-31,2245.00000,2245.00000,706.00000,-86.00000,1383.00000,-6.00000,1377.00000,497.00000,880.00000,880.00000,881.00000,1904.00000,1383.00000,3320.00000,4156.00000,0.26500,0.21250
2010-12-31,2238.00000,2238.00000,725.00000,-80.00000,1366.00000,16.00000,1382.00000,498.00000,884.00000,884.00000,884.00000,1838.00000,1366.00000,3332.00000,4232.00000,0.26500,0.21000
2010-09-30,2117.00000,2117.00000,811.00000,-115.00000,1113.00000,82.00000,1195.00000,422.00000,773.00000,773.00000,774.00000,1612.00000,1113.00000,3356.00000,4384.00000,0.23250,0.18250
2010-06-30,2029.00000,2029.00000,726.00000,-103.00000,1137.00000,-15.00000,1122.00000,406.00000,716.00000,716.00000,716.00000,1593.00000,1137.00000,3352.00000,4328.00000,0.21250,0.16500
2010-03-31,1959.00000,1959.00000,675.00000,-100.00000,1122.00000,-9.00000,1113.00000,401.00000,712.00000,712.00000,713.00000,1556.00000,1122.00000,3356.00000,4436.00000,0.21250,0.16000
2009-12-31,1960.00000,1960.00000,619.00000,-62.00000,1217.00000,-9.00000,1208.00000,445.00000,763.00000,763.00000,763.00000,1653.00000,1217.00000,3368.00000,4476.00000,0.22750,0.17000
