,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,12749.00000,851.00000,11898.00000,8139.00000,-965.00000,9104.00000,2794.00000,2794.00000,528.00000,2266.00000,2266.00000,,2113.00000,,2794.00000,1652.00000,1679.00000,1.28000,1.26000
2022-09-30,12986.00000,847.00000,12139.00000,7887.00000,-864.00000,8751.00000,3388.00000,3388.00000,726.00000,2662.00000,2662.00000,,2494.00000,4316.00000,3388.00000,1674.00000,1697.00000,1.49000,1.47000
2022-06-30,13132.00000,878.00000,12254.00000,7814.00000,-1121.00000,8935.00000,3319.00000,3319.00000,783.00000,2536.00000,2536.00000,,2391.00000,4240.00000,3319.00000,1704.00000,1723.00000,1.40000,1.39000
2022-03-31,14801.00000,882.00000,13919.00000,8410.00000,-921.00000,9331.00000,4588.00000,4588.00000,873.00000,3715.00000,3715.00000,,3542.00000,5530.00000,4588.00000,1733.00000,1755.00000,2.04000,2.02000
2021-12-31,14524.00000,811.00000,13713.00000,7833.00000,-996.00000,8829.00000,4884.00000,4884.00000,1168.00000,3716.00000,3716.00000,,3592.00000,6121.00000,4884.00000,1785.00000,1814.00000,2.05000,2.01000
2021-09-30,14753.00000,825.00000,13928.00000,8015.00000,-1039.00000,9054.00000,4874.00000,4874.00000,1150.00000,3724.00000,3724.00000,,3584.00000,5909.00000,4874.00000,1781.00000,1812.00000,2.01000,1.98000
2021-06-30,14759.00000,795.00000,13964.00000,8494.00000,-904.00000,9398.00000,4566.00000,4566.00000,1054.00000,3512.00000,3512.00000,,3408.00000,5623.00000,4566.00000,1814.00000,1841.00000,1.88000,1.85000
2021-03-31,15719.00000,910.00000,14809.00000,8706.00000,-759.00000,9465.00000,5344.00000,5344.00000,1176.00000,4168.00000,4168.00000,,3982.00000,6231.00000,5344.00000,1795.00000,1818.00000,2.22000,2.19000
2020-12-31,13597.00000,776.00000,12821.00000,7443.00000,-948.00000,8391.00000,4430.00000,4430.00000,1018.00000,3412.00000,3412.00000,,3266.00000,5836.00000,4430.00000,1603.00000,1624.00000,1.87000,1.83000
2020-09-30,11721.00000,697.00000,11024.00000,6695.00000,-842.00000,7537.00000,3487.00000,3487.00000,736.00000,2751.00000,2751.00000,,2597.00000,4340.00000,3487.00000,1542.00000,1566.00000,1.68000,1.66000
2020-06-30,13660.00000,716.00000,12944.00000,7587.00000,-1002.00000,8589.00000,4355.00000,4355.00000,1119.00000,3236.00000,3236.00000,,3047.00000,5041.00000,4355.00000,1541.00000,1557.00000,1.98000,1.96000
2020-03-31,9779.00000,740.00000,9039.00000,5792.00000,-1101.00000,6893.00000,2146.00000,2146.00000,366.00000,1780.00000,1780.00000,,1590.00000,2970.00000,2146.00000,1555.00000,1573.00000,1.02000,1.01000
2019-12-31,10976.00000,633.00000,10343.00000,6925.00000,-685.00000,7610.00000,2733.00000,2733.00000,428.00000,2305.00000,2305.00000,,2085.00000,3389.00000,2733.00000,1617.00000,1640.00000,1.33000,1.30000
2019-09-30,10032.00000,637.00000,9395.00000,6025.00000,-660.00000,6685.00000,2710.00000,2710.00000,492.00000,2218.00000,2218.00000,,2060.00000,3364.00000,2710.00000,1604.00000,1627.00000,1.28000,1.27000
2019-06-30,10244.00000,630.00000,9614.00000,6121.00000,-590.00000,6711.00000,2903.00000,2903.00000,657.00000,2246.00000,2246.00000,,2031.00000,3578.00000,2903.00000,1634.00000,1655.00000,1.24000,1.23000
2019-03-31,10286.00000,593.00000,9693.00000,6185.00000,-553.00000,6738.00000,2955.00000,2955.00000,487.00000,2468.00000,2468.00000,,2336.00000,3613.00000,2955.00000,1658.00000,1677.00000,1.41000,1.39000
2018-12-31,8548.00000,598.00000,7950.00000,5499.00000,-594.00000,6093.00000,1857.00000,1857.00000,300.00000,1557.00000,1557.00000,1.00000,1361.00000,2326.00000,1857.00000,1708.00000,1738.00000,0.82000,0.81000
2018-09-30,9872.00000,559.00000,9313.00000,5896.00000,-566.00000,6462.00000,2851.00000,2851.00000,696.00000,2155.00000,2155.00000,-1.00000,2019.00000,3319.00000,2851.00000,1697.00000,1727.00000,1.19000,1.17000
2018-06-30,10610.00000,609.00000,10001.00000,6222.00000,-670.00000,6892.00000,3109.00000,3109.00000,640.00000,2469.00000,2469.00000,-2.00000,2267.00000,3626.00000,3109.00000,1720.00000,1748.00000,1.32000,1.30000
2018-03-31,11077.00000,627.00000,10450.00000,6378.00000,-652.00000,7030.00000,3420.00000,3420.00000,714.00000,2706.00000,2706.00000,-2.00000,2575.00000,3810.00000,3420.00000,1740.00000,1771.00000,1.48000,1.45000
