,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-09-30,4574.00000,2288.00000,2286.00000,809.00000,730.00000,1539.00000,747.00000,-670.00000,77.00000,128.00000,-51.00000,-51.00000,-21.00000,747.00000,747.00000,348.75000,348.75000,-0.12000,-0.12000
2022-06-30,4426.00000,2265.00000,2161.00000,939.00000,714.00000,1653.00000,508.00000,23.00000,531.00000,4.00000,527.00000,527.00000,543.00000,508.00000,508.00000,347.50000,351.37500,1.50000,1.49000
2022-03-31,4482.00000,2452.00000,2030.00000,885.00000,735.00000,1620.00000,410.00000,-466.00000,-56.00000,62.00000,-118.00000,-118.00000,-140.00000,410.00000,410.00000,345.87500,345.87500,-0.45000,-0.45000
2021-12-31,5433.00000,2837.00000,2596.00000,1206.00000,1059.00000,2265.00000,331.00000,124.00000,455.00000,211.00000,244.00000,244.00000,350.00000,331.00000,331.00000,344.75000,351.75000,0.61000,0.88000
2021-09-30,4954.00000,2503.00000,2451.00000,957.00000,1136.00000,2093.00000,358.00000,-3336.00000,-2978.00000,-286.00000,-2692.00000,-2692.00000,-2570.00000,358.00000,358.00000,347.25000,347.25000,-7.48000,-7.48000
2021-06-30,4855.00000,2462.00000,2393.00000,973.00000,884.00000,1857.00000,536.00000,-376.00000,160.00000,341.00000,-181.00000,-181.00000,-90.00000,536.00000,536.00000,346.15380,346.15380,-0.26000,-0.26000
2021-03-31,4294.00000,2290.00000,2004.00000,778.00000,800.00000,1578.00000,426.00000,3628.00000,4054.00000,234.00000,3820.00000,3820.00000,3915.00000,426.00000,426.00000,336.50000,347.12500,11.62000,11.26000
2020-12-31,5383.00000,2635.00000,2748.00000,1003.00000,908.00000,1911.00000,837.00000,123.00000,960.00000,182.00000,778.00000,778.00000,916.00000,837.00000,837.00000,341.50000,344.50000,2.65000,2.64000
2020-09-30,4158.00000,1886.00000,2272.00000,673.00000,692.00000,1365.00000,907.00000,1311.00000,2218.00000,239.00000,1979.00000,1979.00000,2015.00000,907.00000,907.00000,339.83000,343.39000,5.92000,5.86000
2020-06-30,3685.00000,1859.00000,1826.00000,685.00000,625.00000,1310.00000,516.00000,53.00000,569.00000,174.00000,395.00000,395.00000,507.00000,516.00000,516.00000,343.78000,345.06000,1.46000,1.46000
2020-03-31,3184.00000,2074.00000,1110.00000,628.00000,544.00000,1172.00000,-62.00000,-146.00000,-208.00000,28.00000,-236.00000,-236.00000,6.00000,-62.00000,-62.00000,345.77760,347.57940,0.01000,0.00000
2019-12-31,4071.00000,2179.00000,1892.00000,668.00000,542.00000,1210.00000,682.00000,58.00000,740.00000,43.00000,697.00000,697.00000,886.00000,682.00000,682.00000,348.34000,348.85000,2.53600,2.56400
2019-09-30,3929.00000,2292.00000,1637.00000,656.00000,652.00000,1308.00000,329.00000,-1327.00000,-998.00000,131.00000,-1129.00000,-1129.00000,-892.00000,329.00000,329.00000,347.93000,347.93000,-2.57000,-2.57000
2019-06-30,3835.00000,2347.00000,1488.00000,690.00000,764.00000,1454.00000,34.00000,180.00000,214.00000,61.00000,153.00000,153.00000,351.00000,34.00000,34.00000,349.97000,350.45000,1.00000,0.96000
2019-03-31,3594.00000,2210.00000,1384.00000,621.00000,902.00000,1523.00000,-139.00000,134.00000,-5.00000,44.00000,-49.00000,-49.00000,-49.00000,-139.00000,-139.00000,349.67000,349.67000,-0.15000,-0.15000
2018-12-31,3366.48100,1993.53000,1372.95200,567.42410,766.70190,1334.12600,38.82570,-56.58150,-17.75570,41.63960,-59.39540,-59.39540,130.34800,38.82570,38.82570,348.99000,351.71000,0.37560,0.38280
2018-09-30,4145.84100,2090.04600,2055.79500,575.65200,829.22700,1404.87900,650.91600,1326.08700,1977.00300,301.79100,1675.21200,1675.21200,1822.21200,650.91600,650.91600,348.92000,348.92000,5.22300,5.18300
2018-06-30,4075.00700,1884.68300,2190.32400,632.77770,706.83450,1339.61200,850.71190,115.16460,965.87640,170.39340,795.48300,795.48300,1004.47400,850.71190,850.71190,349.53560,352.99430,2.87440,2.84620
2018-03-31,3288.67100,1557.74200,1730.92900,518.14620,494.23660,1012.38300,718.54640,330.33000,1048.87600,176.17600,872.70030,872.70030,1052.96600,718.54640,718.54640,348.38000,351.81000,2.96700,2.93800
2017-12-31,4018.71700,1967.42900,2051.28800,630.71260,619.94230,1250.65500,800.63280,72.66680,873.29960,154.55530,718.74430,718.74430,718.94300,800.63280,800.63260,347.25000,349.52000,2.34630,2.33420
2017-09-30,3521.00100,1768.97000,1752.03100,485.97580,561.52540,1047.50100,704.53030,651.31550,1355.84500,164.44030,1191.40500,1191.40500,1191.55500,704.53030,704.53030,347.03920,349.91180,3.43300,3.40500
