,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,15383.00000,1207.00000,14176.00000,12305.00000,12305.00000,1871.00000,1871.00000,299.00000,1572.00000,1572.00000,,1546.00000,751.00000,752.00000,2.09000,2.08000
2022-09-30,14352.00000,796.00000,13556.00000,11097.00000,11097.00000,2459.00000,2459.00000,580.00000,1879.00000,1879.00000,,1851.00000,748.00000,749.00000,2.47000,2.47000
2022-06-30,13834.00000,439.00000,13395.00000,10852.00000,10852.00000,2543.00000,2543.00000,579.00000,1964.00000,1964.00000,,1934.00000,752.00000,753.00000,2.57000,2.57000
2022-03-31,12056.00000,321.00000,11735.00000,9023.00000,9023.00000,2712.00000,2712.00000,613.00000,2099.00000,2099.00000,,2069.00000,757.00000,758.00000,2.73000,2.73000
2021-12-31,12437.00000,292.00000,12145.00000,9839.00000,9839.00000,2306.00000,2306.00000,587.00000,1719.00000,1719.00000,,1679.00000,789.00000,790.00000,2.22000,2.21000
2021-09-30,11235.00000,307.00000,10928.00000,8478.00000,8478.00000,2450.00000,2450.00000,624.00000,1826.00000,1826.00000,,1783.00000,786.00000,787.00000,2.27000,2.27000
2021-06-30,10565.00000,322.00000,10243.00000,7303.00000,7303.00000,2940.00000,2940.00000,660.00000,2280.00000,2280.00000,,2249.00000,801.00000,802.00000,2.81000,2.80000
2021-03-31,9426.00000,362.00000,9064.00000,6071.00000,6071.00000,2993.00000,2993.00000,758.00000,2235.00000,2235.00000,,2206.00000,804.00000,805.00000,2.74000,2.74000
2020-12-31,9741.00000,390.00000,9351.00000,7493.00000,7493.00000,1858.00000,1858.00000,420.00000,1438.00000,1438.00000,,1415.00000,805.00000,806.00000,1.76000,1.77000
2020-09-30,9201.00000,450.00000,8751.00000,7387.00000,7387.00000,1364.00000,1364.00000,291.00000,1073.00000,1073.00000,,1050.00000,804.00000,805.00000,1.31000,1.30000
2020-06-30,8217.00000,542.00000,7675.00000,7053.00000,7053.00000,622.00000,622.00000,365.00000,257.00000,257.00000,,238.00000,804.00000,805.00000,0.29000,0.29000
2020-03-31,11026.00000,716.00000,10310.00000,9858.00000,9858.00000,452.00000,452.00000,85.00000,367.00000,367.00000,,333.00000,807.00000,808.00000,0.41000,0.41000
2019-12-31,12166.00000,801.00000,11365.00000,9379.00000,9379.00000,1986.00000,1986.00000,293.00000,1693.00000,1693.00000,,1661.00000,828.00000,830.00000,2.03000,2.04000
2019-09-30,11866.00000,877.00000,10989.00000,8723.00000,8723.00000,2266.00000,2266.00000,511.00000,1755.00000,1755.00000,,1723.00000,825.00000,827.00000,2.09000,2.08000
2019-06-30,11729.00000,891.00000,10838.00000,8619.00000,8619.00000,2219.00000,2219.00000,458.00000,1761.00000,1761.00000,,1729.00000,834.00000,836.00000,2.07000,2.07000
2019-03-31,11259.00000,895.00000,10364.00000,8406.00000,8406.00000,1958.00000,1958.00000,408.00000,1550.00000,1550.00000,,1518.00000,841.00000,843.00000,1.81000,1.80000
2018-12-31,11308.00000,834.00000,10474.00000,8643.00000,8643.00000,1831.00000,1831.00000,-179.00000,2010.00000,2010.00000,,1975.00000,856.00000,859.00000,2.33000,2.33000
2018-09-30,10921.00000,777.00000,10144.00000,8026.00000,8026.00000,2118.00000,2118.00000,464.00000,1654.00000,1654.00000,,1621.00000,858.00000,860.00000,1.89000,1.88000
2018-06-30,10713.00000,711.00000,10002.00000,7911.00000,7911.00000,2091.00000,2091.00000,468.00000,1623.00000,1623.00000,,1591.00000,860.00000,862.00000,1.85000,1.84000
2018-03-31,10339.00000,621.00000,9718.00000,7636.00000,7636.00000,2082.00000,2082.00000,448.00000,1634.00000,1634.00000,,1600.00000,859.00000,861.00000,1.86000,1.86000
