,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,670.28090,204.35200,465.92900,42.99200,307.47190,158.45700,-63.57400,94.88290,94.88290,,-228.43110,323.69900,54.19900,407.05890,158.45690,161.65900,161.65900,0.36000,0.36000
2022-09-30,659.85200,201.18900,458.66300,49.95800,304.88700,153.77600,-94.07200,59.70400,59.70400,323.69900,383.44300,,341.43900,388.66310,153.77600,161.55400,161.55400,2.11000,2.11000
2022-06-30,643.76400,196.28400,447.48000,43.39700,285.47500,162.00500,-66.84200,95.16300,95.16300,,95.16300,214.21900,269.28000,390.82600,162.00500,161.41200,161.41200,1.67000,1.67000
2022-03-31,615.06500,181.32800,433.73700,40.93100,281.59000,152.14700,-269.75900,-117.61200,-117.61200,,-117.39200,,-151.65000,381.57000,152.14700,158.19800,158.19800,-0.96000,-0.96000
2021-12-31,576.92290,175.71700,401.20590,41.65400,280.90790,120.29790,-150.35500,-30.05700,-30.05700,,-23.99500,123.79100,75.46500,346.22390,120.29800,146.92100,147.46000,0.51000,0.50000
2021-09-30,547.75900,165.99500,381.76400,37.93100,248.77300,132.99100,-11.21400,121.77700,121.77700,-0.43500,124.43300,,101.26400,332.52500,132.99100,150.85400,151.56100,0.67000,0.67000
2021-06-30,509.61900,143.95500,365.66400,37.88000,227.93200,137.73200,266.78800,404.52000,404.52000,,404.52000,,380.56300,316.91100,137.73200,145.82500,146.05800,2.61000,2.61000
2021-03-31,479.84900,137.88800,341.96100,33.99600,214.90900,127.05200,-107.83500,19.21700,19.21700,,22.75400,2.77900,6.10700,298.09400,127.05200,137.31900,137.68800,0.04000,0.04000
2020-12-31,463.72000,136.76700,326.95300,32.69000,210.43990,116.51310,180.63100,297.14400,297.14400,,303.04400,,438.02500,282.78510,116.51300,126.10600,126.49000,3.43000,3.42000
2020-09-30,545.04200,140.44300,404.59900,36.91300,213.74400,190.85500,-100.42000,90.43500,90.43500,1.58600,95.79900,,79.32600,355.40200,190.85500,124.90100,125.82800,0.64000,0.63000
2020-06-30,436.95600,123.91100,313.04500,31.77500,199.80200,113.24300,130.31800,243.56100,243.56100,,243.56100,,226.60000,269.33200,113.24300,124.33300,124.44800,1.82000,1.82000
