,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3312.00000,1421.00000,1891.00000,540.00000,261.00000,-1.00000,911.00000,980.00000,-103.00000,877.00000,137.00000,740.00000,,734.00000,,722.00000,,980.00000,259.61800,261.44800,2.78000,2.76000
2022-09-30,3445.00000,1478.00000,1967.00000,548.00000,289.00000,2.00000,966.00000,1001.00000,-98.00000,903.00000,149.00000,754.00000,,750.00000,,738.00000,1322.00000,1001.00000,262.18000,264.70500,2.81000,2.79000
2022-06-30,3312.00000,1430.00000,1882.00000,542.00000,265.00000,2.00000,939.00000,943.00000,-128.00000,815.00000,129.00000,686.00000,,683.00000,,670.00000,1260.00000,943.00000,262.57900,264.69200,2.55000,2.53000
2022-03-31,3136.00000,1359.00000,1777.00000,518.00000,251.00000,,904.00000,873.00000,-105.00000,768.00000,114.00000,654.00000,,666.00000,,657.00000,1183.00000,873.00000,263.08900,265.10900,2.50000,2.48000
2021-12-31,3039.00000,1332.00000,1707.00000,507.00000,257.00000,,900.00000,807.00000,-123.00000,684.00000,72.00000,612.00000,,610.00000,,602.00000,1117.00000,807.00000,270.68700,275.64600,2.23000,2.21000
2021-09-30,2861.00000,1278.00000,1583.00000,492.00000,243.00000,,872.00000,711.00000,-93.00000,618.00000,95.00000,523.00000,,526.00000,,519.00000,1017.00000,711.00000,266.55700,271.35900,1.95000,1.91000
2021-06-30,2596.00000,1174.00000,1422.00000,476.00000,234.00000,,849.00000,573.00000,-100.00000,473.00000,65.00000,408.00000,,406.00000,,397.00000,878.00000,573.00000,272.68600,278.73500,1.46000,1.42000
2021-03-31,2567.00000,1212.00000,1355.00000,461.00000,222.00000,,863.00000,492.00000,-87.00000,405.00000,40.00000,365.00000,,364.00000,,353.00000,833.00000,492.00000,277.52600,283.26300,1.27000,1.25000
2020-12-31,2507.00000,1219.00000,1288.00000,460.00000,221.00000,4.00000,825.00000,463.00000,-137.00000,326.00000,5.00000,321.00000,,320.00000,,309.00000,779.00000,463.00000,279.76300,283.80900,1.12000,1.11000
2020-09-30,2267.00000,1177.00000,1090.00000,438.00000,203.00000,1.00000,1058.00000,32.00000,-106.00000,-74.00000,-57.00000,-17.00000,,-18.00000,,-22.00000,621.00000,32.00000,279.46700,279.46700,-0.08000,-0.08000
