,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1715.00000,1095.00000,620.00000,33.00000,438.00000,471.00000,149.00000,-19.00000,130.00000,28.00000,102.00000,102.00000,,99.00000,207.00000,149.00000,123.54600,123.98800,0.81000,0.80000
2022-09-30,1740.00000,1114.00000,626.00000,32.00000,422.00000,454.00000,172.00000,-56.00000,116.00000,29.00000,87.00000,87.00000,,85.00000,228.00000,172.00000,123.33900,123.91400,0.69000,0.68000
2022-06-30,1801.00000,1133.00000,668.00000,34.00000,451.00000,485.00000,183.00000,-54.00000,129.00000,25.00000,104.00000,104.00000,,101.00000,240.00000,183.00000,123.11300,123.90600,0.82000,0.82000
2022-03-31,1809.00000,1160.00000,649.00000,31.00000,386.00000,417.00000,232.00000,-32.00000,200.00000,48.00000,152.00000,152.00000,,150.00000,289.00000,232.00000,123.17700,123.87700,1.22000,1.21000
2021-12-31,1691.00000,1133.00000,558.00000,34.00000,408.00000,442.00000,116.00000,-23.00000,93.00000,21.00000,72.00000,72.00000,,69.00000,171.00000,116.00000,123.06400,123.91000,0.56000,0.56000
2021-09-30,1806.00000,1136.00000,670.00000,33.00000,418.00000,451.00000,219.00000,-34.00000,185.00000,42.00000,143.00000,143.00000,,142.00000,274.00000,219.00000,122.98000,124.04200,1.15000,1.14000
2021-06-30,1802.00000,1134.00000,668.00000,45.00000,484.00000,529.00000,139.00000,-38.00000,101.00000,1.00000,100.00000,100.00000,,97.00000,193.00000,139.00000,125.57000,127.29900,0.81000,0.82000
2021-03-31,1781.00000,1007.00000,774.00000,32.00000,437.00000,798.00000,-24.00000,-35.00000,-59.00000,,-59.00000,-59.00000,,-61.00000,358.00000,-24.00000,125.61000,125.61000,-0.49000,-0.49000
2020-12-31,1842.00000,1005.00000,837.00000,40.00000,456.00000,496.00000,341.00000,-9.00000,332.00000,71.00000,261.00000,261.00000,,259.00000,394.00000,341.00000,126.21600,128.13500,2.06000,2.03000
2020-09-30,1916.00000,996.00000,920.00000,32.00000,417.00000,449.00000,471.00000,55.00000,526.00000,109.00000,417.00000,417.00000,,415.00000,522.00000,471.00000,126.34600,128.72900,3.28000,3.22000
2020-06-30,1983.00000,1054.00000,929.00000,42.00000,493.00000,535.00000,394.00000,1.00000,395.00000,85.00000,310.00000,310.00000,,310.00000,441.00000,394.00000,125.82800,127.67100,2.45000,2.42000
2020-03-31,1783.00000,951.00000,832.00000,39.00000,453.00000,492.00000,340.00000,-43.00000,297.00000,56.00000,241.00000,241.00000,,241.00000,385.00000,340.00000,125.66100,127.32800,1.92000,1.89000
