,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,7188.00000,1425.00000,5763.00000,3882.00000,3882.00000,1881.00000,1881.00000,333.00000,1548.00000,1548.00000,,1395.00000,412.00000,412.00000,3.46000,3.45000
2022-09-30,6206.00000,657.00000,5549.00000,3521.00000,3521.00000,2028.00000,2028.00000,388.00000,1640.00000,1640.00000,,1550.00000,410.00000,410.00000,3.78000,3.78000
2022-06-30,5346.00000,230.00000,5116.00000,3280.00000,3280.00000,1836.00000,1836.00000,340.00000,1496.00000,1496.00000,,1402.00000,414.00000,414.00000,3.39000,3.39000
2022-03-31,4802.00000,110.00000,4692.00000,2964.00000,2964.00000,1728.00000,1728.00000,299.00000,1429.00000,1429.00000,,1361.00000,420.00000,420.00000,3.23000,3.23000
2021-12-31,5240.00000,113.00000,5127.00000,3464.00000,3464.00000,1663.00000,1663.00000,357.00000,1306.00000,1306.00000,,1206.00000,426.00000,426.00000,2.86000,2.87000
2021-09-30,5316.00000,119.00000,5197.00000,3384.00000,3384.00000,1813.00000,1813.00000,323.00000,1490.00000,1490.00000,,1408.00000,426.00000,426.00000,3.31000,3.30000
2021-06-30,4787.00000,120.00000,4667.00000,3352.00000,3352.00000,1315.00000,1315.00000,212.00000,1103.00000,1103.00000,,1037.00000,427.00000,427.00000,2.43000,2.43000
2021-03-31,4355.00000,135.00000,4220.00000,2023.00000,2023.00000,2197.00000,2197.00000,371.00000,1826.00000,1826.00000,,1758.00000,426.00000,426.00000,4.11000,4.10000
2020-12-31,4360.00000,152.00000,4208.00000,2454.00000,2454.00000,1754.00000,1754.00000,298.00000,1456.00000,1456.00000,,-3175.00000,427.00000,427.00000,3.23000,3.22000
2020-09-30,4473.00000,192.00000,4281.00000,2583.00000,2583.00000,1698.00000,1698.00000,166.00000,1532.00000,1532.00000,,1455.00000,426.00000,426.00000,3.40000,3.39000
2020-06-30,4404.00000,328.00000,4076.00000,4978.00000,4978.00000,-902.00000,-902.00000,-158.00000,-744.00000,-744.00000,4399.00000,3592.00000,426.00000,426.00000,8.40000,8.40000
2020-03-31,5025.00000,689.00000,4336.00000,3457.00000,3457.00000,879.00000,879.00000,120.00000,759.00000,759.00000,156.00000,844.00000,429.00000,430.00000,1.96000,1.95000
2019-12-31,4942.00000,846.00000,4096.00000,2983.00000,2983.00000,1113.00000,1113.00000,159.00000,954.00000,954.00000,427.00000,466.00000,447.00000,448.00000,2.97000,2.96000
2019-09-30,5241.00000,999.00000,4242.00000,2806.00000,2806.00000,1436.00000,1436.00000,255.00000,1181.00000,1181.00000,211.00000,1315.00000,444.00000,445.00000,2.95000,2.94000
2019-06-30,5214.00000,999.00000,4215.00000,2791.00000,2791.00000,1424.00000,1424.00000,239.00000,1185.00000,1185.00000,189.00000,1306.00000,451.00000,452.00000,2.89000,2.88000
2019-03-31,5239.00000,953.00000,4286.00000,2767.00000,2767.00000,1519.00000,1519.00000,248.00000,1271.00000,1271.00000,,1197.00000,455.00000,456.00000,2.62000,2.61000
2018-12-31,4276.00000,878.00000,3398.00000,2725.00000,2725.00000,673.00000,673.00000,110.00000,563.00000,563.00000,,1281.00000,467.00000,470.00000,2.76000,2.74000
2018-09-30,5114.00000,757.00000,4357.00000,2696.00000,2696.00000,1661.00000,1661.00000,261.00000,1400.00000,1400.00000,,1325.00000,465.00000,467.00000,2.84000,2.82000
2018-06-30,4993.00000,669.00000,4324.00000,2664.00000,2664.00000,1660.00000,1660.00000,304.00000,1356.00000,1356.00000,,1290.00000,469.00000,472.00000,2.74000,2.72000
2018-03-31,4668.00000,557.00000,4111.00000,2619.00000,2619.00000,1492.00000,1492.00000,253.00000,1239.00000,1239.00000,,1165.00000,473.00000,476.00000,2.45000,2.43000
2017-12-31,4740.00000,480.00000,4260.00000,3186.00000,3186.00000,1074.00000,1074.00000,-1017.00000,2091.00000,2091.00000,,2010.00000,481.00000,486.00000,4.20000,4.14000
2017-09-30,4575.00000,450.00000,4125.00000,2586.00000,2586.00000,1539.00000,1539.00000,413.00000,1126.00000,1126.00000,,1050.00000,479.00000,483.00000,2.18000,2.16000
2017-06-30,4476.00000,416.00000,4060.00000,2577.00000,2577.00000,1483.00000,1483.00000,386.00000,1097.00000,1097.00000,,1026.00000,484.00000,488.00000,2.12000,2.10000
2017-03-31,4244.00000,360.00000,3884.00000,2490.00000,2490.00000,1394.00000,1394.00000,320.00000,1074.00000,1074.00000,,967.00000,487.00000,492.00000,1.99000,1.96000
