,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5817.00000,5817.00000,2434.00000,-15.00000,3184.00000,-95.00000,3089.00000,564.00000,2525.00000,2525.00000,2525.00000,3757.00000,3184.00000,968.00000,971.00000,2.64000,2.62000
2022-09-30,5756.00000,5756.00000,2251.00000,-208.00000,3112.00000,-40.00000,3072.00000,573.00000,2499.00000,2499.00000,2499.00000,3682.00000,3112.00000,965.00000,968.00000,2.59000,2.58000
2022-06-30,5497.00000,5497.00000,2157.00000,-133.00000,3018.00000,-220.00000,2798.00000,523.00000,2275.00000,2275.00000,2275.00000,3589.00000,3018.00000,971.00000,974.00000,2.34000,2.34000
2022-03-31,5167.00000,5167.00000,2025.00000,,2950.00000,-177.00000,2773.00000,142.00000,2631.00000,2631.00000,2631.00000,3572.00000,2950.00000,977.00000,981.00000,2.69000,2.68000
2021-12-31,5216.00000,5216.00000,2200.00000,,2827.00000,-4.00000,2823.00000,444.00000,2379.00000,2379.00000,2379.00000,3392.00000,2827.00000,988.00000,992.00000,2.41000,2.41000
2021-09-30,4985.00000,4985.00000,2053.00000,-27.00000,2717.00000,99.00000,2816.00000,402.00000,2414.00000,2414.00000,2414.00000,3249.00000,2717.00000,986.00000,990.00000,2.45000,2.44000
2021-06-30,4528.00000,4528.00000,1934.00000,-67.00000,2341.00000,137.00000,2478.00000,412.00000,2066.00000,2066.00000,2066.00000,2840.00000,2341.00000,990.00000,994.00000,2.09000,2.08000
2021-03-31,4155.00000,4155.00000,1795.00000,,2197.00000,-7.00000,2190.00000,362.00000,1828.00000,1828.00000,1828.00000,2698.00000,2197.00000,994.00000,998.00000,1.84000,1.83000
2020-12-31,4120.00000,4120.00000,1867.00000,-45.00000,2058.00000,110.00000,2168.00000,383.00000,1785.00000,1785.00000,1785.00000,2531.00000,2058.00000,1002.00000,1006.00000,1.80000,1.77000
2020-09-30,3837.00000,3837.00000,1591.00000,,2105.00000,-190.00000,1915.00000,402.00000,1513.00000,1513.00000,1513.00000,2527.00000,2105.00000,1001.00000,1005.00000,1.51000,1.51000
2020-06-30,3335.00000,3335.00000,1461.00000,-22.00000,1707.00000,-17.00000,1690.00000,270.00000,1420.00000,1420.00000,1420.00000,2083.00000,1707.00000,1004.00000,1008.00000,1.41000,1.41000
2020-03-31,4009.00000,4009.00000,1648.00000,-6.00000,2211.00000,-224.00000,1987.00000,294.00000,1693.00000,1693.00000,1693.00000,2592.00000,2211.00000,1005.00000,1010.00000,1.68000,1.68000
2019-12-31,4414.00000,4414.00000,1869.00000,,2399.00000,76.00000,2475.00000,375.00000,2100.00000,2100.00000,2100.00000,2808.00000,2399.00000,1017.00000,1022.00000,2.08000,2.07000
2019-09-30,4467.00000,4467.00000,1675.00000,,2655.00000,-121.00000,2534.00000,426.00000,2108.00000,2108.00000,2108.00000,3047.00000,2655.00000,1013.00000,1019.00000,2.08000,2.07000
2019-06-30,4113.00000,4113.00000,1594.00000,,2397.00000,122.00000,2519.00000,471.00000,2048.00000,2048.00000,2048.00000,2797.00000,2397.00000,1020.00000,1025.00000,2.01000,2.00000
2019-03-31,3889.00000,3889.00000,1559.00000,,2213.00000,-10.00000,2203.00000,341.00000,1862.00000,1862.00000,1862.00000,2675.00000,2213.00000,1026.00000,1032.00000,1.81000,1.80000
2018-12-31,3807.00000,3807.00000,1703.00000,-757.00000,1234.00000,-19.00000,1215.00000,316.00000,899.00000,899.00000,899.00000,1697.00000,1234.00000,1041.00000,1047.00000,0.88000,0.87000
2018-09-30,3898.00000,3898.00000,1471.00000,-29.00000,2287.00000,-23.00000,2264.00000,365.00000,1899.00000,1899.00000,1899.00000,2705.00000,2287.00000,1037.00000,1043.00000,1.83000,1.82000
2018-06-30,3665.00000,3665.00000,1389.00000,-225.00000,1936.00000,-14.00000,1922.00000,353.00000,1569.00000,1569.00000,1569.00000,2342.00000,1936.00000,1043.00000,1049.00000,1.50000,1.50000
2018-03-31,3580.00000,3580.00000,1518.00000,-117.00000,1825.00000,-22.00000,1803.00000,311.00000,1492.00000,1492.00000,1492.00000,2232.00000,1825.00000,1051.00000,1057.00000,1.42000,1.41000
2017-12-31,3312.00000,3312.00000,1675.00000,,1522.00000,-38.00000,1484.00000,1257.00000,227.00000,227.00000,227.00000,1878.00000,1522.00000,1067.00000,1072.00000,0.23000,0.21000
2017-09-30,3398.00000,3398.00000,1339.00000,,1941.00000,-9.00000,1932.00000,502.00000,1430.00000,1430.00000,1430.00000,2324.00000,1941.00000,1063.00000,1068.00000,1.34000,1.34000
2017-06-30,3053.00000,3053.00000,1289.00000,,1653.00000,-25.00000,1628.00000,451.00000,1177.00000,1177.00000,1177.00000,1994.00000,1653.00000,1070.00000,1075.00000,1.10000,1.10000
2017-03-31,2734.00000,2734.00000,1121.00000,-15.00000,1506.00000,-28.00000,1478.00000,397.00000,1081.00000,1081.00000,1081.00000,1864.00000,1506.00000,1078.00000,1082.00000,1.00000,1.00000
2016-12-31,2756.00000,2756.00000,1291.00000,-10.00000,1363.00000,-52.00000,1311.00000,378.00000,933.00000,933.00000,933.00000,1686.00000,1363.00000,1098.00000,1101.00000,0.87000,0.86000
2016-09-30,2880.00000,2880.00000,1117.00000,,1670.00000,-37.00000,1633.00000,449.00000,1184.00000,1184.00000,1184.00000,1996.00000,1670.00000,1096.00000,1099.00000,1.08000,1.08000
2016-06-30,2694.00000,2694.00000,1114.00000,-107.00000,1380.00000,-15.00000,1365.00000,382.00000,983.00000,983.00000,983.00000,1665.00000,1380.00000,1098.00000,1101.00000,0.89000,0.89000
2016-03-31,2446.00000,2446.00000,1003.00000,,1348.00000,-11.00000,1337.00000,378.00000,959.00000,959.00000,959.00000,1647.00000,1348.00000,1109.00000,1112.00000,0.86000,0.86000
