,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1504.71700,475.36590,1029.35100,645.09810,697.03210,332.31900,-28.19600,304.12290,47.30900,256.81400,256.81400,256.81400,382.15500,332.31900,80.17800,81.06700,3.24000,3.18000
2022-09-30,1331.86800,416.83700,915.03100,613.03100,661.61300,253.41800,-21.35600,232.06200,58.51700,173.54500,173.54500,173.54500,301.81600,253.41800,79.25900,80.05900,2.19000,2.17000
2022-06-30,1376.52100,424.53500,951.98600,604.91100,654.86400,297.12210,-21.17100,275.95100,71.02600,204.92500,204.92500,204.92500,345.92610,297.12210,80.27100,80.97400,2.55000,2.53000
2022-03-31,1262.74000,377.03300,885.70700,617.90400,668.46000,217.24690,-2.18800,215.05900,42.54400,172.51500,172.51500,172.51500,266.72890,217.24690,82.02000,82.97300,2.10000,2.08000
2021-12-31,1306.32300,399.58690,906.73600,667.33400,721.33210,185.40390,-8.30700,177.09700,-32.26200,209.35900,209.35900,209.35900,238.18590,185.40410,85.02600,86.17700,2.53000,2.48000
2021-09-30,1156.28200,359.23700,797.04500,512.57300,566.82400,230.22090,-31.38800,198.83300,49.96800,148.86500,148.86500,148.86500,283.82290,230.22090,83.56600,84.76600,1.78000,1.76000
2021-06-30,1167.31900,350.80200,816.51700,488.49600,541.80300,274.71400,104.47300,379.18700,107.95100,271.23600,271.23600,271.23600,327.71000,274.71400,85.71200,86.58900,3.16000,3.13000
2021-03-31,1104.03800,334.46700,769.57090,487.25500,544.15900,225.41190,-10.65900,214.75300,50.65300,164.10000,164.10000,164.10000,282.59890,225.41190,88.35200,89.13900,1.86000,1.84000
2020-12-31,1112.75900,351.42800,761.33090,525.97610,583.20010,178.13080,-21.97500,156.15600,36.54900,119.60700,119.60700,119.60700,235.44880,178.13070,89.31500,90.01700,1.34000,1.33000
2020-09-30,994.61800,329.76700,664.85100,521.50800,577.20100,87.65000,-73.48300,14.16700,-2.79700,16.96400,16.96400,16.96400,143.71600,87.65000,89.37800,89.95500,0.19000,0.19000
2020-06-30,973.13500,322.55100,650.58400,494.84000,550.93300,99.65100,-40.69500,58.95600,3.87900,55.07700,55.07700,55.07700,167.66200,99.65100,89.32300,89.78000,0.62000,0.61000
2020-03-31,1018.89100,341.27800,677.61300,496.63900,552.89500,124.71800,-27.86400,96.85400,21.75700,75.09700,75.09700,75.09700,181.05100,124.71800,89.21900,90.06600,0.84000,0.83000
2019-12-31,1203.49300,450.86800,752.62510,557.51900,616.48600,136.13930,-25.55700,110.58200,42.88100,67.70100,67.70100,67.70100,191.43130,136.13910,89.81700,90.97100,0.76000,0.74000
2019-09-30,1000.50200,365.05600,635.44600,512.15900,566.29900,69.14700,-16.04900,53.09800,11.71000,41.38800,41.38800,41.38800,80.61600,69.14700,89.84600,90.88700,0.46000,0.46000
2019-06-30,1070.88200,387.99900,682.88290,514.97600,566.88110,116.00190,-24.99600,91.00600,-12.40000,103.40600,103.40600,103.40600,191.50390,116.00190,90.11200,91.18800,1.15000,1.13000
2019-03-31,970.44400,346.64500,623.79900,518.77000,575.00000,48.79900,-27.74600,21.05300,0.25800,20.79500,20.79500,20.79500,124.81200,48.79900,89.88200,91.00400,0.23000,0.23000
2018-12-31,1088.87900,407.84200,681.03710,488.05600,551.43110,129.60610,-18.63900,110.96700,26.94700,84.02000,84.02000,84.02000,183.73610,129.60600,90.82700,92.12200,0.93000,0.92000
2018-09-30,921.67400,336.11200,585.56200,447.53700,532.83800,52.72400,-14.77100,37.95300,26.20000,11.75300,11.75300,11.75300,122.51500,52.72400,90.85400,92.14800,0.13000,0.13000
2018-06-30,1001.33600,367.63700,633.69900,460.80300,547.60290,86.09610,-11.02400,75.07200,28.80200,46.27000,46.27000,46.27000,161.66710,86.09610,91.04800,92.15600,0.51000,0.50000
2018-03-31,963.56500,357.20900,606.35600,487.74500,615.06700,-8.71100,-34.16000,-42.87100,-23.28400,-19.58700,-19.58700,-19.58700,61.21300,-8.71100,91.00500,91.00500,-0.22000,-0.22000
2017-12-31,1014.50900,398.37790,616.13100,465.37110,553.22730,62.90380,-34.51700,28.37700,-78.93000,107.30700,107.30700,107.30700,136.24980,62.90380,88.46600,89.79000,1.16000,1.17000
2017-09-30,828.08500,332.20700,495.87800,421.16300,520.22700,-24.34890,-37.59100,-61.94000,-13.76000,-48.18000,-48.18000,-48.18000,47.97610,-24.34890,90.62400,90.62400,-0.53000,-0.53000
2017-06-30,843.73100,352.00400,491.72700,408.22600,590.11500,-98.38800,-44.36300,-142.75100,-50.47000,-92.28100,-92.28100,-92.28100,-5.82400,-98.38800,89.29700,89.29700,-1.03000,-1.03000
2017-03-31,625.16900,237.60900,387.56000,304.24400,334.05590,53.50410,-5.01700,48.49700,12.06400,36.43300,36.43300,36.43300,70.50210,53.50410,82.83500,84.09500,0.44000,0.43000
2016-12-31,703.21690,279.06300,424.15390,289.86190,315.46690,108.68700,-2.50200,106.18500,39.70000,66.48500,66.48500,66.48500,125.12300,108.68720,82.57100,83.82000,0.79000,0.79000
2016-09-30,574.05900,223.12200,350.93700,269.90200,302.21100,48.72600,-3.97800,44.74800,14.26400,30.48400,30.48400,30.48400,64.93100,48.72600,82.63800,83.80300,0.37000,0.36000
2016-06-30,609.99800,231.42200,378.57600,272.00900,295.27700,83.29900,-6.10800,77.19100,25.56500,51.62600,51.62600,51.62600,100.28090,83.29900,82.55900,83.71100,0.63000,0.62000
2016-03-31,557.26600,212.04100,345.22500,257.41100,280.79600,64.42900,-4.12200,60.30700,15.32000,44.98700,44.98700,44.98700,79.85700,64.42900,82.45100,83.46400,0.55000,0.54000
