,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,95429.00000,68036.00000,27393.00000,348.00000,2832.00000,8551.00000,18842.00000,18842.00000,5787.00000,13055.00000,13055.00000,12750.00000,,19049.00000,4126.21400,4138.00000,3.09000,3.09000
2022-09-30,112070.00000,78101.00000,33969.00000,218.00000,2324.00000,8547.00000,25422.00000,25422.00000,5224.00000,20198.00000,20198.00000,19660.00000,31273.00000,25631.00000,4185.00000,4185.00000,4.68000,4.68000
2022-06-30,115681.00000,83167.00000,32514.00000,286.00000,2530.00000,7581.00000,24933.00000,24933.00000,6359.00000,18574.00000,18574.00000,17850.00000,29578.00000,25127.00000,4233.00000,4233.00000,4.21000,4.21000
2022-03-31,90500.00000,70183.00000,20317.00000,173.00000,2409.00000,11761.00000,8556.00000,8556.00000,2806.00000,5750.00000,5750.00000,5480.00000,17627.00000,8744.00000,4266.00000,4266.00000,1.28000,1.28000
2021-12-31,84965.00000,64216.00000,20749.00000,524.00000,2514.00000,9020.00000,11729.00000,11729.00000,2650.00000,9079.00000,9079.00000,8870.00000,17611.00000,11950.00000,4275.00000,4275.00000,2.08000,2.08000
2021-09-30,73786.00000,56353.00000,17433.00000,190.00000,2287.00000,7827.00000,9606.00000,9606.00000,2664.00000,6942.00000,6942.00000,6750.00000,14810.00000,9820.00000,4276.00000,4276.00000,1.57000,1.57000
2021-06-30,67742.00000,53546.00000,14196.00000,176.00000,2345.00000,7889.00000,6307.00000,6307.00000,1526.00000,4781.00000,4781.00000,4690.00000,11513.00000,6561.00000,4276.00000,4276.00000,1.10000,1.10000
2021-03-31,59147.00000,47323.00000,11824.00000,164.00000,2428.00000,8232.00000,3592.00000,3592.00000,796.00000,2796.00000,2796.00000,2730.00000,8854.00000,3850.00000,4272.00000,4272.00000,0.64000,0.64000
2020-12-31,46540.00000,38825.00000,7715.00000,595.00000,2736.00000,34328.00000,-26613.00000,-26613.00000,-6010.00000,-20603.00000,-20603.00000,-20070.00000,3991.00000,-26300.00000,4271.00000,4271.00000,-4.70000,-4.70000
2020-09-30,46199.00000,38405.00000,7794.00000,188.00000,2444.00000,8166.00000,-372.00000,-372.00000,337.00000,-709.00000,-709.00000,-680.00000,4890.00000,-93.00000,4271.00000,4271.00000,-0.15000,-0.15000
2020-06-30,32605.00000,26118.00000,6487.00000,214.00000,2409.00000,8127.00000,-1640.00000,-1640.00000,-471.00000,-1169.00000,-1169.00000,-1080.00000,3593.00000,-1323.00000,4271.00000,4271.00000,-0.26000,-0.26000
2020-03-31,56158.00000,47212.00000,8946.00000,288.00000,2579.00000,9204.00000,-258.00000,-258.00000,512.00000,-770.00000,-770.00000,-610.00000,5810.00000,-9.00000,4270.00000,4270.00000,-0.14000,-0.14000
2019-12-31,67173.00000,52023.00000,15150.00000,357.00000,3048.00000,8736.00000,6414.00000,6414.00000,684.00000,5730.00000,5730.00000,5690.00000,11538.00000,6615.00000,4270.00000,4270.00000,1.33000,1.33000
2019-09-30,65049.00000,51814.00000,13235.00000,299.00000,2753.00000,8514.00000,4721.00000,4721.00000,1474.00000,3247.00000,3247.00000,3170.00000,9826.00000,4953.00000,4271.00000,4271.00000,0.75000,0.75000
2019-06-30,69091.00000,56139.00000,12952.00000,333.00000,2827.00000,8320.00000,4632.00000,4632.00000,1241.00000,3391.00000,3391.00000,3130.00000,9479.00000,4848.00000,4271.00000,4271.00000,0.73000,0.73000
2019-03-31,63625.00000,51176.00000,12449.00000,280.00000,2770.00000,8160.00000,4289.00000,4289.00000,1883.00000,2406.00000,2406.00000,2350.00000,9041.00000,4470.00000,4270.00000,4270.00000,0.55000,0.55000
2018-12-31,71895.00000,54795.00000,17100.00000,555.00000,2848.00000,8979.00000,8121.00000,8121.00000,1915.00000,6206.00000,6206.00000,6000.00000,13364.00000,8336.00000,4270.00000,4270.00000,1.41000,1.41000
2018-09-30,76605.00000,59176.00000,17429.00000,292.00000,2892.00000,8349.00000,9080.00000,9080.00000,2634.00000,6446.00000,6446.00000,6240.00000,13938.00000,9280.00000,4271.00000,4271.00000,1.46000,1.46000
2018-06-30,73501.00000,58620.00000,14881.00000,332.00000,2993.00000,8369.00000,6512.00000,6512.00000,2526.00000,3986.00000,3986.00000,3950.00000,11248.00000,6659.00000,4271.00000,4271.00000,0.92000,0.92000
2018-03-31,68211.00000,52926.00000,15285.00000,287.00000,2747.00000,8045.00000,7240.00000,7240.00000,2457.00000,4783.00000,4783.00000,4650.00000,11914.00000,7444.00000,4270.00000,4270.00000,1.09000,1.09000
2017-12-31,66515.00000,53333.00000,13182.00000,703.00000,2956.00000,10165.00000,3017.00000,3017.00000,-5392.00000,8409.00000,8409.00000,8380.00000,9045.00000,3203.00000,4256.00000,4256.00000,1.97000,1.97000
2017-09-30,61100.00000,47135.00000,13965.00000,284.00000,2632.00000,8382.00000,5583.00000,5583.00000,1498.00000,4085.00000,4085.00000,3970.00000,10574.00000,5694.00000,4271.00000,4271.00000,0.93000,0.93000
2017-06-30,58077.00000,45622.00000,12455.00000,514.00000,2556.00000,8299.00000,4156.00000,4156.00000,892.00000,3264.00000,3264.00000,3350.00000,8966.00000,4314.00000,4271.00000,4271.00000,0.78000,0.78000
2017-03-31,58671.00000,44921.00000,13750.00000,289.00000,2505.00000,7832.00000,5918.00000,5918.00000,1828.00000,4090.00000,4090.00000,4010.00000,10583.00000,6064.00000,4223.00000,4223.00000,0.95000,0.95000
2016-12-31,43036.00000,29464.00000,13572.00000,340.00000,2468.00000,12955.00000,617.00000,617.00000,-1407.00000,2024.00000,2024.00000,1680.00000,8929.00000,812.00000,4177.00000,4177.00000,0.41000,0.41000
2016-09-30,58677.00000,47677.00000,11000.00000,327.00000,2736.00000,7774.00000,3226.00000,3226.00000,337.00000,2889.00000,2889.00000,2650.00000,7937.00000,3332.00000,4178.00000,4178.00000,0.63000,0.63000
2016-06-30,57694.00000,47311.00000,10383.00000,445.00000,2646.00000,7987.00000,2396.00000,2396.00000,715.00000,1681.00000,1681.00000,1700.00000,7292.00000,2471.00000,4178.00000,4178.00000,0.41000,0.41000
2016-03-31,48707.00000,39187.00000,9520.00000,355.00000,2593.00000,7790.00000,1730.00000,1730.00000,-51.00000,1781.00000,1781.00000,1810.00000,6572.00000,1807.00000,4178.00000,4178.00000,0.43000,0.43000
2015-12-31,40173.00000,29222.00000,10951.00000,518.00000,2990.00000,8323.00000,2628.00000,2628.00000,-202.00000,2830.00000,2830.00000,2780.00000,7443.00000,2688.00000,4196.00000,4196.00000,0.67000,0.67000
2015-09-30,67344.00000,53684.00000,13660.00000,324.00000,2967.00000,7911.00000,5749.00000,5749.00000,1365.00000,4384.00000,4384.00000,4240.00000,10369.00000,5827.00000,4190.00000,4190.00000,1.01000,1.01000
2015-06-30,74113.00000,59422.00000,14691.00000,370.00000,2831.00000,7737.00000,6954.00000,6954.00000,2692.00000,4262.00000,4262.00000,4190.00000,11490.00000,7039.00000,4200.00000,4200.00000,1.00000,1.00000
2015-03-31,67618.00000,53571.00000,14047.00000,311.00000,2713.00000,7412.00000,6635.00000,6635.00000,1560.00000,5075.00000,5075.00000,4940.00000,11023.00000,6723.00000,4211.00000,4211.00000,1.17000,1.17000
2014-12-31,87276.00000,70243.00000,17033.00000,537.00000,3128.00000,8191.00000,8842.00000,8842.00000,2060.00000,6782.00000,6782.00000,6570.00000,13368.00000,8910.00000,4282.00000,4282.00000,1.56000,1.56000
2014-09-30,107130.00000,85782.00000,21348.00000,319.00000,3169.00000,7938.00000,13410.00000,13410.00000,5064.00000,8346.00000,8346.00000,8070.00000,17860.00000,13498.00000,4267.00000,4267.00000,1.89000,1.89000
2014-06-30,111208.00000,89043.00000,22165.00000,496.00000,3169.00000,8014.00000,14151.00000,14151.00000,5034.00000,9117.00000,9117.00000,8780.00000,18500.00000,14215.00000,4297.00000,4297.00000,2.05000,2.05000
2014-03-31,106325.00000,83391.00000,22934.00000,317.00000,3132.00000,7707.00000,15227.00000,15227.00000,5857.00000,9370.00000,9370.00000,9100.00000,19485.00000,15293.00000,4328.00000,4328.00000,2.10000,2.10000
2013-12-31,110860.00000,87984.00000,22876.00000,591.00000,3341.00000,8160.00000,14716.00000,14716.00000,6073.00000,8643.00000,8643.00000,8350.00000,18944.00000,14564.00000,4419.00000,4419.00000,1.91000,1.91000
2013-09-30,112372.00000,90208.00000,22164.00000,486.00000,3150.00000,7975.00000,14189.00000,14189.00000,6120.00000,8069.00000,8069.00000,7870.00000,18528.00000,14241.00000,4395.00000,4395.00000,1.79000,1.79000
2013-06-30,106666.00000,85686.00000,20980.00000,454.00000,3268.00000,8212.00000,12768.00000,12768.00000,5793.00000,6975.00000,6975.00000,6860.00000,17258.00000,12853.00000,4433.00000,4433.00000,1.55000,1.55000
2013-03-31,108357.00000,84622.00000,23735.00000,445.00000,3118.00000,7697.00000,16038.00000,16038.00000,6277.00000,9761.00000,9761.00000,9500.00000,20172.00000,16062.00000,4485.00000,4485.00000,2.12000,2.12000
2012-12-31,114124.00000,88429.00000,25695.00000,452.00000,3322.00000,7995.00000,17700.00000,17700.00000,7398.00000,10302.00000,10302.00000,9950.00000,21921.00000,17811.00000,4628.00000,4628.00000,2.20000,2.20000
2012-09-30,115141.00000,89763.00000,25378.00000,494.00000,3468.00000,8058.00000,17320.00000,17320.00000,7394.00000,9926.00000,9926.00000,9570.00000,21416.00000,17379.00000,4597.00000,4597.00000,2.09000,2.09000
2012-06-30,127363.00000,93365.00000,33998.00000,372.00000,3486.00000,7807.00000,26191.00000,26191.00000,8537.00000,17654.00000,17654.00000,15910.00000,30140.00000,26241.00000,4656.00000,4657.00000,3.41000,3.41000
2012-03-31,124053.00000,98466.00000,25587.00000,522.00000,3601.00000,8072.00000,17515.00000,17515.00000,7716.00000,9799.00000,9799.00000,9450.00000,21464.00000,17622.00000,4715.00000,4716.00000,2.00000,2.00000
2011-12-31,121609.00000,96080.00000,25529.00000,427.00000,3911.00000,8488.00000,17041.00000,17041.00000,7317.00000,9724.00000,9724.00000,9400.00000,21191.00000,17116.00000,4870.00000,4875.00000,1.97000,1.97000
2011-09-30,125330.00000,98194.00000,27136.00000,728.00000,3764.00000,8456.00000,18680.00000,18680.00000,8009.00000,10671.00000,10671.00000,10330.00000,22644.00000,18778.00000,4839.00000,4843.00000,2.13000,2.13000
2011-06-30,125486.00000,98668.00000,26818.00000,592.00000,3681.00000,8199.00000,18619.00000,18619.00000,7721.00000,10898.00000,10898.00000,10680.00000,22545.00000,18664.00000,4906.00000,4912.00000,2.19000,2.18000
2011-03-31,114004.00000,87336.00000,26668.00000,334.00000,3627.00000,7751.00000,18917.00000,18917.00000,8004.00000,10913.00000,10913.00000,10650.00000,22707.00000,18946.00000,4963.00000,4971.00000,2.14000,2.14000
2010-12-31,105186.00000,81073.00000,24113.00000,551.00000,3855.00000,8786.00000,15327.00000,15327.00000,5811.00000,9516.00000,9516.00000,9250.00000,19707.00000,15437.00000,4885.00000,4897.00000,1.86000,1.85000
2010-09-30,95298.00000,74335.00000,20963.00000,500.00000,3707.00000,8105.00000,12858.00000,12858.00000,5297.00000,7561.00000,7561.00000,7350.00000,16756.00000,12912.00000,5076.00000,5089.00000,1.44000,1.44000
2010-06-30,92486.00000,72360.00000,20126.00000,407.00000,3607.00000,7420.00000,12706.00000,12706.00000,4960.00000,7746.00000,7746.00000,7560.00000,16112.00000,12746.00000,4716.00000,4729.00000,1.61000,1.60000
2010-03-31,90251.00000,70648.00000,19603.00000,686.00000,3514.00000,7535.00000,12068.00000,12068.00000,5493.00000,6575.00000,6575.00000,6300.00000,15403.00000,12123.00000,4722.00000,4736.00000,1.33000,1.33000
2009-12-31,89841.00000,71840.00000,18001.00000,685.00000,3881.00000,7795.00000,10206.00000,10206.00000,4067.00000,6139.00000,6139.00000,6050.00000,13435.00000,10242.00000,4832.00000,4848.00000,1.27000,1.27000
2009-09-30,82260.00000,65685.00000,16575.00000,495.00000,3887.00000,7371.00000,9204.00000,9204.00000,4333.00000,4871.00000,4871.00000,4730.00000,12193.00000,9266.00000,4784.00000,4803.00000,0.98000,0.98000
