,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1279.04900,539.98200,739.06700,279.16100,27.14400,490.87000,248.19700,-105.15100,143.04600,17.39200,125.65400,,125.65400,,122.43700,,248.19700,291.22700,292.89200,0.42000,0.42000
2022-09-30,1286.94500,546.04100,740.90390,285.29900,14.17000,455.14200,285.76190,-68.89700,216.86500,23.93400,192.93100,,192.93100,,192.16400,465.31090,285.76190,290.93700,292.55200,0.66000,0.66000
2022-06-30,1289.53400,556.47600,733.05800,295.39400,51.24900,439.27710,293.78100,-73.84000,219.94100,18.08300,201.85800,,201.85800,,200.08100,476.71000,293.78100,290.75600,292.48700,0.69000,0.68000
2022-03-31,1248.04600,546.62200,701.42400,280.72300,0.70500,479.29400,222.13000,-170.34300,51.78700,10.08000,41.70700,,41.70700,,42.29900,410.13400,222.13000,290.32800,291.84600,0.15000,0.14000
2021-12-31,1159.58700,479.07810,680.50890,262.46100,37.72000,484.10670,196.40210,-111.72400,84.67800,23.21700,61.46110,,61.46110,,61.64800,373.75710,196.40200,289.45700,290.97500,0.22000,0.21000
2021-09-30,1130.14800,481.66300,648.48500,241.59600,0.93500,467.04900,181.43600,-85.30800,96.12800,28.01700,68.11100,,68.11100,,67.68300,360.28100,181.43600,289.76200,291.48200,0.23000,0.23000
2021-06-30,1119.75600,474.57900,645.17700,259.77900,128.93500,339.24910,305.92790,81.01000,386.93800,110.41600,276.52200,,276.52200,,275.28500,476.92890,305.92790,289.24700,291.07900,0.95000,0.95000
2021-03-31,1082.04000,451.90900,630.13100,258.72300,4.45100,459.72500,170.40600,-109.13500,61.27100,14.64000,46.63100,,46.63100,,45.60300,340.17500,170.40600,288.75600,289.52800,0.16000,0.16000
2020-12-31,1059.65300,449.22310,610.43010,236.44000,285.36700,185.13720,425.29280,-182.23300,243.06000,-3.69500,246.75500,,246.75500,,247.41000,597.90080,425.29280,288.18300,288.64300,0.86000,0.86000
2020-09-30,1036.64700,434.50500,602.14200,232.09500,75.84000,361.87810,240.26390,-187.76800,52.49600,13.93400,38.56200,,38.56200,,38.39400,401.66600,240.26390,288.40300,288.81100,0.13000,0.13000
2020-06-30,982.23900,406.69300,575.54600,241.94700,1.27500,443.81990,131.72610,-129.15600,2.57000,9.68300,-7.11300,,-7.11300,,-7.08600,300.06410,131.72610,288.07100,288.07100,-0.02000,-0.02000
2020-03-31,1068.73100,466.92100,601.80990,238.73300,-21.94500,464.30810,137.50190,-62.92300,74.57900,9.68700,64.89200,,64.89200,,63.97500,327.59890,137.50190,287.84000,288.35900,0.22000,0.22000
2019-12-31,1079.59000,459.48790,620.10190,233.64600,46.73700,414.02800,206.07400,-152.16600,53.90800,16.80400,37.10400,,37.10400,0.00000,37.70000,384.35400,206.07410,286.97100,287.68700,0.14000,0.14000
2019-09-30,1062.22400,449.37200,612.85200,237.15100,9.28400,389.37800,223.47400,-93.26200,130.21200,21.92800,108.28400,,108.28400,,107.67500,385.11300,223.47400,287.15200,287.69100,0.37000,0.37000
2019-06-30,1066.90700,463.80900,603.09800,252.15600,8.40500,409.98300,193.11500,-90.12200,102.99300,10.64600,92.34700,,92.34700,0.12800,92.44100,361.54600,193.11500,286.92500,287.48100,0.32000,0.32000
2019-03-31,1053.86300,460.64600,593.21700,268.71100,-0.60200,434.54200,158.67500,-117.64600,41.02900,10.55300,30.47600,,30.47600,-0.02400,29.56100,325.26610,158.67500,286.52800,287.49200,0.10000,0.10000
2018-12-31,1061.48900,445.75100,615.73820,225.09890,71.55800,369.12500,246.61330,-92.77600,153.83700,1.50500,152.33200,,152.33200,0.00000,151.61900,415.67020,246.61330,285.91300,286.65300,0.53000,0.52000
2018-09-30,1060.99100,448.01800,612.97300,259.92900,0.38800,417.33800,195.63490,-104.26300,91.37200,14.02300,77.34900,,77.34900,-11.60500,65.86900,357.38900,195.63490,286.15900,286.98200,0.23000,0.23000
2018-06-30,1060.82300,451.46400,609.35900,252.22500,0.54600,407.89890,201.46010,-83.14000,118.32000,26.05700,92.26300,,92.26300,-0.36000,91.76100,361.70710,201.46010,285.98400,286.56900,0.32000,0.32000
