,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1449.60000,645.80000,316.00000,961.80000,,87.90000,,-139.90000,-52.00000,2359.40000,-237.60000,199.80000,199.80000,-3.70000,-41.50000,-886.00000,-886.00000,-1107.40000,-83.50000,-2076.90000,250.50000,285.40000,-1107.40000
2021-12-31,3098.50000,204.80000,66.40000,271.20000,,14.90000,,67.40000,82.30000,3452.00000,-239.10000,1560.90000,1560.90000,-2419.90000,-1098.10000,-1220.10000,-1220.10000,-1701.90000,-66.80000,-2988.80000,-632.30000,274.60000,-1701.90000
2020-12-31,2523.30000,189.60000,-86.30000,103.30000,,-798.80000,,91.10000,-707.70000,1918.90000,-214.60000,127.80000,127.80000,50.50000,-36.30000,-1198.00000,-1198.00000,-845.80000,557.50000,-1486.30000,398.20000,246.20000,-845.80000
2019-12-31,2248.90000,190.80000,-1026.60000,-835.80000,,,,109.60000,109.60000,1522.70000,-204.60000,-126.70000,-126.70000,6.80000,-324.50000,-622.50000,-622.50000,-733.90000,523.70000,-832.70000,363.00000,206.60000,-733.90000
2018-12-31,1768.70000,159.50000,17.10000,176.60000,,-437.00000,,111.60000,-325.40000,1619.90000,-168.50000,-795.40000,-795.40000,88.40000,-875.50000,-1015.60000,-1015.60000,-694.30000,470.40000,-1239.50000,-510.50000,197.10000,-694.30000
2017-12-31,1581.20000,143.60000,-223.00000,-79.40000,,-1492.90000,,220.60000,-1272.30000,229.50000,-186.10000,232.50000,232.50000,-7.40000,39.00000,-257.00000,-257.00000,-563.10000,1281.60000,461.50000,735.30000,152.00000,-563.10000
2016-12-31,1254.00000,133.40000,77.60000,211.00000,-10.50000,-1297.90000,139.20000,-125.30000,-1294.50000,170.50000,-148.30000,260.20000,260.20000,-5.70000,106.20000,-550.60000,-550.60000,-540.80000,915.00000,-176.40000,98.20000,161.60000,-540.80000
2015-12-31,1223.00000,126.30000,86.60000,212.90000,-3.20000,-7.50000,98.20000,7.10000,94.60000,1530.50000,-151.30000,269.70000,269.70000,-9.40000,109.00000,-914.30000,-914.30000,-1059.00000,,-1973.30000,-333.80000,149.00000,-1059.00000
2014-12-31,1229.60000,111.70000,73.00000,184.70000,-31.50000,-86.20000,36.50000,10.80000,-70.40000,1343.90000,-126.20000,-305.30000,-305.30000,-11.90000,-443.40000,-330.30000,-330.30000,-462.10000,,-792.40000,108.10000,133.40000,-462.10000
2013-12-31,1047.70000,90.60000,88.10000,178.70000,-44.70000,-25.60000,-5.10000,82.20000,6.80000,1233.20000,-105.80000,-331.70000,-331.70000,,-437.50000,104.10000,104.10000,-396.70000,15.80000,-276.80000,518.90000,114.60000,-396.70000
2012-12-31,883.60000,80.90000,57.60000,138.50000,-49.70000,-89.30000,35.30000,-15.60000,-119.30000,902.80000,-76.90000,-220.00000,-220.00000,-13.20000,-310.10000,-48.60000,-48.60000,-603.40000,40.50000,-611.50000,-18.80000,104.10000,-603.40000
2011-12-31,773.20000,72.40000,94.70000,167.10000,2.80000,,-4.90000,10.20000,8.10000,948.40000,-82.30000,-75.10000,-75.10000,-7.60000,-165.00000,-429.10000,-429.10000,-317.90000,48.40000,-698.60000,84.80000,98.70000,-317.90000
2010-12-31,672.20000,63.00000,81.90000,144.90000,-62.50000,,26.70000,-48.50000,-84.30000,732.80000,-118.00000,-158.90000,-158.90000,,-276.90000,-157.00000,-157.00000,-278.90000,49.80000,-386.10000,69.80000,89.50000,-278.90000
2009-12-31,433.60000,65.70000,125.20000,190.90000,-69.30000,,-15.60000,-4.00000,-88.90000,535.60000,-133.90000,-32.80000,-32.80000,,-166.70000,-23.30000,-23.30000,-256.90000,35.50000,-244.70000,124.20000,89.10000,-256.90000
