,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1088.71200,343.06200,107.68300,450.74500,-349.74200,162.33500,-14.93700,-182.47800,1356.97900,-772.32500,-321.40100,-1093.72600,173.94200,173.94200,-703.12000,-703.12000,-409.60300,,-938.78100,-675.52800,53.83200,-409.60300
2021-12-31,997.11400,270.15800,80.84300,351.00100,-407.92200,179.53400,-71.71900,-209.39500,1138.72000,-627.34000,,-627.34000,-4.58000,-4.58000,-731.52000,-731.52000,-239.00600,,-975.10600,-463.72600,47.64900,-239.00600
2020-12-31,748.95800,217.12400,78.42800,295.55200,-180.48900,333.06000,31.12900,350.00500,1394.51500,-292.21000,,-292.21000,598.33000,598.33000,-251.41600,-251.41600,-174.65600,-17.04800,155.21000,1257.51500,37.27300,-174.65600
2019-12-31,562.35400,195.97800,37.59900,233.57700,-13.23900,23.05500,1.58200,15.78500,811.71600,-214.96100,,-214.96100,-14.95800,-14.95800,-421.15590,-421.15590,-162.69900,,-598.81300,-2.05800,31.13600,-162.69900
2018-12-31,532.35700,177.35100,40.24100,217.59200,-136.33400,43.41300,-13.05800,-55.55500,694.39400,-276.31400,,-276.31400,-21.99600,-21.99600,-271.50000,-271.50000,-147.08700,-0.34600,-440.92900,-22.84900,28.92100,-147.08700
2017-12-31,422.59900,165.83400,56.38600,222.22000,-83.55200,57.04600,12.83800,-13.36900,631.45000,-239.18100,1.22500,-237.95600,150.05400,150.05400,-353.88900,-353.88900,-133.82800,-0.59900,-338.26200,55.23200,29.20200,-133.82800
2016-12-31,437.12000,142.95800,34.10900,177.06700,-67.65000,82.47700,7.77900,36.52400,650.71100,-225.65500,-143.61000,-369.26500,123.85000,123.85000,-291.54100,-291.54100,-122.27200,-1.38000,-291.34300,-9.89700,23.55400,-122.27200
2015-12-31,410.39500,123.56900,14.28500,137.85400,-168.92500,56.42600,-12.70000,-92.03700,456.21200,-235.91200,,-235.91200,149.49300,149.49300,-254.01300,-254.01300,-103.10100,,-207.62100,12.67900,19.42000,-103.10100
2014-12-31,370.88500,114.63500,-22.10200,92.53300,-136.14200,54.33600,-1.14400,-54.24000,409.17800,-160.28200,,-160.28200,-0.11400,-0.11400,-275.18000,-275.18000,-84.06100,18.85000,-340.50500,-91.60900,16.17300,-84.06100
2013-12-31,328.23400,100.02500,-37.89800,62.12700,-71.19200,-3.90500,-3.27600,-56.68000,333.68100,-217.72300,,-209.32300,-0.03800,-0.03800,-95.24000,-95.24000,-68.48400,43.51700,-120.24500,4.11300,13.89300,-68.48400
2012-12-31,276.45700,88.97500,-34.70000,54.27500,-77.29700,53.98300,4.59600,47.57000,378.30200,-152.54500,,-139.07500,-0.03700,-0.03700,-252.04300,-252.04300,-51.31800,25.83600,-277.56200,-38.33500,17.64100,-51.31800
2011-12-31,222.74000,80.34700,0.41700,80.76400,-94.29900,19.02100,-15.11900,-49.36000,254.14400,-165.40400,,-171.36100,-0.09000,-0.09000,-149.65200,-149.65200,-30.85000,17.43500,-163.15700,-80.37400,15.04100,-30.85000
2010-12-31,167.97200,69.79700,5.70800,75.50500,-60.05400,-14.24700,4.07100,-20.86900,222.60800,-96.19800,,-112.11100,-0.39200,-0.39200,-15.07700,-15.07700,-20.35500,9.81500,-26.00900,84.48800,11.77100,-20.35500
2009-12-31,119.74500,66.25800,1.20400,67.46200,-4.74500,-25.19300,27.93300,28.11000,215.31700,-73.87700,,-73.87700,-0.54800,-0.54800,-9.31000,-9.31000,,4.28000,-5.57800,135.86200,12.13000,
