,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1916.80000,392.90000,84.80000,477.70000,-273.10000,-278.50000,62.50000,23.30000,-219.90000,2174.60000,-378.20000,-288.20000,-81.20000,-81.20000,16.50000,-731.10000,-163.80000,,-163.80000,-545.20000,-545.20000,-477.40000,-10.30000,-1196.70000,176.00000,89.50000,-477.40000
2021-12-31,1580.10000,395.60000,69.60000,465.20000,-398.40000,-263.00000,131.70000,-34.80000,-505.20000,1540.10000,-356.70000,-2225.40000,-8.60000,-8.60000,703.20000,-1887.50000,635.80000,,635.80000,-373.20000,-373.20000,-346.70000,-61.10000,-145.20000,-504.90000,83.00000,-346.70000
2020-12-31,1213.30000,308.10000,101.30000,409.40000,-146.30000,-102.00000,204.30000,-89.80000,-30.70000,1592.00000,-264.10000,-50.40000,-18.40000,-18.40000,-0.60000,-333.50000,152.10000,-0.70000,151.40010,-255.60000,-255.60000,-297.60000,-114.80000,-516.60000,810.80000,70.50000,-297.60000
2019-12-31,1164.00000,312.10000,92.50000,404.60000,117.30000,-3.40000,-60.20000,2.10000,-66.30000,1502.30000,-287.60000,-937.40000,-3.80000,-3.80000,,-1228.80000,58.30010,,58.30010,-355.60000,-355.60000,-279.50000,-71.60000,-648.40000,-388.10000,63.00000,-279.50000
2018-12-31,1216.90000,299.70000,43.60000,343.30000,-237.90000,-173.30000,48.80000,-56.20000,-447.50010,1112.70000,-305.60000,-158.90000,22.70000,22.70000,,-441.80000,11.90000,,11.90000,-804.50000,-804.50000,-253.70000,-23.80000,-1070.10000,-439.80000,55.60000,-253.70000
2017-12-31,660.70000,226.80000,236.00000,462.80000,-146.50000,-100.40000,140.50000,97.90000,20.70000,1144.20000,-222.50000,-265.50000,107.80000,107.80000,,-380.20000,528.40000,,528.40000,-433.90000,-433.90000,-205.00000,-29.60000,-140.10000,684.50000,49.70000,-205.00000
2016-12-31,832.60000,217.00000,-26.70000,190.30000,-165.90000,-14.20000,47.80000,30.90000,54.70000,1077.60000,-183.70000,-1305.10000,-123.90000,-123.90000,,-1612.70000,183.20000,,183.20000,-178.60000,-178.60000,-172.70000,34.60000,-133.50000,-702.60000,47.60000,-172.70000
2015-12-31,772.30000,171.60000,40.90000,212.50000,-22.30000,-5.20000,-17.50000,37.80000,45.70000,1030.50000,-163.40000,-199.80000,335.90000,335.90000,,-27.30000,153.60000,,153.60000,-184.50000,-184.50000,-159.30000,10.10000,-180.10000,768.30000,44.20000,-159.30000
2014-12-31,715.20000,168.10000,9.10000,177.20000,-111.50000,-51.60000,66.80000,-1.00000,-11.50000,880.90000,-203.50000,-518.20000,-60.20000,-60.20000,,-781.90000,540.00000,,540.00000,-441.60000,-441.60000,-101.90000,17.60000,14.10000,82.10000,41.40000,-101.90000
2013-12-31,638.70000,136.50000,15.10000,151.60000,-37.10000,-8.00000,6.90000,-21.70000,-21.20000,769.10000,-154.70000,-484.90000,-53.70000,-53.70000,,-693.30000,421.10000,,421.10000,-229.60000,-229.60000,-96.80000,13.80000,108.50000,196.00000,36.10000,-96.80000
2012-12-31,559.50000,121.80000,9.80000,131.60000,-123.90000,-45.90000,99.40000,-7.80000,-16.40000,674.70000,-124.30000,-251.50000,-117.80000,-117.80000,,-493.60000,329.50010,,329.50010,-284.60000,-284.60000,-70.10000,12.10000,-13.10000,175.70000,31.40000,-70.10000
2011-12-31,528.84200,119.43900,15.25900,134.69800,-9.66400,-88.48600,-27.54700,8.69000,-98.33300,565.20700,-92.10400,-303.27300,-35.50700,-35.50700,,-430.88400,571.30000,,571.30000,-646.10500,-646.10500,-10.28200,-66.06100,-151.14800,-10.80200,28.67900,-10.28200
2010-12-31,502.41300,102.84600,10.69300,113.53900,-239.65700,-65.17900,76.93200,6.62200,-191.05900,424.89300,-107.60700,-180.40200,-60.21600,-60.21600,,-348.22500,45.38900,,45.38900,46.61600,46.61600,-10.41300,-16.87100,64.72100,141.27500,25.38500,-10.41300
2009-12-31,327.21600,98.52400,4.15500,102.67900,93.58800,76.33200,-31.70900,10.23900,152.40200,582.29700,-59.83400,-280.01400,-33.34200,-33.34200,,-373.19000,-33.05600,,-33.05600,25.48100,25.48100,-10.27900,-16.46800,-34.32200,169.62600,20.24000,-10.27900
