,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,940.52400,92.77600,13.97300,106.74900,923.52400,-307.26600,162.13300,609.52500,1650.17100,1.66400,-66.58200,,,,,-64.91800,200.00000,-146.00000,54.00000,-1359.84100,-1359.84100,-285.31700,-28.38800,-1619.54600,-39.93100,90.67700,-285.31700
2021-12-31,844.24500,91.25900,17.33700,108.59600,-1547.54500,660.02800,-299.67200,-859.80110,94.95500,-34.19700,-36.72500,-14.75000,,,,-85.67200,297.95200,524.74900,822.70100,-511.08700,-511.08700,-277.32100,-26.72000,7.57300,13.61700,129.97700,-277.32100
2020-12-31,506.42100,101.72700,10.71100,112.43800,-452.14500,180.27200,-16.23700,-134.76400,499.19100,-17.60800,-30.87600,-223.23000,,,,-271.71400,,-143.00000,-143.00000,-69.85700,-69.85700,-209.95600,-17.85400,-440.66700,-204.06200,43.99500,-209.95600
2019-12-31,576.96800,100.44900,34.03700,134.48600,208.31200,-17.96800,0.53300,127.79500,835.41900,-36.29000,-34.17500,-59.20000,,,16.63600,-113.02900,-207.00000,95.00000,-112.00000,-246.35200,-246.35200,-277.78600,-15.11500,-651.25300,69.24300,39.08300,-277.78600
2018-12-31,664.50500,96.72900,77.72200,174.45100,-190.04800,36.08300,5.52800,-47.87500,792.89600,-45.00000,-18.87100,-5.31500,,,-3.62200,-72.80800,591.01200,-710.00000,-118.98800,-249.70600,-249.70600,-265.21900,-21.26400,-655.17700,44.72500,87.79100,-265.21900
2017-12-31,504.89300,92.97700,13.54100,106.51800,-364.18100,144.04100,-28.27200,-231.90100,384.00100,-40.12200,-17.82300,-49.06800,,,-0.52100,-107.53400,250.00000,-25.00000,225.00000,-147.35500,-147.35500,-258.22200,-21.55700,-202.13400,86.22400,41.80500,-258.22200
2016-12-31,513.38400,74.66900,39.24800,113.91700,-173.21100,115.91700,-10.31200,-99.80000,529.40800,-73.45200,-17.98500,-220.20300,,,-1.34800,-312.98800,,290.00000,290.00000,-153.65400,-153.65400,-245.43000,-18.21600,-127.30000,79.43700,37.56500,-245.43000
2015-12-31,509.69900,66.40900,43.55600,109.96500,107.56000,-53.27200,0.51300,91.26300,718.33600,-28.11500,-16.52700,-369.83300,,,360.02900,-54.44600,,-155.00000,-155.00000,-214.30600,-214.30600,-235.61500,-2.82000,-607.74100,39.28900,57.66100,-235.61500
2014-12-31,449.71100,57.00900,57.98800,114.99700,-137.10200,40.25100,6.67400,-51.99200,513.42600,-22.36400,-7.13800,,,,-359.39400,-388.89600,,230.00000,230.00000,-152.09900,-152.09900,-215.00800,-6.53000,-143.63700,-33.10700,47.86100,-215.00800
2013-12-31,415.90400,56.88200,49.91200,106.79400,-87.31600,47.48800,-5.25400,-175.23500,347.77700,-40.35400,-7.85200,19.12600,,,0.22100,-28.85900,500.00000,121.35400,621.35400,-742.13900,-742.13900,-220.25700,-23.86200,-364.90400,-47.97200,9.09400,-220.25700
2012-12-31,593.80400,38.09000,-222.43200,-184.34200,-88.10700,61.73200,5.26000,50.88000,460.34200,-36.09600,-14.56000,-308.82900,,,0.41900,-359.06600,,248.36300,248.36300,-226.19900,-226.19900,-275.35300,-11.14900,-264.33800,-163.65000,59.38100,-275.35300
2011-12-31,431.61200,32.49800,55.01600,87.51400,-162.68800,68.03900,-11.57400,-89.41400,429.71200,-35.93200,-16.87400,,9.31100,9.31100,5.18200,-38.31300,,,,-221.99800,-221.99800,-194.69700,1.59700,-415.09800,-24.93800,38.60100,-194.69700
2010-12-31,387.02600,29.36900,61.58800,90.95700,-164.11400,14.68400,1.88000,-133.20400,344.77900,-17.71800,-10.95900,,42.35900,42.35900,-5.08400,8.59800,,,,-127.00000,-127.00000,-168.90200,6.76800,-289.13400,61.29900,37.04700,-168.90200
2009-12-31,360.83000,30.51400,38.21900,68.73300,-57.85500,21.85400,-12.90400,-56.99200,372.57100,-30.36200,-4.10400,-41.14500,-48.46200,-48.46200,0.18500,-123.88800,,,,-249.16500,-249.16500,-162.86500,9.96600,-402.06400,-157.43500,21.26700,-162.86500
