,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-1864.00000,1179.00000,2132.00000,3311.00000,-117.00000,-893.00000,-57.00000,-41.00000,-1050.00000,397.00000,-496.00000,-2.00000,1070.00000,,,173.00000,745.00000,-496.00000,152.00000,-344.00000,,,-810.00000,-75.00000,-1229.00000,-164.00000,49.00000,-810.00000
2021-12-31,279.00000,1156.00000,148.00000,1304.00000,-169.00000,-363.00000,419.00000,-133.00000,-146.00000,1437.00000,-375.00000,-4.00000,361.00000,,,,-18.00000,-825.00000,219.00000,-606.00000,9.00000,9.00000,-669.00000,-38.00000,-1304.00000,56.00000,54.00000,-669.00000
2020-12-31,367.00000,325.00000,-52.00000,273.00000,-61.00000,18.00000,28.00000,-12.00000,74.00000,714.00000,-175.00000,0.00000,,,,-12.00000,-187.00000,-147.00000,,-147.00000,,,-323.00000,-42.00000,-512.00000,36.00000,36.00000,-323.00000
2019-12-31,460.00000,323.00000,-47.00000,276.00000,60.00000,-62.00000,55.00000,-73.00000,-37.00000,699.00000,-194.00000,-6.00000,-49.00000,,,23.00000,-226.00000,-155.00000,-1.00000,-156.00000,,,-314.00000,-35.00000,-505.00000,-25.00000,34.00000,-314.00000
2018-12-31,339.78100,173.79200,51.49800,225.29000,-49.95800,-117.64100,55.13600,-7.46500,-127.49600,437.57500,-161.91800,-3.32600,-4847.18600,,,-0.80500,-5013.23500,2880.11700,-0.92700,2879.19000,2252.61900,2252.61900,-230.21800,-30.88800,4870.70300,280.47600,29.40100,-230.21800
2017-12-31,295.66500,117.96700,-22.24300,95.72400,-68.85100,-18.91100,29.11400,16.19200,-0.63300,390.75600,-112.83400,0.00000,-192.32800,,,5.23200,-299.93000,248.25000,-4.49900,243.75100,-57.74000,-57.74000,-206.11800,-22.45100,-42.55800,44.05400,26.56700,-206.11800
2016-12-31,405.03100,102.46900,-18.24600,84.22300,-21.54400,15.45200,-7.64200,13.38300,60.88500,550.13900,-119.55600,0.00000,-236.83600,,,0.92900,-355.46300,430.55900,-131.07400,299.48500,-126.63000,-126.63000,-184.89700,-22.38500,-34.42700,142.00400,24.58700,-184.89700
2015-12-31,419.24700,89.59700,-32.31600,57.28100,-91.71200,-37.62800,89.27300,19.12900,-9.21300,467.31500,-96.72800,,-493.42400,,,12.99600,-577.15600,,138.03600,138.03600,-121.30700,-121.30700,-158.87000,-22.89200,-165.03300,-296.58500,23.16000,-158.87000
2014-12-31,414.54300,89.35400,-1.75200,87.60200,-2.63500,-40.04200,19.40300,101.44800,16.24500,518.39000,-139.88700,,-102.50000,,,21.05400,-221.33300,3.60900,8.33200,11.94100,-86.33900,-86.33900,-133.23900,5.30700,-202.33000,73.06800,22.64800,-133.23900
2013-12-31,353.54400,83.22700,-47.48600,35.74100,-53.15600,4.82200,21.31300,22.02400,18.27700,407.56200,-106.84500,,,,,1.43900,-105.40600,197.78600,-283.22500,-85.43900,-47.56400,-47.56400,-87.34700,3.31200,-217.03800,81.08300,23.73600,-87.34700
2012-12-31,254.13400,76.66700,-33.76400,42.90300,-33.05600,4.57100,-0.74000,-7.85100,26.75900,323.79600,-124.37700,,,-1.12700,-1.12700,11.24300,-114.26100,,138.75600,138.75600,9.21100,9.21100,-130.94300,8.38000,25.40400,236.14300,19.71600,-130.94300
2011-12-31,266.86600,75.32700,46.30300,121.63000,-35.69700,-25.19900,-5.85900,-37.09600,-199.30600,189.19000,-126.75200,,,-1.93600,-1.93600,-2.47500,-131.16300,-123.70800,92.66200,-31.04600,14.65600,14.65600,-90.25000,5.93300,-100.70700,-43.05300,20.54700,-90.25000
2010-12-31,263.55700,79.24200,1.40000,80.64200,-12.14300,-86.25000,39.97300,-47.48700,-29.06300,315.13600,-104.64400,,,-3.85800,-3.85800,1.71900,-106.78300,,-103.19000,-103.19000,26.22400,26.22400,-81.18100,1.40300,-156.74400,51.19700,18.38200,-81.18100
2009-12-31,195.52600,78.52500,-2.22900,76.29600,-27.38000,47.09000,43.78000,-56.57100,19.81500,291.63700,-65.03500,,,-2.24900,-2.24900,-13.60400,-80.88800,-201.10200,-37.29200,-238.39400,5.04300,5.04300,-78.84100,,-312.19200,-98.33200,17.44900,-78.84100
