,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,221.70000,576.50000,228.30000,804.79990,-81.20000,-13.40000,-98.40000,-148.30000,878.20000,-258.50000,-9.00000,,,,8.90000,-258.60000,-165.80000,-165.80000,-594.20000,-594.20000,-93.00000,-853.00000,-235.90000,58.10000
2021-12-31,420.50000,367.30000,198.50000,565.80000,-82.30000,-30.40000,-126.10000,-90.20000,896.10000,-242.60000,-24.20000,-877.60000,,,-77.40000,-1221.80000,382.60000,382.60000,10.80000,10.80000,-53.50000,339.90000,9.70000,35.10000
2020-12-31,-669.10000,383.00000,800.30000,1183.30000,-16.50000,-6.60000,-78.90000,-175.40000,338.80000,-120.90000,-4.80000,-3.00000,-135.00000,-135.00000,30.00000,-233.70000,0.40000,0.40000,1351.50000,1351.50000,-41.80000,1310.10000,1415.20000,14.50000
2019-12-31,43.10000,421.90000,302.70000,724.60000,27.00000,4.40000,-84.10000,-63.80000,703.90000,-190.00000,-11.70000,-1359.40000,,,953.60000,-607.50000,-40.20000,-40.20000,-23.00000,-23.00000,-59.20000,-122.40000,-26.00000,14.90000
2018-12-31,93.50000,275.40000,34.10000,309.50000,-1.80000,-6.10000,8.00000,-50.20000,352.80000,-92.20000,,-1365.10000,,,34.20000,-1423.10000,1172.70000,1172.70000,-42.60000,-42.60000,142.00000,1272.10000,201.80000,12.00000
2017-12-31,473.40000,274.10000,-377.10000,-103.00000,-9.20000,-0.40000,41.40000,107.40000,477.80000,-99.30000,,-129.30000,-0.50000,-0.50000,7.50000,-221.60000,-153.90000,-153.90000,-14.40000,-14.40000,-38.70000,-207.00000,49.20000,7.80000
2016-12-31,109.31000,278.41400,29.75500,308.16900,-5.91100,-7.50000,-16.16800,-9.51900,407.96000,-82.10000,,-86.85900,,,89.67100,-79.28800,-298.43400,-298.43400,24.72000,24.72000,-66.21600,-339.93000,-11.25800,6.87100
2015-12-31,0.68600,266.06000,119.00800,385.06800,0.71000,2.11300,6.18100,28.05400,413.80800,-198.67900,,-450.11300,-2.55500,-2.55500,-129.65800,-781.00500,443.57400,443.57400,9.39900,9.39900,-57.44000,395.53300,28.33600,8.22300
2014-12-31,-183.82200,273.47100,192.50300,465.97400,10.04600,2.02800,-15.29000,-19.92900,262.22300,-226.48000,,-118.67800,-1.28500,-1.28500,-29.09300,-375.53600,40.39400,40.39400,9.79900,9.79900,-21.20200,28.99100,-84.32200,10.66600
2013-12-31,-581.25200,328.43300,734.73000,1063.16300,5.03400,-2.17500,-23.81800,-28.14400,453.76700,-193.87300,,-0.07300,6.19500,6.19500,7.39400,-180.35700,594.73100,594.73100,51.53500,-597.98300,-237.63000,-240.88200,32.52800,22.80900
2012-12-31,210.49700,254.39500,76.90400,331.29900,1.88700,1.33400,5.99400,-34.60700,507.18900,-467.66200,,-709.45000,-36.00000,-36.00000,24.62500,-1188.48700,677.81800,677.81800,31.93300,31.93300,-6.42600,703.32500,22.02700,28.60900
2011-12-31,242.35100,221.07700,53.12500,274.20200,-6.06400,0.39700,-5.42800,50.81200,567.36500,-280.11500,,8.87400,-100.39800,-100.39800,32.83700,-338.80200,-155.33900,-155.33900,-71.08100,-71.08100,-10.08800,-236.50800,-7.94500,24.33000
2010-12-31,-61.66000,224.96800,282.83200,507.80000,-1.33800,0.47700,49.24500,47.03800,493.17800,-361.32800,,-55.89500,-63.63200,-63.63200,-255.90300,-736.75800,-170.74400,-170.74400,-6.09900,-17.29900,-35.11000,-223.15300,-466.73300,25.95400
2009-12-31,-267.41300,205.16900,412.29800,617.46700,-16.09100,-5.29200,-9.89700,-11.80800,338.24600,-286.92300,,-9.00000,37.70700,37.70700,-4.44300,-262.65900,-117.12500,-117.12500,20.88500,20.88500,-12.50700,-108.74700,-33.16000,28.36000
