,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-06-30,1649.00000,451.00000,200.00000,651.00000,-374.00000,-361.00000,228.00000,-80.00000,-643.00000,1657.00000,-381.00000,,29.00000,,29.00000,,-352.00000,499.00000,499.00000,-1731.00000,-1731.00000,-610.00000,-57.00000,-1899.00000,-594.00000,145.00000,-610.00000
2021-06-30,1314.00000,397.00000,59.00000,456.00000,-42.00000,-64.00000,-14.00000,-44.00000,-144.00000,1626.00000,-494.00000,,28.00000,,28.00000,,-466.00000,967.00000,967.00000,-1939.00000,-1939.00000,-649.00000,-52.00000,-1673.00000,-513.00000,112.00000,-649.00000
2020-06-30,1004.00000,379.00000,213.00000,592.00000,-127.00000,-166.00000,394.00000,1.00000,118.00000,1714.00000,-584.00000,,-51.00000,,-51.00000,,-635.00000,-143.00000,-143.00000,-747.00000,-747.00000,-673.00000,-42.00000,-1605.00000,-527.00000,109.00000,-673.00000
2019-06-30,2012.00000,541.00000,-688.00000,-147.00000,204.00000,80.00000,-268.00000,45.00000,-104.00000,1761.00000,-458.00000,,10.00000,1265.00000,1275.00000,29.00000,846.00000,-574.00000,-574.00000,-894.00000,-894.00000,-713.00000,-31.00000,-2212.00000,394.00000,99.00000,-713.00000
2018-06-30,1182.00000,598.00000,294.00000,892.00000,16.00000,-71.00000,65.00000,59.00000,39.00000,2113.00000,-295.00000,,,-1285.00000,-1285.00000,-8.00000,-1588.00000,-214.00000,-214.00000,-248.00000,-248.00000,-726.00000,-23.00000,-1211.00000,-686.00000,112.00000,-726.00000
2017-06-30,772.00000,749.00000,209.00000,958.00000,122.00000,-114.00000,121.00000,-43.00000,186.00000,1916.00000,-434.00000,,6.00000,-37.00000,-31.00000,6.00000,-459.00000,916.00000,916.00000,-374.00000,-374.00000,-561.00000,-27.00000,-46.00000,1411.00000,137.00000,-561.00000
2016-06-30,248.00000,841.00000,127.00000,968.00000,464.00000,145.00000,-24.00000,-1.00000,464.00000,1680.00000,-587.00000,-634.00000,,,,10.00000,-1211.00000,-22.00000,-22.00000,-1011.00000,-1011.00000,-727.00000,-60.00000,-1820.00000,-1354.00000,120.00000,-727.00000
2015-06-30,1742.00000,841.00000,206.00000,1047.00000,-2.00000,29.00000,-58.00000,44.00000,-139.00000,2650.00000,-747.00000,-453.00000,18.00000,,18.00000,-105.00000,-1287.00000,170.00000,170.00000,-989.00000,-989.00000,-664.00000,-12.00000,-1495.00000,-152.00000,137.00000,-664.00000
2014-06-30,1570.00000,879.00000,110.00000,989.00000,4.00000,-20.00000,-190.00000,340.00000,-1.00000,2558.00000,-556.00000,-285.00000,553.00000,,553.00000,-34.00000,-322.00000,1056.00000,1056.00000,-1805.00000,-1805.00000,-557.00000,-5.00000,-1311.00000,926.00000,118.00000,-557.00000
2013-06-30,1838.00000,873.00000,62.00000,935.00000,661.00000,102.00000,-538.00000,233.00000,274.00000,3047.00000,-757.00000,-36.00000,-17.00000,,-17.00000,-15.00000,-825.00000,-238.00000,-238.00000,-1395.00000,-1395.00000,-518.00000,-71.00000,-2222.00000,1.00000,76.00000,-518.00000
2012-06-30,2862.00000,814.00000,10.00000,824.00000,-824.00000,99.00000,157.00000,-55.00000,-424.00000,3262.00000,-616.00000,-561.00000,62.00000,,62.00000,1.00000,-1114.00000,-670.00000,-670.00000,-2082.00000,-2082.00000,-372.00000,6.00000,-3118.00000,-970.00000,51.00000,-372.00000
2011-06-30,511.00000,754.00000,100.00000,854.00000,-95.00000,-115.00000,386.00000,-200.00000,-116.00000,1264.00000,-766.00000,,-227.00000,,-227.00000,12.00000,-981.00000,947.00000,947.00000,-739.00000,-739.00000,-74.00000,-3.00000,131.00000,414.00000,51.00000,-74.00000
2010-06-30,1609.00000,837.00000,55.00000,892.00000,-367.00000,-170.00000,2.00000,16.00000,-569.00000,1932.00000,-618.00000,,-125.00000,,-125.00000,-9.00000,-752.00000,125.00000,-225.00000,-498.00000,-498.00000,,379.00000,-344.00000,836.00000,57.00000,0.00000
2009-06-30,-3125.00000,3251.00000,397.00000,3648.00000,372.00000,358.00000,-79.00000,76.00000,300.00000,823.00000,-626.00000,,-6.00000,,-6.00000,14.00000,-618.00000,344.00000,694.00000,54.00000,54.00000,-132.00000,-384.00000,232.00000,437.00000,83.00000,-132.00000
