,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-09-30,1509.00000,168.00000,461.00000,629.00000,-203.00000,527.00000,,-2439.00000,-2115.00000,72.00000,-91.00000,1461.00000,-1406.00000,-1406.00000,-7115.00000,-7151.00000,58.00000,58.00000,-164.00000,-164.00000,-277.00000,6262.00000,5879.00000,-1790.00000,192.00000,-277.00000
2021-09-30,1403.00000,149.00000,23.00000,172.00000,-420.00000,-88.00000,,5514.00000,5006.00000,6647.00000,-74.00000,-266.00000,-1041.00000,-1041.00000,-3759.00000,-5140.00000,-138.00000,-138.00000,-97.00000,-97.00000,-218.00000,5685.00000,5232.00000,6815.00000,132.00000,-218.00000
2020-09-30,818.00000,176.00000,292.00000,468.00000,127.00000,99.00000,,2469.00000,2695.00000,4073.00000,-124.00000,-5.00000,-4295.00000,-4295.00000,-561.00000,-4985.00000,489.00000,489.00000,-229.00000,-229.00000,-205.00000,4519.00000,4574.00000,3663.00000,120.00000,-205.00000
2019-09-30,1034.00000,126.00000,157.00000,283.00000,,-103.00000,-1231.00000,543.00000,-791.00000,577.00000,-138.00000,-5.00000,-383.00000,-383.00000,-1371.00000,-1897.00000,-5.00000,-5.00000,-713.00000,-713.00000,-191.00000,2282.00000,1373.00000,30.00000,112.00000,-191.00000
2018-09-30,857.00000,120.00000,239.00000,359.00000,-491.00000,-240.00000,,399.00000,-332.00000,884.00000,-134.00000,-159.00000,-584.00000,-584.00000,-2599.00000,-3476.00000,-5.00000,-615.00000,1.00000,1.00000,-151.00000,2185.00000,1420.00000,-1205.00000,99.00000,-151.00000
2017-09-30,636.00000,41.00000,33.00000,74.00000,-54.00000,184.00000,,-1000.00000,-870.00000,-125.00000,-190.00000,,-1340.00000,-1340.00000,-1846.00000,-3376.00000,153.00000,763.00000,23.00000,23.00000,-127.00000,3406.00000,4065.00000,611.00000,109.00000,-127.00000
2016-09-30,529.35000,47.37300,-58.91800,-11.54500,-609.95200,-11.54200,,-469.62900,-1091.12300,-573.31800,-121.73300,-175.28300,-356.17900,-356.17900,-2264.70800,-2917.90300,562.81400,447.81400,-119.17100,-119.17100,-113.43500,2325.27100,2540.47900,-950.55400,78.52800,-113.43500
2015-09-30,502.14000,25.77100,49.82700,75.59800,-115.84100,71.58700,792.65700,-433.12800,315.27500,898.69400,-74.11100,-15.82300,57.61100,57.61100,-2144.28700,-2176.61000,41.04700,6.34700,-40.57800,-40.57800,-103.14300,1867.41700,1730.04300,401.94300,71.48800,-103.14300
2014-09-30,480.24800,41.35900,21.31800,62.67700,-159.56200,160.14000,,-71.25910,-70.68110,507.58700,-60.14900,-2.00700,195.87100,195.87100,-2230.47900,-2096.76400,474.51700,545.14100,25.20600,25.20600,-88.10200,741.71600,1223.96100,-397.55300,69.60900,-88.10200
2013-09-30,367.15400,-14.27200,78.08300,63.81100,88.16200,102.06100,1307.60700,-1301.00300,196.82700,659.80500,-72.87900,,289.26200,289.26200,-868.35700,-651.97400,-152.51000,-73.43400,43.72600,43.72600,-76.59300,721.73300,615.43200,616.59600,61.86200,-76.59300
2012-09-30,295.86900,15.98300,84.16100,100.14400,144.04700,-125.61600,,-23.15500,-4.72400,391.28900,-77.51500,-1073.62100,-159.69700,-159.69700,-1420.38200,-2731.21500,682.74990,682.74990,371.75700,371.75700,-68.78200,893.55000,1879.27500,-459.67500,55.72900,-68.78200
2011-09-30,278.35300,27.33600,75.00100,102.33700,,-98.19600,,1275.94700,1177.75100,1558.44100,-37.20000,-6.35400,-81.78300,-81.78300,-274.80600,-400.14300,-2335.50500,-2335.50500,24.27200,24.27200,-63.09000,694.93900,-1679.38400,-503.54400,40.97800,-63.09000
2010-09-30,228.28300,24.55800,117.29600,141.85400,142.02800,-42.73500,-461.60400,-1038.91800,-1401.22900,-1021.39300,-22.28700,,2086.41300,2086.41300,302.09500,2366.22100,1556.93000,1556.93000,16.38000,16.38000,-56.00900,-2229.47900,-712.17800,637.15400,41.84500,-56.00900
2009-09-30,152.75000,22.70000,157.86800,180.56800,335.69300,-192.11600,-2091.53700,1963.78300,15.82290,374.15900,-35.53900,,-1387.85600,-1387.85600,397.31100,-1026.08400,-894.31700,-894.31700,20.68300,20.68300,-54.14000,685.95800,-241.81600,-901.40800,31.74600,-54.14000
