,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,9527.00000,1189.00000,-327.00000,862.00000,-871.00000,-1287.00000,719.00000,1862.00000,162.00000,10803.00000,-1077.00000,-13976.00000,-20.00000,-20.00000,-606.00000,-15679.00000,3241.00000,10935.00000,14176.00000,-209.00000,-209.00000,-7812.00000,-2349.00000,3806.00000,-1283.00000,-7812.00000
2021-12-31,9710.00000,998.00000,-39.00000,959.00000,-198.00000,549.00000,653.00000,623.00000,1367.00000,11967.00000,-748.00000,-2111.00000,-34.00000,-34.00000,535.00000,-2358.00000,-3042.00000,,-3042.00000,-775.00000,-775.00000,-7580.00000,-580.00000,-11977.00000,-2785.00000,-7580.00000
2020-12-31,8592.00000,981.00000,-157.00000,824.00000,26.00000,-165.00000,406.00000,121.00000,128.00000,9812.00000,-602.00000,,-47.00000,-47.00000,-505.00000,-1154.00000,-286.00000,-70.00000,-356.00000,,,-7364.00000,-776.00000,-8496.00000,420.00000,-7364.00000
2019-12-31,7728.00000,964.00000,230.00000,1194.00000,-331.00000,-548.00000,451.00000,1108.00000,755.00000,10090.00000,-852.00000,-1346.00000,-31.00000,-31.00000,418.00000,-1811.00000,-179.00000,-364.00000,-543.00000,,,-7161.00000,-357.00000,-8061.00000,245.00000,-7161.00000
2018-12-31,8286.00000,989.00000,-103.00000,886.00000,53.00000,-613.00000,-51.00000,910.00000,164.00000,9478.00000,-1436.00000,,-63.00000,-63.00000,501.00000,-998.00000,-2484.00000,255.00000,-2229.00000,,,-6885.00000,-537.00000,-9651.00000,-1856.00000,-6885.00000
2017-12-31,6341.00000,875.00000,-511.00000,364.00000,-92.00000,730.00000,425.00000,-554.00000,1879.00000,8912.00000,-1548.00000,,-111.00000,-111.00000,-1424.00000,-3083.00000,4299.00000,-127.00000,4172.00000,5.00000,5.00000,-6520.00000,-426.00000,-2769.00000,4145.00000,-6520.00000
2016-12-31,7250.00000,743.00000,182.00000,925.00000,-1009.00000,-695.00000,373.00000,1477.00000,-63.00000,8077.00000,-1172.00000,,-41.00000,-41.00000,379.00000,-834.00000,1143.00000,-12.00000,1131.00000,7.00000,7.00000,-6378.00000,-173.00000,-5413.00000,865.00000,-6378.00000
2015-12-31,7032.00000,754.00000,-182.00000,572.00000,647.00000,-841.00000,310.00000,-8.00000,66.00000,7865.00000,-960.00000,,-55.00000,-55.00000,307.00000,-708.00000,310.00000,-266.00000,44.00000,1574.00000,1574.00000,-6250.00000,-104.00000,-4736.00000,1735.00000,-6250.00000
2014-12-31,7658.00000,889.00000,113.00000,1002.00000,-463.00000,105.00000,177.00000,-507.00000,-918.00000,7739.00000,-1153.00000,-110.00000,-29.00000,-29.00000,296.00000,-996.00000,4351.00000,-1080.00000,3271.00000,-3833.00000,-3833.00000,-6035.00000,-242.00000,-6839.00000,-472.00000,-6035.00000
2013-12-31,8850.00000,882.00000,260.00000,1142.00000,-449.00000,-1413.00000,103.00000,1880.00000,-210.00000,10135.00000,-1200.00000,,-1418.00000,-1418.00000,-62.00000,-2680.00000,4443.00000,52.00000,4495.00000,-6666.00000,-6666.00000,-5720.00000,-324.00000,-8215.00000,-829.00000,-5720.00000
2012-12-31,9154.00000,898.00000,-222.00000,676.00000,-398.00000,-728.00000,10.00000,-183.00000,-661.00000,9421.00000,-1056.00000,,-6.00000,-6.00000,70.00000,-992.00000,3279.00000,898.00000,4177.00000,-6527.00000,-6527.00000,-5404.00000,-346.00000,-8100.00000,433.00000,-5404.00000
2011-12-31,8879.00000,993.00000,26.00000,1019.00000,-251.00000,-36.00000,199.00000,691.00000,834.00000,10529.00000,-897.00000,-80.00000,-36.00000,-36.00000,-19.00000,-1032.00000,2284.00000,-226.00000,2058.00000,-5300.00000,-5300.00000,-4788.00000,-308.00000,-8338.00000,847.00000,-4788.00000
2010-12-31,7498.00000,932.00000,73.00000,1005.00000,123.00000,1071.00000,-72.00000,41.00000,1255.00000,9437.00000,-713.00000,-83.00000,,,86.00000,-710.00000,947.00000,-9.00000,938.00000,-4801.00000,-4801.00000,-4423.00000,-292.00000,-8578.00000,163.00000,-4423.00000
2009-12-31,6552.00000,853.00000,102.00000,955.00000,-187.00000,660.00000,-116.00000,190.00000,552.00000,7884.00000,-715.00000,-429.00000,,,46.00000,-1098.00000,2886.00000,246.00000,3132.00000,-5448.00000,-5448.00000,-4327.00000,-268.00000,-6911.00000,9.00000,-4327.00000
