,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,488.03500,304.50100,-89.98000,214.52100,-35.27400,-2.37900,-46.74100,655.81500,-365.05700,-21.11200,177.12500,177.12500,2.93600,-206.10800,-17.96400,,-17.96400,-20.51800,-20.51800,-430.14300,-7.33300,-475.95800,-26.25100,16.52100,-430.14300
2021-12-31,366.28800,286.39800,27.38500,313.78300,-24.86900,-2.49100,-20.68300,659.38800,-569.68200,-23.97100,306.50800,306.50800,0.79300,-286.35200,-53.26900,-265.00000,-318.26900,78.52300,78.52300,-404.90000,-11.81300,-656.45900,-283.42300,12.51500,-404.90000
2020-12-31,47.31700,446.51100,-0.82800,445.68300,16.94400,-11.82300,6.11800,499.11800,-197.57100,-25.15500,190.11500,190.11500,6.97000,-25.64100,220.53700,-220.00000,0.53700,120.36500,120.36500,-301.90300,-29.58800,-210.58900,262.88800,13.58100,-301.90300
2019-12-31,243.25800,341.58600,44.46000,386.04600,-4.69000,-7.51800,-8.03300,621.27100,-422.58100,-23.45800,153.88300,153.88300,9.46300,-282.69300,408.44900,-225.00000,183.44900,-38.97300,-38.97300,-391.64900,-21.03300,-268.20600,70.37200,14.33900,-391.64900
2018-12-31,252.32500,336.83400,46.28500,383.11900,-26.37400,2.01700,-25.11700,610.32700,-311.48000,-23.16400,212.44100,212.44100,16.17900,-106.02400,28.25000,85.00000,113.25000,-220.52400,-220.52400,-376.75500,-24.46500,-508.49400,-4.19100,13.63500,-376.75500
2017-12-31,178.98000,320.56600,6.07300,326.63900,-26.08100,-7.64000,-35.83500,469.78400,-476.50100,-670.32500,144.46700,144.46700,-4.87100,-1007.23000,841.18300,345.00000,1186.18300,69.90900,-255.09100,-328.31400,-33.83000,568.94800,31.50200,20.54900,-323.28500
2016-12-31,166.99200,168.21000,-24.40400,143.80600,-8.80000,-10.24000,-13.62100,297.17700,-567.42100,-55.22300,213.68200,213.68200,0.33000,-408.63200,-325.21700,115.00000,-210.21700,541.86400,541.86400,-222.39800,-20.53800,88.71100,-22.74400,10.65200,-201.33600
2015-12-31,152.54300,154.90800,0.16600,155.07400,-10.29000,-7.97400,-22.07400,285.54300,-250.33600,-31.94100,140.96900,140.96900,1.96200,-139.34600,-279.56990,90.00000,-189.56990,188.58800,188.58800,-202.75300,-19.38200,-223.11700,-76.92000,11.08100,-181.69100
2014-12-31,188.84700,155.21100,-54.05100,101.16000,-12.76900,-5.69700,-12.26500,277.74200,-350.35700,-23.76000,163.58400,163.58400,0.24300,-210.29000,65.81800,,65.81800,102.45300,102.15300,-193.96200,-8.36900,-34.36000,33.09200,9.66200,-172.90000
2013-12-31,151.28500,144.30500,-27.79200,116.51300,-10.50100,-5.89400,-17.06700,250.73100,-321.07200,-19.14400,302.85100,302.85100,27.54800,-9.81700,0.86000,-95.00000,-94.14000,99.78700,99.78700,-189.15700,0.93100,-182.57900,58.33500,12.19100,-168.09500
2012-12-31,26.20900,139.55500,96.14200,235.69700,0.09800,-15.78300,-4.69100,257.21500,-320.61400,-17.93000,342.47400,342.47400,-0.30700,3.62300,-200.96800,130.00000,-70.96800,21.87600,12.65100,-188.40500,-3.16900,-249.89100,10.94700,9.80600,-164.74700
2011-12-31,55.78800,146.08300,51.60300,197.68600,-7.75000,-10.19900,-35.84100,217.63300,-152.69800,-19.37700,94.20500,94.20500,0.14700,-77.72300,-202.36900,30.00000,-172.36900,217.48400,217.48400,-183.87900,-6.80500,-145.56900,-5.65900,9.82400,-160.47900
2010-12-31,13.00100,132.46600,20.10800,152.57400,-3.54500,-22.29000,-27.11600,138.45900,-90.45800,-10.31200,-84.86700,-84.86700,1.18000,-184.45700,138.07700,10.00000,148.07700,1.43100,1.43100,-172.51700,-9.78800,-32.79700,-78.79500,6.61500,-149.11700
2009-12-31,-29.03600,123.80100,142.13200,265.93300,12.74600,-23.48700,-41.09300,195.80400,37.31800,-12.22000,12.62800,12.62800,13.81900,51.54500,-22.33100,-297.66700,-319.99800,343.16800,343.16800,-183.07000,-4.37900,-164.27900,83.07000,4.66800,-159.67000
