,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2452.38500,1292.11300,-126.78000,1165.33300,63.35000,-104.56700,148.88600,3766.60400,-590.36600,-182.37600,-40.05400,-235.79200,-275.84600,422.02400,-626.56400,-3721.86400,3449.40300,-272.46090,-182.56700,-182.56700,-2590.55700,-6.76300,-3052.34800,87.69200,-326.55000
2021-12-31,2568.70700,1325.89500,-648.92800,676.96700,265.35200,-77.59200,391.72800,3637.40200,-524.93500,-251.48500,31.89900,-56.90100,-25.00200,248.65800,-552.76400,-10076.81000,9251.21700,-825.59180,-2.54800,-2.54800,-2688.78500,-45.39000,-3562.31500,-477.67700,-337.02100
2020-12-31,1277.32400,1354.99100,119.40500,1474.39600,-415.91100,-28.19100,-425.02200,2326.69800,-450.70100,-3606.69400,-2.95500,-191.36800,-194.32300,273.32000,-3978.39800,-12955.28000,15234.86000,2279.58500,1387.45300,1387.45300,-1662.27800,-10.82000,1993.94000,342.24000,-219.09500
2019-12-31,2423.18800,1394.17200,26.86600,1421.03800,-0.15700,-49.33800,-36.39500,3807.83100,-869.23500,-11.75500,-374.23100,-63.78900,-438.02000,242.30300,-1076.70700,-12427.70000,13312.30000,884.60160,-369.90200,-369.90200,-2947.48600,-143.30000,-2576.08600,155.03800,-388.54200
2018-12-31,2822.34300,1349.77600,-412.67400,937.10210,-17.51800,-75.43800,-8.64900,3750.79600,-598.66800,-39.78400,3.43700,-63.39700,-59.96000,461.90600,-236.50600,-9118.68500,7973.71900,-1144.96500,-438.85400,-438.85400,-2819.72700,-78.71700,-4482.26400,-967.97400,-370.65600
2017-12-31,2244.90300,1357.35100,50.71800,1408.06900,-26.17000,-132.94500,-59.18400,3593.78800,-712.15600,-256.95200,31.26800,-157.17300,-125.90500,333.54600,-761.46700,-10456.67000,11668.03000,1211.35500,-410.11900,-410.11900,-2569.86100,-141.44600,-1910.07100,922.25000,-338.60200
2016-12-31,2134.70600,1327.94600,15.35100,1343.29700,16.27700,-43.79700,-105.30900,3372.69400,-761.90700,-439.98200,3.79100,-312.16000,-308.36900,541.23200,-969.02600,-14650.17000,14866.21000,216.03710,-255.59500,-255.59500,-2353.97000,-151.21500,-2544.74300,-141.07500,-316.42800
2015-12-31,2139.37500,1239.21400,-276.68700,962.52700,9.91800,-122.67700,-77.21700,3024.68500,-987.90900,-1410.88100,444.48900,-329.92800,114.56100,821.50900,-1462.72000,-9112.02000,10468.67000,1356.64700,-505.97600,-505.97600,-2194.12600,-129.65800,-1473.11300,88.85200,-314.94400
2014-12-31,1651.52600,1285.78400,-105.01400,1180.77000,-6.73000,-65.56900,-101.87600,2730.42000,-796.73600,-80.05700,-391.18800,-239.82600,-631.01400,610.54100,-897.26600,-4320.05100,3627.15400,-692.89670,-14.15800,-14.15800,-1875.24300,-355.43700,-2937.73500,-1104.58100,-271.64000
2013-12-31,1551.59000,1332.95000,-181.98400,1150.96600,-13.93800,-30.01300,-1.56000,2700.99600,-841.20900,-866.54100,3.37800,-143.14900,-139.77100,899.43300,-948.08800,-2446.19100,2919.36400,473.17310,0.09900,0.09900,-1688.63800,-5.19700,-1220.56300,532.34500,-242.59600
2012-12-31,1719.63200,1301.30400,-534.96300,766.34090,-4.81500,-133.76500,27.09900,2513.07200,-802.42700,-3644.55500,231.04400,-37.42200,193.62200,672.68900,-3580.67100,-4560.56200,6772.44300,2211.88100,965.84000,965.84000,-1483.32500,-240.92900,1453.46700,385.86800,-238.77200
2011-12-31,1245.90000,1112.43800,-215.19800,897.24000,-19.37000,-58.92400,-137.25300,2005.88700,-445.49500,-1240.32100,-35.14900,214.31700,179.16800,512.60600,-994.04200,256.50600,,256.50600,5.31300,5.31300,-1242.24100,-29.49100,-1009.91300,1.93200,-211.49700
2010-12-31,753.51400,1016.02700,46.46300,1062.49000,2.14400,-40.38800,-60.79400,1755.21000,-256.31200,-949.26100,10.01800,-589.38400,-579.36600,538.24400,-1246.69500,-2368.99900,,-2368.99900,4.16600,-6.82800,-917.12800,-376.56000,-3669.51500,-3161.00000,-153.24700
2009-12-31,387.26200,1009.49000,310.60300,1320.09300,37.46500,-28.08900,13.16500,1720.52000,-376.27500,,-58.86800,-107.20400,-166.07200,123.35600,-418.99100,542.06710,,542.06710,1642.22800,1554.53900,-174.16500,-39.79600,1882.64500,3184.17400,-25.65800
