,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,679.08900,111.90000,25.52500,137.42500,-41.39800,-121.73100,3.46700,-113.86800,-273.53000,542.98400,-148.83800,-10.00000,-11.51200,-25.00000,,-25.00000,-195.35000,-75.00000,505.50000,430.50000,-794.57000,-794.57000,-6.86600,-370.93600,-31.90800,49.77000
2021-12-31,744.84400,104.59600,43.62900,148.22500,-33.14100,-52.91900,11.23300,-62.69600,-137.52300,755.54600,-119.54900,,-173.41800,,,,-292.96700,-50.00000,73.50000,23.50000,-715.77400,-715.77400,-5.14000,-697.41400,-239.47400,37.75500
2020-12-31,582.13100,95.99800,1.69500,97.69300,-60.72200,-18.88500,0.98100,46.86500,-31.76100,648.06300,-106.95800,-0.66800,-1.50000,-0.25000,,-0.25000,-109.37600,200.00000,-289.62500,-89.62500,-152.09000,-152.09000,-6.70100,-248.41600,293.60200,30.95100
2019-12-31,427.79200,88.01100,48.32400,136.33500,-22.47200,-37.30600,1.95700,-47.14800,-104.96900,459.15800,-154.96900,-0.25500,-50.30400,,,,-205.52800,100.00000,-110.27500,-10.27500,-273.60500,-273.60500,-2.52900,-286.40900,-33.46800,39.27800
2018-12-31,377.04700,83.17800,31.49900,114.67700,-18.40100,-25.62300,-0.16600,-47.45000,-91.64000,400.08400,-115.75100,-7.18500,-22.50000,284.03800,,284.03800,138.60200,,-256.04000,-256.04000,-340.49300,-340.49300,-1.26600,-597.79900,-63.88100,25.15700
2017-12-31,263.26900,83.14000,18.48700,101.62700,-24.91800,-19.06200,1.39100,50.96900,8.38000,373.27600,-74.38400,-2.32000,-14.57900,-47.40500,,-47.40500,-138.68800,,44.00000,44.00000,-252.01600,-252.01600,,-208.01600,32.77400,23.51700
2016-12-31,222.05400,79.06100,30.45400,109.51500,-22.55400,7.64800,2.11700,20.16300,7.37400,338.94300,-64.78700,,-1.96400,-24.03500,,-24.03500,-90.78600,,38.00000,38.00000,-270.11400,-270.11400,9.91800,-222.19600,25.90700,19.89100
2015-12-31,192.13500,70.38800,23.65200,94.04000,-50.14200,-34.96900,-2.46800,23.20600,-64.37300,221.80200,-82.92100,0.00000,-10.30200,-215.18300,,-215.18300,-308.40600,250.09700,24.00000,274.09700,-385.02200,-385.02200,9.93500,-100.99000,-193.54200,19.88400
2014-12-31,181.95100,58.88800,4.72600,63.61400,-3.62600,-38.31000,6.70300,25.51400,-9.71900,235.84600,-55.12300,-0.17500,-25.11500,,,,-80.41300,200.00000,270.60600,470.60600,-588.71600,-588.71600,14.67200,-103.43800,43.47800,18.09900
2013-12-31,187.79400,54.59600,6.66900,61.26500,-15.94600,-1.34700,-4.39900,18.62900,-3.06300,245.99600,-77.61200,-1.02400,-7.42300,,,,-86.05900,150.00000,63.89300,213.89300,-329.52600,-329.52600,13.18200,-102.45100,55.07200,16.53900
2012-12-31,178.28700,52.40800,-2.67600,49.73200,3.48700,-17.20800,-2.89800,10.82100,-5.61100,222.40800,-57.57300,-0.90000,0.34200,,,,-58.13100,,-31.91700,-31.91700,-108.10200,-108.10200,14.67600,-125.34300,40.09100,15.95200
2011-12-31,161.75400,48.20200,4.41300,52.61500,-24.80900,-7.57900,13.01500,6.00200,3.54400,217.91300,-49.45200,-1.00000,-43.75700,,,,-94.20900,,113.04000,113.04000,-226.70400,-226.70400,16.00700,-97.65700,26.98000,15.49600
2010-12-31,141.32000,45.95600,-5.30800,40.64800,-6.91400,-19.46900,3.48200,-10.83800,-3.13500,178.83300,-38.79600,-0.39400,,,-4.00000,-4.00000,-43.19000,,9.33000,9.33000,-114.22500,-114.22500,18.12600,-86.76900,50.18700,13.26200
2009-12-31,122.23500,49.77300,13.24400,63.01700,-1.15500,6.22300,-9.15600,-6.91700,-10.30000,174.95200,-48.58400,-0.50000,-4.53700,,,,-53.62100,,-33.75600,-33.75600,-66.73300,-66.73300,5.19400,-95.29500,27.86000,11.62300
