,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,737.00000,2612.00000,855.00000,3467.00000,-158.00000,796.00000,1224.00000,1862.00000,6066.00000,-4612.00000,,-11232.00000,2084.00000,-9148.00000,-69.00000,-13829.00000,-3275.00000,-3275.00000,,,-74.00000,-3349.00000,-11112.00000,
2021-12-31,-1964.00000,2656.00000,12.00000,2668.00000,-448.00000,985.00000,826.00000,1363.00000,2067.00000,-2000.00000,,-68.00000,397.00000,329.00000,-1.00000,-1672.00000,6423.00000,6423.00000,,,-27.00000,6396.00000,6791.00000,
2020-12-31,-7069.00000,2582.00000,826.00000,3408.00000,135.00000,-1079.00000,472.00000,-472.00000,-4133.00000,-1721.00000,,-552.00000,2319.00000,1767.00000,4.00000,50.00000,13330.00000,13330.00000,-353.00000,-353.00000,-20.00000,12957.00000,8874.00000,
2019-12-31,3009.00000,2288.00000,1360.00000,3648.00000,44.00000,324.00000,-116.00000,252.00000,6909.00000,-4479.00000,,63.00000,,63.00000,-144.00000,-4560.00000,395.00000,395.00000,-1645.00000,-1645.00000,-30.00000,-1280.00000,1069.00000,
2018-12-31,2122.00000,2165.00000,1316.00000,3481.00000,17.00000,130.00000,414.00000,561.00000,6164.00000,-4070.00000,,64.00000,-139.00000,-75.00000,-310.00000,-4455.00000,-212.00000,-212.00000,-1235.00000,-1235.00000,-54.00000,-1501.00000,208.00000,
2017-12-31,2143.00000,2096.00000,85.00000,2181.00000,-73.00000,66.00000,-843.00000,-850.00000,3474.00000,-3870.00000,,-3241.00000,3175.00000,-66.00000,133.00000,-3803.00000,1552.00000,1552.00000,-1844.00000,-1844.00000,-91.00000,-383.00000,-712.00000,
2016-12-31,2234.00000,1977.00000,1870.00000,3847.00000,-16.00000,239.00000,-762.00000,-539.00000,5542.00000,-3223.00000,,-2768.00000,2698.00000,-70.00000,55.00000,-3238.00000,-543.00000,-543.00000,-2614.00000,-2614.00000,-56.00000,-3213.00000,-909.00000,
2015-12-31,7340.00000,1819.00000,-3033.00000,-1214.00000,-15.00000,-77.00000,-42.00000,-134.00000,5992.00000,-2661.00000,,-2517.00000,2707.00000,190.00000,-136.00000,-2607.00000,-1228.00000,-1228.00000,-1217.00000,-1217.00000,-50.00000,-2495.00000,890.00000,
2014-12-31,1132.00000,1679.00000,418.00000,2097.00000,209.00000,-251.00000,-553.00000,-595.00000,2634.00000,-1911.00000,,-3569.00000,3112.00000,-457.00000,37.00000,-2331.00000,-1198.00000,-1198.00000,-252.00000,-252.00000,-146.00000,-1596.00000,-1293.00000,
2013-12-31,571.00000,1739.00000,-411.00000,1328.00000,-142.00000,-265.00000,-48.00000,-455.00000,1444.00000,-2012.00000,,-120.00000,,-120.00000,110.00000,-2022.00000,-896.00000,-896.00000,29.00000,29.00000,-105.00000,-972.00000,-1550.00000,
2012-12-31,-723.00000,1911.00000,-814.00000,1097.00000,-21.00000,285.00000,297.00000,561.00000,935.00000,-1833.00000,,-245.00000,,-245.00000,121.00000,-1957.00000,-396.00000,-396.00000,17.00000,17.00000,-75.00000,-454.00000,-1476.00000,
2011-12-31,840.00000,1459.00000,-99.00000,1360.00000,-87.00000,177.00000,118.00000,208.00000,2408.00000,-717.00000,,-898.00000,,-898.00000,-184.00000,-1799.00000,-2465.00000,-2465.00000,26.00000,26.00000,7.00000,-2432.00000,-1823.00000,17.00000
2010-12-31,253.00000,1273.00000,30.00000,1303.00000,-33.00000,255.00000,129.00000,351.00000,1907.00000,-368.00000,3698.00000,-84.00000,,-84.00000,74.00000,3320.00000,-421.00000,-421.00000,18.00000,18.00000,203.00000,-200.00000,5027.00000,14.00000
2009-12-31,-651.00000,1388.00000,362.00000,1750.00000,105.00000,94.00000,-332.00000,-133.00000,966.00000,-240.00000,,,,,160.00000,-80.00000,-77.00000,-77.00000,220.00000,220.00000,-26.00000,117.00000,1003.00000,21.00000
