,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1722.22100,626.13200,554.20700,1180.33900,-87.27400,-62.14900,-26.10600,178.92400,3.39500,2905.95500,-1202.05700,,62.82100,-1139.23600,-26.42100,,-26.42100,32.44200,32.44200,-1671.58200,-27.32200,-1692.88300,73.83600,,-1671.58200
2021-12-31,1499.70600,621.70100,566.63810,1188.33900,-610.53100,-105.03800,622.42500,-48.62900,-141.77300,2546.27200,-696.85400,,31.56200,-665.29200,-604.89400,,-604.89400,32.79100,32.79100,-1667.43100,-19.55100,-2259.08500,-378.10500,,-1667.43100
2020-12-31,612.80900,578.66200,868.09800,1446.76000,-1.29700,172.31600,-80.25700,-251.26300,-160.50100,1899.06800,-2195.38100,,-75.14800,-2270.52900,1787.55500,-220.00000,1567.55500,969.75900,969.75900,-1605.36600,-56.94900,874.99900,503.53800,,-1605.36600
2019-12-31,1278.57700,476.53500,355.56300,832.09800,-19.68800,-10.19300,-62.94600,-71.06900,-163.89600,1946.77900,-3848.34900,,79.59100,-3768.75800,3128.08700,220.00000,3348.08700,29.04000,29.04000,-1457.62800,-88.53700,1830.96200,8.98300,,-1457.62800
2018-12-31,1155.03200,428.55700,396.72500,825.28200,383.99300,38.45600,-320.13200,78.02000,206.40500,2186.71900,-2141.47500,,26.58700,-2114.88800,1795.77300,-1547.32300,248.45000,1203.98100,1203.98100,-1335.05800,-214.42200,-97.04900,-25.21800,,-1335.05800
2017-12-31,593.51900,406.33500,508.16100,914.49600,-330.52100,-202.25900,261.30500,56.07700,-192.60300,1315.41200,-512.39300,,-55.24000,-567.63300,195.72000,-495.60400,-299.88400,471.35800,471.35800,-829.41400,-301.52100,-959.46100,-211.68200,26.26200,-829.41400
2016-12-31,743.49900,391.58500,258.98300,650.56810,-285.80600,-11.95000,287.63200,-14.19400,-40.84700,1353.22000,-599.21400,,-16.23100,-615.44500,-108.04000,563.93700,455.89700,21.97100,21.97100,-517.60100,-546.78600,-586.51900,151.25600,40.56300,-517.60100
2015-12-31,379.19500,354.62000,422.13700,776.75700,157.05100,6.05000,-205.14300,-115.24800,-133.12400,1022.82800,-1184.48700,,-6.23200,-1190.71900,1283.75300,-508.95600,774.79690,20.66900,20.66900,-509.19700,-193.52800,92.74100,-75.19300,16.43500,-509.19700
2014-12-31,663.10800,306.03800,256.42000,562.45800,381.51300,160.86000,-417.99300,-59.98500,60.04400,1285.61000,-1771.33300,-814.93400,20.04400,-2566.22300,642.31500,490.83400,1133.14900,19.15000,19.15000,-443.81700,596.01700,1304.49900,27.24700,26.22600,-443.81700
2013-12-31,576.96100,384.37700,340.65600,725.03300,-189.80900,99.93700,165.07600,-98.40800,-7.22700,1294.76700,-2242.96800,-394.88900,-4.17400,-2642.03100,1239.95400,-252.70800,987.24600,20.60200,20.60200,-304.74200,209.85300,912.95900,-431.45700,46.19400,-304.74200
2012-12-31,743.53000,346.10700,257.58900,603.69600,-14.77400,33.34300,-30.98100,-350.81900,-363.23100,983.99500,-1853.91300,32.94600,6.76800,-1814.19900,1633.22900,-24.81200,1608.41700,-134.03100,-134.03100,-261.96900,126.59300,1339.01000,520.33800,36.69200,-261.96900
2011-12-31,759.74400,312.28800,325.71100,637.99900,-55.86100,65.84500,102.62100,-154.18200,-41.57700,1356.16600,-1334.77900,,-36.84700,-1371.62600,567.88790,285.12700,853.01500,-282.20200,-282.20200,-227.02000,-284.55500,59.23800,35.61200,66.37100,-227.02000
2010-12-31,541.33000,307.31700,146.26900,453.58600,92.46900,-164.72200,-43.88300,-44.73800,-160.87400,834.04200,-153.84000,,19.48400,-134.35600,-262.71500,-325.01500,-587.73000,20.90500,20.90500,-193.54200,62.31600,-698.05100,-0.57600,24.37200,-193.54200
2009-12-31,491.20400,288.99100,194.05800,483.04900,-181.42600,266.67400,154.03900,239.15400,478.44100,1452.69400,-780.26300,,-7.53100,-787.79400,383.35000,-1388.13000,-1004.78000,17.06300,17.06300,-172.77400,14.93200,-1145.55900,-465.10100,23.14800,-172.77400
