,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,848.95200,133.22200,172.17500,305.39700,-138.47100,-23.07300,135.14400,87.54500,1241.89400,-123.21500,-1.00000,-613.78500,,-0.63400,-0.63400,-738.63400,885.00000,-485.00000,400.00000,-944.75990,-944.75990,-112.28900,-657.04900,-206.61500,270.43900
2021-12-31,695.95500,143.52700,155.67800,299.20500,2.01400,-39.02700,75.45500,105.79800,1100.95800,-65.29800,-1.58300,-226.20100,,0.12800,0.12800,-292.95400,,,,-524.52500,-524.52500,-119.26700,-643.79200,160.50800,210.09000
2020-12-31,590.64400,146.70600,182.98900,329.69500,-25.93400,-25.68500,17.80800,-15.41700,904.92200,-94.81300,0.00000,-197.56200,,0.21700,0.21700,-292.15800,350.00000,-350.00000,,-305.26100,-305.26100,-110.02800,-415.28900,223.22200,197.26800
2019-12-31,988.97900,123.79000,-389.47900,-265.68900,-4.71800,-33.02400,10.13700,6.31000,729.60000,-74.60500,,-0.33800,,-30.76500,-30.76500,-105.70800,-100.00000,,-100.00000,-253.30600,-253.30600,-90.58000,-443.88600,171.91200,181.54700
2018-12-31,345.77700,119.91700,161.01600,280.93300,-87.08300,0.75200,62.81900,-21.95900,604.75100,-61.50300,,,,-112.34200,-112.34200,-173.84500,15.00000,-300.00000,-285.00000,-209.15100,-209.15100,-73.78800,-567.93900,-154.78900,167.71500
2017-12-31,204.10100,116.73500,203.77900,320.51400,-31.03200,5.03400,-1.89000,-53.87500,470.74000,-57.90100,,-143.24900,0.83300,9.10800,9.94100,-191.20900,35.00000,,35.00000,-51.06000,-51.06000,-54.08700,-70.14700,222.85500,130.02300
2016-12-31,203.08600,120.65700,103.03500,223.69200,-3.60700,4.93400,14.11900,18.10100,444.87900,-52.78900,,-41.62700,35.09400,60.67900,95.77300,1.35700,350.00000,,350.00000,-904.84900,-904.84900,-37.84800,-592.69700,-151.45400,109.21700
2015-12-31,252.41700,127.56700,77.71500,205.28200,-44.73200,-1.12000,-48.96800,-79.49900,378.20000,-44.80800,,,,0.30400,0.30400,-44.50400,-349.99900,,-349.99900,-258.25100,-258.25100,-18.06000,-626.31000,-315.47500,92.34100
2014-12-31,158.89800,136.16300,98.41700,234.58000,-17.92500,-11.70800,-50.97900,-76.75600,316.72200,-39.81000,,-167.12100,85.38400,-76.46800,8.91600,-198.01500,348.64800,,348.64800,-34.20400,-34.20400,-25.47900,288.96500,395.90100,83.79200
2013-12-31,164.24300,123.69200,62.54000,186.23200,-3.60900,-14.59400,-6.39400,17.13000,367.60500,-44.92900,,-392.82500,,10.85900,10.85900,-426.89500,-144.63900,,-144.63900,42.65700,42.65700,-14.30900,-116.29100,-190.09700,66.28500
2012-12-31,439.94800,112.73000,-195.65300,-82.92300,45.63000,5.24500,-109.42900,-41.03100,315.99400,-35.96600,,-66.43200,,-98.84200,-98.84200,-201.24000,,,,32.68700,32.68700,-16.85400,15.83300,124.75500,47.56100
2011-12-31,72.22900,120.91400,25.36600,146.28000,76.78500,-6.82000,-1.18200,21.83300,240.34200,-31.42100,,-44.05200,9.79300,9.18300,18.97600,-56.49700,-150.00000,,-150.00000,19.71400,19.71400,-14.51800,-144.80400,44.19300,43.58800
2010-12-31,126.53800,113.68700,-32.49200,81.19500,71.37500,-26.52800,-113.71800,-8.59000,199.14300,-33.88200,,-258.82300,0.31700,7.27600,7.59300,-285.11200,81.31200,,81.31200,-26.35400,-26.35400,4.98000,59.93800,-11.70600,43.46000
2009-12-31,-149.87100,114.05100,82.22400,196.27500,182.13900,3.89600,-111.95100,-20.76700,25.63700,-37.44400,,-14.90000,,1.83500,1.83500,-50.50900,,,,28.01000,28.01000,-7.04300,20.96700,0.86000,54.70600
