,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2023-01-31,-366.74900,545.92300,1429.79700,1975.72000,-318.60000,85.77300,145.08600,48.22400,1657.19500,-359.55200,-0.70000,,-2152.97700,7.30300,-2145.67400,,-2505.92600,1134.47200,1134.47200,77.30800,77.30800,-7.95900,1203.82100,354.49500,1294.62200
2022-01-31,29.37300,486.50800,1026.76100,1513.26900,-207.93300,9.41400,255.91000,108.06200,1650.70400,-264.26700,-8.00700,-1190.19900,21.37900,-166.33200,-144.95300,,-1607.42600,-37.61400,-37.61400,148.32800,148.32800,-0.46300,110.25100,152.82400,1100.58400
2021-01-31,-282.43100,459.99700,1076.91900,1536.91600,-159.24000,-3.47600,195.14400,13.95600,1268.44100,-253.38000,-2.95000,,-986.40600,1.11200,-985.29400,,-1241.62400,479.03300,479.03300,148.67300,148.67300,-2.65700,625.04900,653.20000,1004.85400
2020-01-31,-480.67400,420.95300,891.83300,1312.78600,-176.14100,20.29300,188.11400,32.48600,864.59800,-243.69400,-0.85000,-473.60300,-79.71000,-99.05600,-178.76600,-0.00900,-896.92200,-0.03000,-0.03000,125.67300,125.67300,-0.51900,125.12400,92.51800,859.57100
2019-01-31,-418.25800,329.32300,599.27000,928.59300,-160.52700,5.87700,196.07800,96.32300,606.65800,-202.50700,-10.45000,-1474.33700,1007.77900,-163.26900,844.50990,,-842.78400,-350.03000,-350.03000,93.56700,93.56700,-0.24800,-256.71100,-493.45100,652.46500
2018-01-31,-321.22200,237.20100,470.04600,707.24690,-114.61300,-7.24900,154.04900,79.70200,465.72700,-141.53600,-11.00000,-5.74400,-696.91500,-123.78500,-820.70000,,-978.98000,956.57090,956.57090,149.86100,149.86100,-0.17000,1106.26200,593.76000,478.42500
2017-01-31,-384.69900,178.11700,395.28500,573.40200,-91.75500,6.33600,223.97500,161.92300,350.62600,-120.81300,0.00000,-147.87900,201.78500,-101.68200,100.10300,-0.29600,-168.88500,,,58.07900,58.07900,1.60200,59.68100,241.80700,372.27200
2016-01-31,-275.04800,147.47300,247.79700,395.27000,-115.77600,6.82400,187.64300,138.41500,258.63700,-133.66700,,-31.43600,-137.82210,3.53800,-134.28410,-0.76000,-300.14700,,,45.65600,45.65600,-1.54700,44.10900,1.89500,249.97000
2015-01-31,-247.98200,102.66400,158.97200,261.63600,-96.87600,1.12000,180.14100,88.34900,102.00300,-103.64600,,-26.31700,-275.20390,,-275.20390,1.00000,-404.16700,-9.75900,-9.75900,27.94800,27.94800,1.26600,19.45500,-283.13400,156.04800
2014-01-31,-172.50900,61.30900,62.52900,123.83800,-25.03700,3.54700,81.35800,94.93400,46.26300,-60.72500,-15.00000,,-605.99800,,-605.99800,-0.91000,-682.63300,428.43300,428.43300,704.83500,704.83500,0.34200,1133.61000,497.16800,61.85100
2013-01-31,-119.19000,29.09000,26.63400,55.72400,-12.97000,-0.06500,70.13300,74.68000,11.21400,-15.89800,,,-654.22000,,-654.22000,,-670.11800,-9.45300,-9.45300,694.99000,694.99000,,685.53700,26.62900,26.57800
2012-01-31,-79.62900,16.41800,4.24200,20.66000,-39.02500,2.19500,72.76500,45.19500,-13.77400,-4.99900,,,-51.19600,,-51.19600,,-56.19500,-4.29600,-4.29600,6.26500,101.27400,,96.97800,27.01700,4.18200
2011-01-31,-5.45000,1.09000,,1.09000,,,,3.09000,-1.06000,-0.06000,,0.00000,,,0.75000,,0.68000,,-0.13000,,0.13000,,0.00700,-0.37000,
2010-12-31,-56.21500,10.22200,2.33800,12.56000,-14.52000,0.27400,36.72100,28.32000,-15.33500,-3.66200,,,15.82900,,15.82900,,12.16700,-0.95200,-0.95200,0.62600,0.62600,,-0.32600,-3.48500,1.70200
2010-01-31,0.00000,6.69000,,6.69000,,,,13.20000,19.81000,-4.22000,,0.00000,,,-10.29000,,-14.51000,,0.00000,,76.70000,,76.70000,82.00000,
2009-12-31,-49.94200,6.69900,-0.08500,6.61400,0.96600,-0.29500,12.48000,13.20000,-30.12800,-4.22900,,,-10.29800,,-10.29800,,-14.52700,,,1.14900,76.70400,,76.70400,32.04500,0.89600
2009-01-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,
