,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,3087.00000,719.00000,617.00000,1336.00000,-492.00000,,-466.00000,-958.00000,3465.00000,-470.00000,-453.00000,64.00000,64.00000,9.00000,-850.00000,619.00000,,619.00000,-1824.00000,-1824.00000,-1165.00000,1324.00000,-1046.00000,728.00000,367.00000,-1165.00000
2021-12-31,3174.00000,747.00000,308.00000,1055.00000,-570.00000,,-143.00000,-713.00000,3516.00000,-406.00000,-775.00000,13.00000,13.00000,4.00000,-1164.00000,-273.00000,,-273.00000,-998.00000,-998.00000,-1062.00000,1036.00000,-1297.00000,700.00000,348.00000,-1062.00000
2020-12-31,2046.00000,741.00000,732.00000,1473.00000,412.00000,,-549.00000,-137.00000,3382.00000,-348.00000,-549.00000,107.00000,107.00000,-3.00000,-793.00000,-1778.00000,1000.00000,-778.00000,132.00000,132.00000,-977.00000,698.00000,-925.00000,2175.00000,290.00000,-977.00000
2019-12-31,1773.00000,647.00000,752.00000,1399.00000,-130.00000,120.00000,-843.00000,-811.00000,2361.00000,-421.00000,-4000.00000,92.00000,92.00000,-66.00000,-4395.00000,4810.00000,300.00000,5110.00000,-327.00000,-327.00000,-906.00000,454.00000,4331.00000,2432.00000,252.00000,-906.00000
2018-12-31,1670.00000,494.00000,566.00000,1060.00000,-78.00000,23.00000,-207.00000,-302.00000,2428.00000,-311.00000,-774.00000,4.00000,4.00000,-8.00000,-1089.00000,328.00000,,328.00000,-582.00000,-582.00000,-837.00000,-219.00000,-1310.00000,-139.00000,193.00000,-837.00000
2017-12-31,1512.00000,481.00000,516.00000,997.00000,-454.00000,87.00000,-286.00000,-616.00000,1893.00000,-294.00000,-655.00000,-13.00000,-13.00000,6.00000,-956.00000,672.00000,,672.00000,-734.00000,-734.00000,-762.00000,-185.00000,-1009.00000,179.00000,149.00000,-762.00000
2016-12-31,1795.00000,438.00000,139.00000,577.00000,-154.00000,55.00000,-245.00000,-365.00000,2007.00000,-249.00000,-813.00000,2.00000,2.00000,4.00000,-1056.00000,335.00000,50.00000,385.00000,-612.00000,-612.00000,-703.00000,-137.00000,-1067.00000,-348.00000,109.00000,-703.00000
2015-12-31,1636.00000,423.00000,226.00000,649.00000,-52.00000,-125.00000,-205.00000,-397.00000,1888.00000,-323.00000,-881.00000,-65.00000,-65.00000,4.00000,-1265.00000,1030.00000,,1030.00000,-1176.00000,-1176.00000,-662.00000,-98.00000,-906.00000,-584.00000,88.00000,-662.00000
2014-12-31,1497.00000,388.00000,301.00000,689.00000,-58.00000,45.00000,-87.00000,-67.00000,2119.00000,-365.00000,-554.00000,-298.00000,-298.00000,-5.00000,-1222.00000,290.00000,,290.00000,-537.00000,-537.00000,-602.00000,-119.00000,-968.00000,-345.00000,93.00000,-602.00000
2013-12-31,1385.00000,358.00000,298.00000,656.00000,-245.00000,106.00000,-604.00000,-700.00000,1341.00000,-396.00000,-137.00000,93.00000,93.00000,-6.00000,-446.00000,13.00000,,13.00000,-198.00000,-198.00000,-561.00000,-88.00000,-834.00000,2.00000,129.00000,-561.00000
2012-12-31,1201.00000,349.00000,236.00000,585.00000,-144.00000,-210.00000,-154.00000,-464.00000,1322.00000,-314.00000,-292.00000,20.00000,20.00000,3.00000,-583.00000,-11.00000,,-11.00000,18.00000,18.00000,-513.00000,-127.00000,-633.00000,188.00000,177.00000,-513.00000
2011-12-31,1015.00000,332.00000,286.00000,618.00000,143.00000,108.00000,-180.00000,72.00000,1705.00000,-277.00000,-237.00000,62.00000,62.00000,-5.00000,-457.00000,-187.00000,,-187.00000,-199.00000,-199.00000,-491.00000,-130.00000,-1007.00000,219.00000,21.00000,-491.00000
2010-12-31,871.00000,357.00000,56.00000,413.00000,-216.00000,-55.00000,-323.00000,-562.00000,722.00000,-265.00000,710.00000,91.00000,91.00000,-1.00000,535.00000,-559.00000,,-559.00000,-45.00000,-45.00000,-452.00000,-74.00000,-1130.00000,117.00000,18.00000,-452.00000
2009-12-31,241.00000,680.00000,76.00000,756.00000,-81.00000,124.00000,-305.00000,-357.00000,640.00000,-298.00000,2.00000,53.00000,53.00000,7.00000,-236.00000,-10.00000,,-10.00000,34.00000,34.00000,-431.00000,-57.00000,-464.00000,92.00000,11.00000,-431.00000
