,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,5791.00000,1831.00000,-2215.00000,-384.00000,-105.00000,-629.00000,111.00000,854.00000,184.00000,5591.00000,-1549.00000,13.00000,11.00000,11.00000,479.00000,-1046.00000,-1178.00000,340.00000,-838.00000,-1083.00000,-1083.00000,-3369.00000,-60.00000,-5350.00000,-909.00000,263.00000,-3369.00000
2021-12-31,5929.00000,1915.00000,134.00000,2049.00000,-122.00000,-903.00000,518.00000,227.00000,-524.00000,7454.00000,-1552.00000,,204.00000,204.00000,31.00000,-1317.00000,-1143.00000,-2.00000,-1145.00000,-1560.00000,-1560.00000,-3420.00000,-20.00000,-6145.00000,-70.00000,274.00000,-3420.00000
2020-12-31,5453.00000,1911.00000,-120.00000,1791.00000,165.00000,-91.00000,252.00000,411.00000,869.00000,8113.00000,-1373.00000,551.00000,232.00000,232.00000,10.00000,-580.00000,-1732.00000,-143.00000,-1875.00000,61.00000,61.00000,-3388.00000,-98.00000,-5300.00000,2281.00000,262.00000,-3388.00000
2019-12-31,4529.00000,1593.00000,272.00000,1865.00000,345.00000,370.00000,-117.00000,-127.00000,676.00000,7070.00000,-1576.00000,-4748.00000,-192.00000,-192.00000,72.00000,-6444.00000,3565.00000,-316.00000,3249.00000,-860.00000,-860.00000,-3316.00000,-197.00000,-1124.00000,-500.00000,278.00000,-3316.00000
2018-12-31,5363.00000,1488.00000,-260.00000,1228.00000,-305.00000,-509.00000,408.00000,120.00000,-152.00000,6439.00000,-1315.00000,859.00000,669.00000,669.00000,9.00000,222.00000,1217.00000,-284.00000,933.00000,-4385.00000,-4385.00000,-3193.00000,-56.00000,-6701.00000,-200.00000,302.00000,-3193.00000
2017-12-31,4869.00000,1544.00000,-788.00000,756.00000,-245.00000,-387.00000,24.00000,256.00000,615.00000,6240.00000,-1324.00000,-958.00000,-798.00000,-798.00000,-6.00000,-3086.00000,1025.00000,578.00000,1603.00000,-1334.00000,-1334.00000,-2803.00000,-121.00000,-2655.00000,655.00000,324.00000,-2803.00000
2016-12-31,5058.00000,1474.00000,61.00000,1535.00000,-313.00000,57.00000,148.00000,76.00000,69.00000,6662.00000,-1362.00000,126.00000,-163.00000,-163.00000,-4.00000,-1403.00000,1840.00000,-797.00000,1043.00000,-2949.00000,-2949.00000,-2678.00000,-42.00000,-4626.00000,600.00000,298.00000,-2678.00000
2015-12-31,4841.00000,1435.00000,759.00000,2194.00000,-58.00000,3.00000,9.00000,175.00000,-615.00000,6420.00000,-1428.00000,-2791.00000,1300.00000,1300.00000,102.00000,-2817.00000,2622.00000,860.00000,3482.00000,-4603.00000,-4603.00000,-2561.00000,34.00000,-3648.00000,-99.00000,276.00000,-2561.00000
2014-12-31,4998.00000,1408.00000,143.00000,1551.00000,-268.00000,-113.00000,75.00000,177.00000,77.00000,6626.00000,-1358.00000,-94.00000,754.00000,754.00000,102.00000,-596.00000,983.00000,27.00000,1010.00000,-4684.00000,-4684.00000,-2216.00000,-713.00000,-6603.00000,-684.00000,280.00000,-2216.00000
2013-12-31,4721.00000,1371.00000,52.00000,1423.00000,-337.00000,-86.00000,16.00000,-126.00000,-327.00000,5817.00000,-1537.00000,8.00000,627.00000,627.00000,46.00000,-856.00000,-35.00000,-2.00000,-37.00000,-3603.00000,-3603.00000,-1730.00000,124.00000,-5246.00000,-302.00000,240.00000,-1730.00000
2012-12-31,4511.00000,1288.00000,-302.00000,986.00000,-133.00000,-251.00000,72.00000,25.00000,-197.00000,5300.00000,-1443.00000,-1046.00000,-211.00000,-211.00000,14.00000,-2686.00000,758.00000,-36.00000,722.00000,-1192.00000,-1192.00000,-1635.00000,47.00000,-2058.00000,664.00000,223.00000,-1635.00000
2011-12-31,4357.00000,1236.00000,350.00000,1586.00000,-205.00000,-196.00000,-83.00000,-130.00000,-659.00000,5284.00000,-1324.00000,-649.00000,-745.00000,-745.00000,,-2718.00000,-318.00000,11.00000,-307.00000,-1799.00000,-1799.00000,-1555.00000,-14.00000,-3675.00000,-1158.00000,253.00000,-1555.00000
2010-12-31,4163.00000,1120.00000,-245.00000,875.00000,-189.00000,-404.00000,146.00000,328.00000,136.00000,5174.00000,-1066.00000,-1830.00000,273.00000,273.00000,-3.00000,-2626.00000,-448.00000,-24.00000,-472.00000,-188.00000,-188.00000,-1500.00000,-24.00000,-2184.00000,337.00000,274.00000,-1500.00000
2009-12-31,3244.00000,1157.00000,335.00000,1492.00000,55.00000,453.00000,109.00000,-265.00000,205.00000,4941.00000,-829.00000,-69.00000,-839.00000,-839.00000,5.00000,-1732.00000,-478.00000,-536.00000,-1014.00000,414.00000,414.00000,-1431.00000,17.00000,-2014.00000,1191.00000,217.00000,-1431.00000
