,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,7759.00000,3542.00000,906.00000,4448.00000,-347.00000,-534.00000,90.00000,-255.00000,-1159.00000,11093.00000,-4651.00000,,-375.00000,-375.00000,-30.00000,-5056.00000,-35.00000,-35.00000,-90.00000,-90.00000,-5148.00000,,-5273.00000,763.00000,133.00000,-5148.00000
2021-12-31,4664.00000,3651.00000,987.00000,4638.00000,-821.00000,-13.00000,456.00000,-452.00000,-518.00000,8791.00000,-3619.00000,,200.00000,200.00000,,-3419.00000,-787.00000,-787.00000,-22.00000,-22.00000,-2684.00000,,-3493.00000,1880.00000,152.00000,-2684.00000
2020-12-31,-605.00000,3400.00000,2058.00000,5458.00000,467.00000,123.00000,-795.00000,408.00000,154.00000,5008.00000,-3273.00000,,-75.00000,-75.00000,,-3348.00000,465.00000,465.00000,,,-821.00000,-3.00000,-359.00000,1301.00000,146.00000,-821.00000
2019-12-31,2735.00000,3750.00000,1280.00000,5030.00000,-92.00000,90.00000,169.00000,190.00000,397.00000,8163.00000,-6282.00000,,115.00000,115.00000,-10.00000,-6177.00000,-913.00000,-913.00000,-7.00000,-7.00000,-588.00000,-5.00000,-1513.00000,472.00000,175.00000,-588.00000
2018-12-31,3419.04000,3435.40800,1141.15700,4576.56500,-368.18000,-395.40800,439.34700,186.59700,-230.10500,7768.60800,-5849.02900,,-301.14000,-301.14000,-19.99300,-6170.16200,-358.21900,-358.21900,-42.89600,-42.89600,-438.04500,0.05700,-839.10300,721.40600,155.33700,-438.04500
2017-12-31,2582.57900,3409.38700,-762.92200,2646.46500,-392.13100,-174.54800,324.19200,-658.48800,-964.91200,4265.33600,-3897.47400,,-89.93500,-89.93500,,-3987.40900,-606.55500,-606.55500,-42.56800,-42.56800,-386.53100,-0.05700,-1035.71100,-765.66700,133.84900,-386.53100
2016-12-31,-1096.68600,3553.41700,96.97600,3650.39300,-232.79900,170.69400,-74.04800,-151.27300,-194.64400,2359.06300,-1463.58000,54.53400,156.10200,156.10200,,-1252.94400,420.91500,161.19700,-58.82900,-58.82900,-372.84500,27.75500,-242.72200,881.38900,128.09000,-372.84500
2015-12-31,-4524.51500,3313.64400,4939.38800,8253.03200,641.41200,58.45000,-1409.19700,551.65300,-145.88400,3595.16500,-4820.35600,,-499.90000,-499.90000,,-5320.25600,484.06900,743.78700,-26.10100,-26.10100,-367.00500,20.24000,370.92100,-1368.70700,130.57700,-367.00500
2014-12-31,2915.48700,3997.04100,1282.92000,5279.96100,84.98200,-161.95800,543.63000,-42.44200,440.69800,8649.15500,-7677.47300,,103.52300,103.52300,60.38500,-7513.56500,-9.74600,-9.74600,-105.17500,-105.17500,-279.69500,66.88200,-327.73400,769.00400,145.08600,-279.69500
2013-12-31,2197.10900,3600.97600,1410.80200,5011.77800,-23.61300,53.40200,178.70100,-163.10500,120.52700,7329.41400,-6300.07000,,51.10600,51.10600,-65.81400,-6314.77800,-405.78000,-405.78000,-25.05400,-25.05400,-199.17800,56.08600,-573.92600,441.77400,134.05500,-199.17800
2012-12-31,570.27900,3169.70300,1765.13300,4934.83600,-178.68300,-156.76200,-17.15000,-8.24800,-282.74900,5236.77700,-6045.34000,,-73.92300,-73.92300,,-6119.26300,1231.31400,1231.31400,24.29500,24.29500,-181.08000,65.22200,1139.75100,260.70900,127.77800,-181.08000
2011-12-31,1091.12300,2516.38100,773.65100,3290.03200,-339.78000,-176.62300,351.08700,243.52800,170.80100,4578.41000,-5517.67500,,-237.26700,-237.26700,,-5754.94200,-220.00000,-220.00000,1400.25600,1400.25600,-167.16900,-4.54800,1008.53900,-173.12700,128.34500,-167.16900
2010-12-31,160.65400,1941.92600,737.61190,2679.53800,-339.12600,-171.79100,654.68800,-221.79500,-131.12200,2708.60200,-4908.78900,-210.00000,208.93300,208.93300,7.08200,-4902.77400,2441.65900,2441.65900,23.26500,23.26500,-153.24000,-8.26500,2303.41900,103.10200,107.37800,-153.24000
2009-12-31,546.62700,1549.18800,867.66500,2416.85300,-47.81800,-50.14600,-153.56500,100.69700,-59.90300,2922.43900,-3291.00900,,-118.22100,-118.22100,-5.32100,-3414.55100,900.00000,900.00000,9.47900,9.47900,-142.26000,66.94300,834.16200,354.44000,95.18000,-142.26000
