,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,2365.00000,609.00000,-642.00000,-33.00000,-582.00000,,2258.00000,1761.00000,4093.00000,-133.00000,11.00000,-424.00000,-1751.00000,-2175.00000,-169.00000,-2466.00000,588.00000,,588.00000,-1702.00000,-1702.00000,-506.00000,39.00000,-1581.00000,98.00000,-485.00000
2020-12-31,1737.00000,602.00000,99.00000,701.00000,-540.00000,,1514.00000,1433.00000,3871.00000,-114.00000,,-256.00000,-1695.00000,-1951.00000,-1.00000,-2066.00000,-1087.00000,,-1087.00000,-150.00000,-150.00000,-478.00000,-63.00000,-1778.00000,-23.00000,-457.00000
2019-12-31,2085.00000,438.00000,-319.00000,119.00000,-81.00000,,480.00000,1285.00000,3489.00000,-105.00000,-1901.00000,1523.00000,-1714.00000,-191.00000,49.00000,-2148.00000,-530.00000,,-530.00000,-200.00000,-200.00000,-454.00000,-7.00000,-1191.00000,141.00000,-433.00000
2018-12-31,1807.00000,505.00000,371.00000,876.00000,-323.00000,,586.00000,160.00000,2843.00000,-122.00000,1115.00000,-3684.00000,709.00000,-2975.00000,20.00000,-1962.00000,-957.00000,-2.00000,-959.00000,-16.00000,318.00000,-379.00000,-447.00000,-1467.00000,-59.00000,-379.00000
2017-12-31,-3131.00000,433.00000,4301.00000,4734.00000,-935.00000,,471.00000,583.00000,2186.00000,-250.00000,-1423.00000,-458.00000,668.00000,210.00000,21.00000,-1442.00000,1404.00000,-13.00000,1391.00000,-1038.00000,-1038.00000,-341.00000,-991.00000,-979.00000,-148.00000,-341.00000
2016-12-31,896.00000,531.00000,446.00000,977.00000,272.00000,,171.00000,193.00000,2066.00000,-224.00000,-175.00000,-1624.00000,3101.00000,1477.00000,-129.00000,949.00000,-87.00000,-17.00000,-104.00000,-1321.00000,-1321.00000,-334.00000,-782.00000,-2541.00000,185.00000,-334.00000
2015-12-31,1682.00000,485.00000,303.00000,788.00000,176.00000,,-253.00000,286.00000,2756.00000,-307.00000,,2898.00000,-2077.00000,821.00000,-29.00000,485.00000,-266.00000,-33.00000,-299.00000,-1208.00000,-1208.00000,-316.00000,-1321.00000,-3144.00000,2.00000,-316.00000
2014-12-31,798.00000,641.00000,1325.00000,1966.00000,-22.00000,,-856.00000,-878.00000,1886.00000,-121.00000,963.00000,-1804.00000,2687.00000,883.00000,-29.00000,1696.00000,-200.00000,-13.00000,-213.00000,-1766.00000,-1766.00000,-282.00000,-2215.00000,-4476.00000,-1029.00000,-282.00000
2013-12-31,176.00000,1560.00000,69.00000,1629.00000,-970.00000,497.00000,-95.00000,-568.00000,1237.00000,-64.00000,815.00000,-1890.00000,4819.00000,2929.00000,65.00000,3745.00000,-2793.00000,-77.00000,-2870.00000,-613.00000,-613.00000,-223.00000,-2114.00000,-5820.00000,-993.00000,-202.00000
2012-12-31,-38.00000,2455.00000,-686.00000,1769.00000,-608.00000,874.00000,684.00000,950.00000,2681.00000,-66.00000,58.00000,-1265.00000,-1273.00000,-2538.00000,-11.00000,-2557.00000,1978.00000,-153.00000,1825.00000,-440.00000,-440.00000,-217.00000,-1396.00000,-228.00000,-160.00000,-175.00000
2011-12-31,712.00000,1446.00000,-602.00000,844.00000,-242.00000,-491.00000,1451.00000,718.00000,2274.00000,,278.00000,374.00000,-1857.00000,-1483.00000,23.00000,-1182.00000,-405.00000,-68.00000,-473.00000,-36.00000,-36.00000,-195.00000,95.00000,-609.00000,519.00000,-153.00000
2010-12-31,1636.00000,729.00000,859.00000,1588.00000,790.00000,-612.00000,-93.00000,85.00000,3309.00000,,241.00000,-338.00000,-94.00000,-432.00000,-243.00000,-434.00000,747.00000,-754.00000,-7.00000,1625.00000,-1219.00000,-170.00000,-1559.00000,-2955.00000,-80.00000,-85.00000
2009-12-31,-887.00000,1916.00000,2042.00000,3958.00000,616.00000,-1271.00000,558.00000,-97.00000,2974.00000,,-7.00000,-561.00000,347.00000,-214.00000,-2902.00000,-3123.00000,-24.00000,-449.00000,-473.00000,904.00000,4304.00000,-222.00000,-3086.00000,523.00000,331.00000,-149.00000
