,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2358.00000,998.00000,493.00000,1491.00000,-579.00000,-762.00000,290.00000,-264.00000,-1225.00000,2624.00000,-588.00000,-2563.00000,-9.00000,197.00000,188.00000,39.00000,-2924.00000,847.00000,-375.00000,472.00000,,,-1051.00000,-170.00000,-749.00000,-1100.00000,168.00000,-1051.00000
2021-12-31,1994.00000,990.00000,567.00000,1557.00000,-377.00000,-189.00000,329.00000,-268.00000,-288.00000,3263.00000,-525.00000,-339.00000,6.00000,,6.00000,-1.00000,-859.00000,-1146.00000,-7.00000,-1153.00000,,,-950.00000,-262.00000,-2365.00000,1.00000,171.00000,-950.00000
2020-12-31,1599.00000,812.00000,470.00000,1282.00000,354.00000,27.00000,100.00000,-15.00000,396.00000,3277.00000,-487.00000,-4222.00000,7.00000,,7.00000,1.00000,-4701.00000,995.00000,-6.00000,989.00000,,,-863.00000,-137.00000,-11.00000,-1394.00000,142.00000,-863.00000
2019-12-31,2083.00000,778.00000,528.00000,1306.00000,-563.00000,-400.00000,63.00000,-306.00000,-1198.00000,2191.00000,-649.00000,-802.00000,-5.00000,,-5.00000,1.00000,-1455.00000,1300.00000,-7.00000,1293.00000,-307.00000,-307.00000,-778.00000,-205.00000,3.00000,721.00000,127.00000,-778.00000
2018-12-31,3553.00000,723.00000,-1410.00000,-687.00000,-60.00000,-385.00000,116.00000,-60.00000,-256.00000,2610.00000,-572.00000,-2451.00000,168.00000,,168.00000,-2.00000,-2857.00000,2457.00000,-1.00000,2456.00000,-300.00000,-300.00000,-703.00000,-124.00000,1329.00000,1074.00000,119.00000,-703.00000
2017-12-31,1020.00000,642.00000,344.00000,986.00000,-162.00000,-320.00000,21.00000,-780.00000,-447.00000,1559.00000,-598.00000,-831.00000,-183.00000,,-183.00000,-1.00000,-1613.00000,499.00000,-200.00000,299.00000,-230.00000,-230.00000,-636.00000,-227.00000,-794.00000,-774.00000,113.00000,-636.00000
2016-12-31,1647.00000,546.00000,245.00000,791.00000,-192.00000,-299.00000,-16.00000,-129.00000,-523.00000,1915.00000,-490.00000,-4332.00000,634.00000,,634.00000,-3.00000,-4191.00000,2703.00000,209.00000,2912.00000,-13.00000,-13.00000,-568.00000,-73.00000,2258.00000,-63.00000,97.00000,-568.00000
2015-12-31,1439.00000,397.00000,529.00000,926.00000,-151.00000,-115.00000,35.00000,-1044.00000,-1384.00000,981.00000,-270.00000,-153.00000,2379.00000,,2379.00000,,1956.00000,48.00000,,48.00000,-700.00000,-700.00000,-521.00000,-50.00000,-1223.00000,1584.00000,86.00000,-521.00000
2014-12-31,515.00000,378.00000,1083.00000,1461.00000,-89.00000,-173.00000,13.00000,-170.00000,-194.00000,1782.00000,-233.00000,-916.00000,-729.00000,,-729.00000,,-1878.00000,1159.00000,,1159.00000,-100.00000,-100.00000,-462.00000,32.00000,629.00000,456.00000,77.00000,-462.00000
2013-12-31,1006.00000,307.00000,749.00000,1056.00000,-89.00000,-77.00000,1.00000,72.00000,-176.00000,1886.00000,-195.00000,-2320.00000,298.00000,,298.00000,,-2217.00000,1005.00000,,1005.00000,-317.00000,-317.00000,-401.00000,13.00000,300.00000,-56.00000,76.00000,-401.00000
2012-12-31,1298.00000,277.00000,228.00000,505.00000,-20.00000,18.00000,-48.00000,-3.00000,-203.00000,1657.00000,-210.00000,-154.00000,-372.00000,,-372.00000,,-736.00000,-4.00000,,-4.00000,-108.00000,-108.00000,-324.00000,-13.00000,-449.00000,490.00000,75.00000,-324.00000
2011-12-31,1345.00000,160.00000,252.00000,412.00000,-152.00000,-166.00000,44.00000,-112.00000,-323.00000,1434.00000,-159.00000,-2066.00000,90.00000,,90.00000,,-2135.00000,737.00000,,737.00000,-622.00000,-622.00000,-279.00000,3.00000,-161.00000,-853.00000,75.00000,-279.00000
2010-12-31,1273.00000,165.00000,154.00000,319.00000,-121.00000,-131.00000,96.00000,44.00000,-45.00000,1547.00000,-121.00000,-265.00000,-409.00000,,-409.00000,,-795.00000,1015.00000,,1015.00000,-426.00000,-426.00000,-238.00000,59.00000,410.00000,1099.00000,69.00000,-238.00000
2009-12-31,1107.00000,385.00000,9.00000,394.00000,-10.00000,34.00000,-80.00000,-242.00000,-40.00000,1461.00000,-130.00000,-570.00000,-628.00000,,-628.00000,,-1328.00000,-3.00000,,-3.00000,,,-198.00000,8.00000,-193.00000,-42.00000,62.00000,-198.00000
