,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,6177.40000,1870.60000,-16.70000,1853.90000,-264.10000,5.60000,31.30000,-644.60000,7386.70000,-1860.30000,-361.10000,,,-456.70000,-2678.10000,1172.10000,25.50000,1197.60000,-3647.80000,-3647.80000,-4168.20000,38.20000,-6580.20000,-2125.40000,166.70000,-4168.20000
2021-12-31,7545.20000,1868.10000,-726.00000,1142.10000,309.90000,-62.20000,225.00000,454.20000,9141.50000,-1933.80000,-178.00000,,,-53.90000,-2165.70000,-1085.60000,15.10000,-1070.50000,-559.80000,-559.80000,-3918.60000,-46.70000,-5595.60000,1260.10000,139.20000,-3918.60000
2020-12-31,4730.50000,1751.40000,-4.60000,1746.80000,-6.80000,-68.60000,-137.50000,-212.10000,6265.20000,-1613.40000,10.20000,,,57.40000,-1545.80000,3131.30000,-893.10000,2238.20000,-612.30000,-612.30000,-3752.90000,-122.00000,-2249.00000,2550.60000,92.40000,-3752.90000
2019-12-31,6025.40000,1617.90000,180.30000,1798.20000,27.00000,128.80000,-26.80000,298.50000,8122.10000,-2242.50000,-200.10000,,,-628.50000,-3071.10000,2437.10000,799.20000,3236.30000,-4625.70000,-4625.70000,-3581.90000,-23.50000,-4994.80000,32.50000,109.60000,-3581.90000
2018-12-31,5924.30000,1482.00000,33.10000,1515.10000,-479.40000,-1.90000,129.40000,-472.70000,6966.70000,-2581.30000,429.10000,,,-302.90000,-2455.10000,2034.90000,95.90000,2130.80000,-4804.50000,-4804.50000,-3255.90000,-20.00000,-5949.60000,-1597.80000,125.10000,-3255.90000
2017-12-31,5192.30000,1363.40000,-24.00010,1339.40000,-340.70000,-37.30000,-59.70000,-980.50000,5551.20000,-1686.90000,2494.80000,,,-245.90000,562.00000,3078.10000,-1050.30000,2027.80000,-4228.90000,-4228.90000,-3089.20000,-20.50000,-5310.80000,1240.40000,117.50000,-3089.20000
2016-12-31,4686.50000,1516.50000,-310.40000,1206.10000,-159.00000,28.10000,89.80000,167.00000,6059.60000,-1738.20000,866.10000,,,-109.50000,-981.60000,2956.60000,-286.20000,2670.40000,-10871.60000,-10871.60000,-3058.20000,-3.00000,-11262.40000,-6462.10000,131.30000,-3058.20000
2015-12-31,4529.30000,1555.70000,286.20000,1841.90000,-180.60000,44.90000,-15.00000,167.90000,6539.10000,-1600.80000,200.50000,,,-19.70000,-1420.00000,9165.50000,589.70000,9755.20000,-5782.00000,-5782.00000,-3230.30000,-7.60000,735.30000,5607.60000,110.00000,-3230.30000
2014-12-31,4757.80000,1644.50000,391.60000,2036.10000,27.00000,-4.90000,-74.70000,-63.60000,6730.30000,-2496.60000,232.60000,,,-40.90000,-2304.90000,992.50000,510.40000,1502.90000,-2963.20000,-2963.20000,-3216.10000,58.10000,-4618.30000,-720.80000,112.80000,-3216.10000
2013-12-31,5585.90000,1585.10000,141.10000,1726.20000,56.20000,-44.40000,-60.70000,-191.40000,7120.70000,-2824.70000,259.10000,,,-108.20000,-2673.80000,721.79990,-186.50000,535.29990,-1544.50000,-1544.50000,-3114.60000,80.80000,-4043.00000,462.60000,89.10000,-3114.60000
2012-12-31,5464.80000,1488.50000,135.90000,1624.40000,-29.40000,-27.20000,124.10000,-123.10000,6966.10000,-3049.20000,236.20000,,,-354.30000,-3167.30000,1322.10000,-117.50000,1204.60000,-2286.50000,-2286.50000,-2896.60000,128.70000,-3849.80000,0.40000,93.40000,-2896.60000
2011-12-31,5503.10000,1415.00000,192.00000,1607.00000,-160.80000,-52.20000,35.80000,40.00000,7150.10000,-2729.80000,325.00000,,,-166.10000,-2570.90000,743.30000,260.60000,1003.90000,-3029.10000,-3029.10000,-2609.70000,101.90000,-4533.00000,-51.30000,86.20000,-2609.70000
2010-12-31,4946.30000,1276.20000,248.10000,1524.30000,-50.10000,-50.80000,-39.80000,-129.00000,6341.60000,-2135.50000,194.50000,,,-115.00000,-2056.00000,784.30000,3.10000,787.40000,-2235.40000,-2235.40000,-2408.10000,127.40000,-3728.70000,591.00000,83.10000,-2408.10000
2009-12-31,4551.00000,1216.20000,-187.20000,1029.00000,-42.00000,1.00000,-2.20000,171.00000,5751.00000,-1952.10000,260.30000,144.90000,144.90000,-108.40000,-1655.30000,504.70010,-285.40000,219.30010,-2465.30000,-2465.30000,-2235.50000,60.50000,-4421.00000,-267.40000,112.90000,-2235.50000
