,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,2961.60000,518.40000,-1205.40000,-687.00010,-203.40000,-320.20000,-366.70000,-890.29990,1384.30000,342.30000,-2.90000,990.30000,,222.50000,222.50000,24.40000,1576.60000,-1002.20000,,-1002.20000,-751.90000,-751.90000,6.80000,-1747.30000,1157.90000,254.10000
2021-12-31,1727.60000,487.70000,1570.10000,2057.80000,324.80000,-462.40000,-7.90000,-145.50000,3639.90000,-258.10000,-18.80000,28.10000,,-309.80000,-309.80000,-5.10000,-563.70000,-170.00000,,-170.00000,-1800.70000,-1800.70000,-115.50000,-2086.20000,930.20000,238.60000
2020-12-31,4060.50000,457.20000,-100.70000,356.50000,2.80000,-316.30000,126.30000,-187.20000,4229.80000,-424.80000,-52.00000,-1006.50000,,976.59960,976.59960,-101.90000,-608.60000,1467.40000,,1467.40000,-6683.70000,-6683.70000,-56.40000,-5272.70000,-1582.50000,198.30000
2019-12-31,5888.50000,680.60000,310.20000,990.80000,68.80000,-19.20000,-90.50000,199.30000,7078.60000,-514.50000,-155.00000,-120.70000,,1233.70000,1233.70000,27.00000,470.50000,,,,-5868.30000,-5868.30000,7.90000,-5860.40000,1689.10000,182.30000
2018-12-31,4474.00000,650.50000,663.00000,1313.50000,-205.20000,-52.10000,192.00000,400.20000,6187.70000,-770.60000,-3.00000,-1962.90000,,802.30080,802.30080,-112.10000,-2046.30000,-3.20000,,-3.20000,-4352.60000,-4352.60000,-116.20000,-4472.00000,-349.20000,157.50000
2017-12-31,2670.10000,1081.00000,564.50000,1645.50000,-435.60000,-94.50000,992.90000,235.40000,4551.00000,-867.40000,-975.40000,-1200.00000,,210.69970,210.69970,-131.00000,-2963.10000,-560.90000,,-560.90000,-1365.40000,-1365.40000,-453.70000,-2380.00000,-752.70000,128.00000
2016-12-31,3695.70000,682.70000,83.60000,766.30000,-241.40000,-165.60000,-90.10000,125.20000,4587.20000,-616.10000,-111.60000,-1200.00000,,-534.30030,-534.30030,-22.80000,-2484.80000,-2.70000,,-2.70000,-1008.50000,-1008.50000,-41.40000,-1052.60000,1018.50000,154.80000
2015-12-31,3593.20000,600.40000,176.20000,776.60010,29.00000,-174.40000,-504.30000,-450.40000,3919.40000,-643.00000,-15.40000,-1048.80000,,-2801.90000,-2801.90000,-44.50000,-4553.60000,5928.40000,,5928.40000,-5070.90000,-5070.90000,-74.40000,783.10000,103.10000,161.40000
2014-12-31,2941.60000,688.10000,-203.20000,484.90000,-512.40000,-185.90000,-30.40000,-484.40010,2942.10000,-287.80000,-28.20000,-375.00000,,-864.20020,-864.20020,12.20000,-1543.00000,-2.70000,,-2.70000,-831.90000,-831.90000,78.70000,-755.90000,602.30000,155.30000
2013-12-31,1862.30000,531.70000,-136.40000,395.30000,-126.70000,-243.90000,174.00000,87.50000,2345.10000,-246.30000,-3262.70000,-15.00000,,1912.00000,1912.00000,7.30000,-1604.70000,-452.40000,,-452.40000,-333.50000,-333.50000,69.40000,-716.50000,31.90000,136.30000
2012-12-31,1380.03300,365.64800,30.48800,396.13600,3.57100,-140.30900,-32.90600,103.72800,1879.89700,-254.54800,0.00000,-72.40100,,-584.87600,-584.87600,-38.51700,-950.34200,-2.42800,,-2.42800,-917.22200,-917.22200,42.17200,-877.47800,56.17900,118.56600
2011-12-31,1266.68600,358.93300,286.73400,645.66710,-73.37400,-59.21900,-85.74100,-184.61200,1727.74100,-208.02000,,-5.00000,,-1420.27500,-1420.27500,-16.99900,-1650.29400,-11.45900,,-11.45900,-183.32500,-183.32500,-125.07800,-319.86200,-245.05600,113.00500
2010-12-31,898.57300,355.74400,366.79700,722.54100,-99.22700,-4.52700,-23.56200,3.55900,1624.67300,-173.05500,0.00000,-157.42800,,675.80810,675.80810,,345.32500,-18.07300,,-18.07300,-1894.09300,-1894.09300,127.24700,-1784.91900,177.70900,167.82600
2009-12-31,977.06200,427.96100,21.35700,449.31800,-100.44200,-42.77200,-159.32600,-351.48200,1074.89800,-165.64600,,,29.99100,-259.37570,-229.38470,,-395.03100,-10.86700,12.27500,1.40800,-703.36000,-703.36000,-22.19900,-724.15100,-40.49600,160.90200
