,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-05-31,888.20000,375.40000,106.60000,482.00000,-69.50000,-232.80000,223.60000,-10.10000,-192.90000,1177.30000,-444.20000,,0.10000,5.90000,,5.90000,3.30000,-434.90000,450.60000,-523.10000,-72.50000,-61.30000,-61.30000,-581.80000,-22.40000,-738.00000,3.10000,26.10000,-581.80000
2021-05-31,1300.90000,387.70000,111.80000,499.50000,66.10000,-364.30000,141.40000,-8.50000,-332.30000,1468.10000,-503.90000,,160.90000,2.70000,,2.70000,,-340.30000,-1526.30000,706.29990,-820.00010,-298.20000,-298.20000,-474.60000,-16.80000,-1609.60000,-474.10000,63.90000,-474.60000
2020-05-31,841.80000,388.90000,299.20000,688.10000,-43.80000,163.50000,234.40000,-13.60000,312.70000,1842.60000,-355.50000,,194.60000,7.00000,,7.00000,0.10000,-153.80000,-947.50000,0.10000,-947.40000,4.80000,4.80000,-413.60000,-14.20000,-1370.40000,316.70000,59.20000,-413.60000
2019-05-31,678.40000,333.00000,11.70000,344.70000,-69.10000,78.00000,38.20000,-19.10000,102.40000,1125.50000,-330.60000,,-4837.70000,-8.80000,,-8.80000,11.10000,-5166.00000,4337.80000,-277.30000,4060.50000,554.10000,554.10000,-356.20000,-108.60000,4149.80000,108.60000,33.70000,-356.20000
2018-05-31,811.80000,257.00000,-165.50000,91.50000,-4.70000,-62.80000,144.90000,3.20000,50.90000,954.20000,-243.60000,,-337.10000,,,,4.50000,-576.20000,557.70000,249.10000,806.80000,-952.40000,-952.40000,-342.30000,-19.00000,-506.90000,-123.40000,37.90000,-342.30000
2017-05-31,648.00000,268.00000,55.20000,323.20000,104.70000,123.30000,71.00000,15.00000,199.00000,1170.20000,-228.90000,,163.30000,,,,-118.40000,-184.00000,-1064.50000,14.30000,-1050.20000,-926.20000,-926.20000,-415.00000,822.30000,-1569.10000,-546.70000,,-415.00000
2016-05-31,-665.90000,278.50000,1986.50000,2265.00000,-156.80000,66.10000,-118.30000,10.80000,-339.90000,1259.20000,-241.80000,,-10.40000,,,,2379.60000,2127.40000,-2523.20000,9.50000,-2513.70000,217.00000,217.00000,-432.50000,-4.00000,-2733.20000,664.00000,41.80000,-432.50000
2015-05-31,-240.80000,284.60000,1447.10000,1731.70000,68.30000,-63.30000,-15.50000,-19.00000,13.70000,1504.60000,-236.50000,,-20.70000,,391.40000,391.40000,-175.80000,-41.60000,-941.40000,-137.40000,-1078.80000,79.80000,79.80000,-425.20000,-30.00000,-1454.20000,41.60000,33.30000,-425.20000
2014-05-31,315.10000,354.60000,894.30000,1248.90000,50.40000,7.30000,-3.20000,0.50000,4.60000,1568.60000,-421.10000,,-39.90000,,,,-70.50000,-531.50000,-569.10000,-43.20000,-612.30000,3.70000,3.70000,-420.90000,-4.60000,-1034.10000,-7.30000,,-420.90000
2013-05-31,786.10000,418.60000,34.70000,453.30000,-52.20000,56.10000,18.30000,-13.30000,172.80000,1412.20000,-404.60000,-4.80000,-5018.80000,,-1.50000,-1.50000,-36.10000,-5465.80000,4143.70000,145.00000,4288.70000,298.60000,298.60000,-400.70000,-53.60000,4133.00000,65.00000,67.00000,-400.70000
2012-05-31,474.40000,370.90000,75.50000,446.40000,-4.20000,16.90000,82.30000,5.50000,131.20000,1052.00000,-326.00000,-62.50000,-635.20000,,-39.60000,-39.60000,-1.00000,-1064.30000,-363.60000,40.00000,-323.60000,-139.20000,-139.20000,-388.60000,1.80000,-849.60000,-869.40000,41.80000,-388.60000
2011-05-31,819.40000,360.90000,28.00000,388.90000,2.80000,-190.70000,185.00000,7.90000,144.00000,1352.30000,-447.30000,-18.00000,-131.10000,,,,685.30000,88.90000,-294.30000,,-294.30000,-765.30000,-765.30000,-374.50000,2.00000,-1432.10000,19.20000,44.80000,-374.50000
2010-05-31,611.00000,324.10000,217.70000,541.80000,-90.10000,199.60000,73.90000,-20.00000,319.90000,1472.70000,-393.90000,-3.00000,-81.80000,,,,123.40000,-355.30000,-15.80000,,-15.80000,-45.30000,-45.30000,-346.70000,3.30000,-404.50000,710.00000,55.80000,-346.70000
2009-05-31,979.00000,304.90000,-1265.40000,-960.50000,74.80000,-47.00000,17.50000,170.80000,105.50000,124.00000,-411.20000,,-50.60000,,,,2253.00000,1791.20000,14.40000,-578.30000,-563.90000,-893.90000,-893.90000,-348.20000,-21.00000,-1827.00000,102.30000,45.90000,-348.20000
