,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,20639.00000,3400.00000,-79.00000,3321.00000,-2523.00000,4053.00000,-1248.00000,2246.00000,26206.00000,-2802.00000,-18044.00000,-6837.00000,-6837.00000,-793.00000,-28476.00000,12536.00000,12536.00000,-5747.00000,-5747.00000,-5991.00000,3428.00000,4226.00000,1990.00000,925.00000,-5991.00000
2021-12-31,17732.00000,3103.00000,-14.00000,3089.00000,-1000.00000,2701.00000,-1341.00000,1522.00000,22343.00000,-2454.00000,-4806.00000,-1843.00000,-1843.00000,-1269.00000,-10372.00000,2481.00000,2481.00000,-3645.00000,-3645.00000,-5280.00000,-1011.00000,-7455.00000,4454.00000,800.00000,-5280.00000
2020-12-31,15769.00000,2891.00000,619.00000,3510.00000,-688.00000,152.00000,-1917.00000,2895.00000,22174.00000,-2051.00000,-6918.00000,-2836.00000,-2836.00000,-727.00000,-12532.00000,2586.00000,2586.00000,-2810.00000,-2810.00000,-4584.00000,1218.00000,-3590.00000,5936.00000,679.00000,-4584.00000
2019-12-31,14239.00000,2720.00000,821.00000,3541.00000,162.00000,1221.00000,-1433.00000,683.00000,18463.00000,-2071.00000,-8343.00000,-2504.00000,-2504.00000,219.00000,-12699.00000,3994.00000,3994.00000,-4463.00000,-4463.00000,-3932.00000,-1224.00000,-5625.00000,119.00000,697.00000,-3932.00000
2018-12-31,12382.00000,2428.00000,609.00000,3037.00000,-1351.00000,1831.00000,-712.00000,294.00000,15713.00000,-2063.00000,-5997.00000,-4099.00000,-4099.00000,-226.00000,-12385.00000,4134.00000,4134.00000,-3662.00000,-3662.00000,-3320.00000,-1517.00000,-4365.00000,-1115.00000,638.00000,-3320.00000
2017-12-31,10823.00000,2245.00000,-151.00000,2094.00000,-1062.00000,1284.00000,-473.00000,679.00000,13596.00000,-2023.00000,-2131.00000,-4319.00000,-4319.00000,-126.00000,-8599.00000,-2615.00000,-2615.00000,-812.00000,-812.00000,-2773.00000,2759.00000,-3441.00000,1551.00000,597.00000,-2773.00000
2016-12-31,7073.00000,2055.00000,484.00000,2539.00000,-1357.00000,1849.00000,-1803.00000,183.00000,9795.00000,-1705.00000,-1760.00000,-5927.00000,-5927.00000,37.00000,-9355.00000,990.00000,990.00000,-851.00000,-851.00000,-2261.00000,1111.00000,-1011.00000,-493.00000,485.00000,-2261.00000
2015-12-31,5868.00000,1693.00000,98.00000,1791.00000,-591.00000,2585.00000,-1193.00000,2081.00000,9740.00000,-1556.00000,-16164.00000,-531.00000,-531.00000,-144.00000,-18395.00000,14607.00000,14607.00000,-798.00000,-798.00000,-1786.00000,216.00000,12239.00000,3428.00000,406.00000,-1786.00000
2014-12-31,5619.00000,1478.00000,-51.00000,1427.00000,-911.00000,484.00000,-205.00000,1005.00000,8051.00000,-1525.00000,-1923.00000,799.00000,799.00000,115.00000,-2534.00000,391.00000,391.00000,-3546.00000,-3546.00000,-1362.00000,-776.00000,-5293.00000,219.00000,364.00000,-1362.00000
2013-12-31,5673.00000,1375.00000,249.00000,1624.00000,-317.00000,509.00000,-957.00000,-306.00000,6991.00000,-1307.00000,-362.00000,-1611.00000,-1611.00000,191.00000,-3089.00000,152.00000,152.00000,-2572.00000,-2572.00000,-1056.00000,-1470.00000,-4946.00000,-1130.00000,331.00000,-1056.00000
2012-12-31,5526.00000,1309.00000,498.00000,1807.00000,-130.00000,101.00000,-348.00000,-178.00000,7155.00000,-1070.00000,-6280.00000,-1299.00000,-1299.00000,,-8649.00000,4567.00000,4567.00000,-2006.00000,-2006.00000,-820.00000,-1270.00000,471.00000,-1023.00000,421.00000,-820.00000
2011-12-31,5142.00000,1124.00000,393.00000,1517.00000,-267.00000,377.00000,53.00000,309.00000,6968.00000,-1018.00000,-1459.00000,-1695.00000,-1695.00000,,-4172.00000,346.00000,346.00000,-2613.00000,-2613.00000,-651.00000,428.00000,-2490.00000,306.00000,401.00000,-651.00000
2010-12-31,4634.00000,1064.00000,574.00000,1638.00000,-16.00000,-88.00000,446.00000,1.00000,6273.00000,-878.00000,-2304.00000,-2157.00000,-2157.00000,,-5339.00000,94.00000,94.00000,-2245.00000,-2245.00000,-449.00000,989.00000,-1611.00000,-677.00000,326.00000,-449.00000
2009-12-31,3822.00000,991.00000,341.00000,1332.00000,100.00000,424.00000,-152.00000,471.00000,5625.00000,-739.00000,-486.00000,249.00000,249.00000,,-976.00000,-1449.00000,-1449.00000,-1519.00000,-1519.00000,-36.00000,729.00000,-2275.00000,2374.00000,334.00000,-36.00000
