,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,37676.00000,7051.00000,8825.00000,15876.00000,-4428.00000,-31449.00000,28491.00000,51228.00000,107119.00000,,-54278.00000,12467.00000,-41811.00000,-96008.00000,-137819.00000,32886.00000,-529.00000,32357.00000,-3162.00000,-10596.00000,-13562.00000,-134456.00000,-126257.00000,-173600.00000,,-13562.00000
2021-12-31,48334.00000,7932.00000,-2234.00000,5698.00000,-23852.00000,85710.00000,-80570.00000,24450.00000,78084.00000,,34473.00000,-96821.00000,-62348.00000,-66996.00000,-129344.00000,27477.00000,-13026.00000,14451.00000,-18408.00000,-13633.00000,-12858.00000,288033.00000,275993.00000,213225.00000,,-12858.00000
2020-12-31,29131.00000,8614.00000,15556.00000,24170.00000,-9026.00000,-148749.00000,14034.00000,-136326.00000,-79910.00000,,-47115.00000,-180752.00000,-227867.00000,-34045.00000,-261912.00000,-26369.00000,35966.00000,9597.00000,-6517.00000,-3447.00000,-12690.00000,603185.00000,596645.00000,263978.00000,,-12690.00000
2019-12-31,36431.00000,8368.00000,8851.00000,17219.00000,2048.00000,6551.00000,-59924.00000,-51791.00000,4092.00000,,72396.00000,-129772.00000,-57376.00000,5317.00000,-52059.00000,-8525.00000,-27214.00000,-35739.00000,-24001.00000,-23076.00000,-12343.00000,104145.00000,32987.00000,-15162.00000,,-12343.00000
2018-12-31,32474.00000,7791.00000,9309.00000,17100.00000,-14830.00000,-35067.00000,2650.00000,-32617.00000,15614.00000,,-123201.00000,-18046.00000,-141247.00000,-58173.00000,-199420.00000,-4651.00000,41891.00000,37240.00000,-19983.00000,-19983.00000,-10109.00000,27010.00000,34158.00000,-152511.00000,,-10109.00000
2017-12-31,24441.00000,6179.00000,9738.00000,15917.00000,-17226.00000,5673.00000,-30927.00000,-58988.00000,-10827.00000,,31448.00000,43223.00000,74671.00000,-46422.00000,28249.00000,-26808.00000,9801.00000,-17007.00000,-15410.00000,-15410.00000,-8993.00000,56052.00000,14642.00000,40150.00000,,-8993.00000
2016-12-31,24733.00000,5478.00000,11811.00000,17289.00000,-6726.00000,-20007.00000,3335.00000,-18311.00000,21884.00000,,-17468.00000,-3342.00000,-20810.00000,-68392.00000,-89202.00000,14121.00000,10546.00000,24667.00000,-9082.00000,-9082.00000,-8476.00000,91162.00000,98271.00000,29471.00000,,-8476.00000
2015-12-31,24442.00000,4940.00000,6945.00000,11885.00000,23918.00000,62212.00000,-20508.00000,42261.00000,73466.00000,,147652.00000,45983.00000,193635.00000,-86655.00000,106980.00000,12364.00000,-97243.00000,-84879.00000,-5616.00000,277.00000,-7873.00000,-95036.00000,-187511.00000,-7341.00000,,-7873.00000
2014-12-31,21745.00000,4759.00000,9614.00000,14373.00000,245.00000,-24814.00000,18672.00000,161.00000,36593.00000,,-137578.00000,1395.00000,-136183.00000,-29453.00000,-165636.00000,13240.00000,20147.00000,33387.00000,-4760.00000,4087.00000,-6990.00000,87744.00000,118228.00000,-11940.00000,,-6990.00000
2013-12-31,17886.00000,5306.00000,9916.00000,15222.00000,-4702.00000,89110.00000,-1684.00000,76974.00000,107953.00000,,-146637.00000,8652.00000,-137985.00000,-12516.00000,-150501.00000,23049.00000,-56083.00000,-33034.00000,-4789.00000,-2716.00000,-6056.00000,70130.00000,28324.00000,-13952.00000,,-6056.00000
2012-12-31,21284.00000,5147.00000,4950.00000,10097.00000,908.00000,-5379.00000,14851.00000,-2689.00000,25079.00000,88.00000,-97416.00000,4964.00000,-92452.00000,-27461.00000,-119825.00000,-10202.00000,35861.00000,25659.00000,-419.00000,-419.00000,-5194.00000,67661.00000,87707.00000,-5879.00000,2545.00000,-5194.00000
2011-12-31,18976.00000,5105.00000,10349.00000,15454.00000,10186.00000,36443.00000,-26487.00000,55345.00000,95932.00000,102.00000,-76082.00000,-46822.00000,-122904.00000,-47950.00000,-170752.00000,-27234.00000,-55886.00000,-83120.00000,-8863.00000,-8863.00000,-3895.00000,203584.00000,107706.00000,32035.00000,2675.00000,-3895.00000
2010-12-31,17370.00000,4965.00000,15957.00000,20922.00000,3513.00000,-72082.00000,2966.00000,-48278.00000,-3752.00000,-4910.00000,14668.00000,31860.00000,46528.00000,12384.00000,54002.00000,-43862.00000,8333.00000,-35529.00000,-2999.00000,-3351.00000,-1486.00000,-8851.00000,-49217.00000,1361.00000,3251.00000,-1486.00000
2009-12-31,11728.00000,4358.00000,30638.00000,34996.00000,5173.00000,133488.00000,-42305.00000,69906.00000,122797.00000,-97.00000,93139.00000,-144610.00000,-51471.00000,80923.00000,29355.00000,-17117.00000,587.00000,-16530.00000,5756.00000,-19244.00000,-3422.00000,-113883.00000,-153079.00000,-689.00000,3355.00000,-3422.00000
