,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,1419.00000,918.00000,348.00000,1266.00000,-103.00000,809.00000,-1099.00000,-504.00000,-861.00000,1824.00000,-930.00000,,-39.00000,-39.00000,7.00000,-962.00000,-19.00000,-19.00000,-998.00000,-998.00000,-789.00000,,-1806.00000,-952.00000,138.00000,-789.00000
2022-01-31,2454.00000,869.00000,132.00000,1001.00000,17.00000,-328.00000,-201.00000,465.00000,-203.00000,3252.00000,-737.00000,-468.00000,-167.00000,-167.00000,,-1372.00000,-133.00000,-133.00000,-3473.00000,-3473.00000,-688.00000,-3.00000,-4297.00000,-2420.00000,141.00000,-688.00000
2021-01-31,1798.00000,839.00000,356.00000,1195.00000,73.00000,-435.00000,1676.00000,447.00000,1934.00000,4927.00000,-713.00000,,-74.00000,-74.00000,-1.00000,-788.00000,-24.00000,-24.00000,-284.00000,-284.00000,-568.00000,,-876.00000,3270.00000,135.00000,-568.00000
2020-01-31,1541.00000,812.00000,275.00000,1087.00000,-131.00000,237.00000,47.00000,-84.00000,-63.00000,2565.00000,-743.00000,-145.00000,-8.00000,-8.00000,1.00000,-895.00000,-15.00000,-15.00000,-955.00000,-955.00000,-527.00000,-1.00000,-1498.00000,171.00000,143.00000,-527.00000
2019-01-31,1464.00000,770.00000,154.00000,924.00000,28.00000,-194.00000,432.00000,-268.00000,20.00000,2408.00000,-819.00000,-787.00000,2098.00000,2098.00000,16.00000,508.00000,-48.00000,-48.00000,-1467.00000,-1467.00000,-497.00000,-6.00000,-2018.00000,884.00000,123.00000,-497.00000
2018-01-31,1000.00000,683.00000,288.00000,971.00000,315.00000,-335.00000,-196.00000,96.00000,170.00000,2141.00000,-688.00000,,-307.00000,-307.00000,-7.00000,-1002.00000,-46.00000,-46.00000,-1841.00000,-1841.00000,-409.00000,-1.00000,-2297.00000,-1133.00000,129.00000,-409.00000
2017-01-31,1228.00000,654.00000,331.00000,985.00000,-193.00000,199.00000,518.00000,33.00000,344.00000,2557.00000,-580.00000,,-356.00000,-356.00000,59.00000,-877.00000,-394.00000,-394.00000,-527.00000,-527.00000,-505.00000,8.00000,-1418.00000,272.00000,108.00000,-505.00000
2016-01-31,897.00000,657.00000,314.00000,971.00000,123.00000,86.00000,-536.00000,-104.00000,-525.00000,1343.00000,-649.00000,-51.00000,146.00000,146.00000,28.00000,-526.00000,-28.00000,-28.00000,-1008.00000,-1008.00000,-499.00000,-1.00000,-1536.00000,-455.00000,104.00000,-499.00000
2015-01-31,1235.00000,656.00000,-180.00000,476.00000,-19.00000,-141.00000,434.00000,-135.00000,224.00000,1935.00000,-561.00000,39.00000,-1224.00000,-1224.00000,34.00000,-1712.00000,-24.00000,-24.00000,50.00000,50.00000,-251.00000,2.00000,-223.00000,-246.00000,87.00000,-251.00000
2014-01-31,523.00000,716.00000,526.00000,1242.00000,7.00000,597.00000,-986.00000,-343.00000,-671.00000,1094.00000,-547.00000,206.00000,-180.00000,-180.00000,4.00000,-517.00000,381.00000,381.00000,171.00000,171.00000,-233.00000,,319.00000,852.00000,90.00000,-233.00000
2013-01-31,-420.00000,1654.00000,578.00000,2232.00000,-551.00000,-912.00000,1735.00000,-404.00000,-358.00000,1454.00000,-705.00000,-6.00000,56.00000,56.00000,117.00000,-538.00000,127.00000,127.00000,-97.00000,-97.00000,-224.00000,-17.00000,-211.00000,627.00000,107.00000,-224.00000
2012-02-29,22.00000,2152.00000,406.00000,2558.00000,41.00000,120.00000,574.00000,-47.00000,713.00000,3293.00000,-766.00000,-174.00000,178.00000,178.00000,38.00000,-724.00000,509.00000,509.00000,-1433.00000,-1433.00000,-228.00000,-1326.00000,-2478.00000,96.00000,120.00000,-228.00000
2011-02-28,1366.00000,978.00000,209.00000,1187.00000,-371.00000,-400.00000,-443.00000,-116.00000,-1363.00000,1190.00000,-744.00000,21.00000,148.00000,148.00000,6.00000,-569.00000,-99.00000,-99.00000,-1014.00000,-1014.00000,-237.00000,-7.00000,-1357.00000,-723.00000,121.00000,-237.00000
2010-02-28,1394.00000,926.00000,133.00000,1059.00000,-63.00000,-609.00000,141.00000,181.00000,-247.00000,2206.00000,-615.00000,-7.00000,40.00000,40.00000,42.00000,-540.00000,-210.00000,-210.00000,138.00000,138.00000,-234.00000,-42.00000,-348.00000,1328.00000,118.00000,-234.00000
2009-02-28,1033.00000,793.00000,328.00000,1121.00000,-419.00000,258.00000,139.00000,-250.00000,-277.00000,1877.00000,-1303.00000,-2170.00000,165.00000,165.00000,-119.00000,-3427.00000,894.00000,894.00000,83.00000,83.00000,-223.00000,-163.00000,591.00000,-940.00000,110.00000,-223.00000
