,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2171.00000,3533.00000,2081.00000,5614.00000,-1222.00000,-121.00000,1318.00000,-2886.00000,-2915.00000,4870.00000,-7131.00000,,,-28.00000,-28.00000,169.00000,-6990.00000,4236.00000,786.00000,5022.00000,599.00000,599.00000,-1334.00000,-2696.00000,1591.00000,-529.00000,-1334.00000
2021-12-31,1829.00000,7573.00000,-899.00000,6674.00000,-703.00000,-141.00000,440.00000,-5414.00000,-5491.00000,3012.00000,-7104.00000,,,-141.00000,-141.00000,3928.00000,-3317.00000,1841.00000,1299.00000,3140.00000,80.00000,80.00000,-1497.00000,-965.00000,758.00000,453.00000,-1497.00000
2020-12-31,1954.00000,6527.00000,1047.00000,7574.00000,697.00000,-85.00000,-129.00000,-5916.00000,-5293.00000,4235.00000,-8002.00000,,,-123.00000,-123.00000,3789.00000,-4336.00000,1067.00000,661.00000,1728.00000,45.00000,45.00000,-1492.00000,-136.00000,145.00000,44.00000,-1492.00000
2019-12-31,3028.00000,5780.00000,-432.00000,5348.00000,-243.00000,-87.00000,-425.00000,-1511.00000,-2330.00000,6659.00000,-7236.00000,,,-36.00000,-36.00000,12.00000,-7260.00000,664.00000,656.00000,1320.00000,112.00000,112.00000,-1408.00000,-82.00000,-58.00000,-659.00000,-1408.00000
2018-12-31,2079.00000,5971.00000,1614.00000,7585.00000,-565.00000,-37.00000,551.00000,-1309.00000,-1020.00000,8644.00000,-7503.00000,-154.00000,,-235.00000,-235.00000,58.00000,-7834.00000,1329.00000,-213.00000,1116.00000,105.00000,105.00000,-1332.00000,-108.00000,-219.00000,591.00000,-1332.00000
2017-12-31,3869.00000,5427.00000,25.00000,5452.00000,-470.00000,-72.00000,-388.00000,-1210.00000,-1841.00000,7480.00000,-7365.00000,-208.00000,,-268.00000,-268.00000,-130.00000,-7971.00000,730.00000,-340.00000,390.00000,1300.00000,1300.00000,-1236.00000,313.00000,767.00000,276.00000,-1236.00000
2016-12-31,1196.00000,5576.00000,2138.00000,7714.00000,-432.00000,7.00000,771.00000,-1371.00000,-449.00000,8461.00000,-8492.00000,-6923.00000,360.00000,-242.00000,118.00000,-153.00000,-15450.00000,2780.00000,-575.00000,2205.00000,55.00000,-135.00000,-1166.00000,287.00000,1191.00000,-5798.00000,-1166.00000
2015-12-31,2250.00000,4023.00000,1607.00000,5630.00000,240.00000,4.00000,-121.00000,-484.00000,-264.00000,7616.00000,-7477.00000,-40.00000,,-252.00000,-252.00000,-53.00000,-7822.00000,4022.00000,80.00000,4102.00000,1900.00000,1900.00000,-1105.00000,-67.00000,4830.00000,4624.00000,-1105.00000
2014-12-31,1820.00000,4555.00000,1329.00000,5884.00000,-318.00000,-380.00000,49.00000,-2455.00000,-3247.00000,4457.00000,-6077.00000,-246.00000,335.00000,1568.00000,1903.00000,-179.00000,-4599.00000,1918.00000,122.00000,2040.00000,35.00000,35.00000,-1486.00000,-178.00000,411.00000,269.00000,-1486.00000
2013-12-31,1729.00000,3950.00000,209.00000,4159.00000,-97.00000,-100.00000,-116.00000,-115.00000,455.00000,6343.00000,-5395.00000,,,-183.00000,-183.00000,184.00000,-5394.00000,466.00000,332.00000,798.00000,47.00000,-46.00000,-1249.00000,-329.00000,-826.00000,123.00000,-1249.00000
2012-12-31,1171.00000,4079.00000,1509.00000,5588.00000,243.00000,26.00000,-632.00000,-809.00000,-628.00000,6131.00000,-5418.00000,943.00000,,-203.00000,-203.00000,102.00000,-4576.00000,882.00000,-197.00000,685.00000,72.00000,72.00000,-1716.00000,-126.00000,-1085.00000,470.00000,-1716.00000
2011-12-31,2499.00000,2316.00000,2532.00000,4848.00000,57.00000,-58.00000,-254.00000,-2731.00000,-2494.00000,4853.00000,-4042.00000,-387.00000,,-191.00000,-191.00000,17.00000,-4603.00000,410.00000,161.00000,571.00000,38.00000,38.00000,-1393.00000,-62.00000,-846.00000,-596.00000,-1393.00000
2010-12-31,2563.00000,2943.00000,1397.00000,4340.00000,-232.00000,-62.00000,472.00000,-1294.00000,-1659.00000,5244.00000,-3326.00000,-893.00000,,-137.00000,-137.00000,462.00000,-3894.00000,-236.00000,-155.00000,-391.00000,48.00000,48.00000,-1389.00000,-16.00000,-1748.00000,-398.00000,-1389.00000
2009-12-31,2707.00000,2601.00000,741.00000,3342.00000,234.00000,51.00000,-254.00000,43.00000,45.00000,6094.00000,-3273.00000,,,-226.00000,-226.00000,41.00000,-3458.00000,-495.00000,-56.00000,-551.00000,42.00000,42.00000,-1385.00000,-3.00000,-1897.00000,739.00000,-1385.00000
