,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4479.00000,2019.00000,169.00000,2188.00000,56.00000,-573.00000,-12.00000,-1528.00000,5139.00000,-3361.00000,,,,-79.00000,-3440.00000,1220.00000,1220.00000,-1222.00000,-1222.00000,-1706.00000,85.00000,-1623.00000,76.00000,95.00000,-1706.00000
2021-12-31,5365.00000,1998.00000,-403.00000,1595.00000,-472.00000,-618.00000,-101.00000,755.00000,7715.00000,-1868.00000,-33.00000,,,-63.00000,-1964.00000,-260.00000,-260.00000,-278.00000,-278.00000,-914.00000,112.00000,-1340.00000,4411.00000,98.00000,-914.00000
2020-12-31,865.00000,1528.00000,-41.00000,1487.00000,132.00000,42.00000,-27.00000,665.00000,3017.00000,-1257.00000,,,,-7.00000,-1264.00000,-193.00000,-193.00000,51.00000,51.00000,-73.00000,87.00000,-128.00000,1625.00000,99.00000,-73.00000
2019-12-31,-189.00000,1412.00000,-90.00000,1322.00000,119.00000,259.00000,60.00000,349.00000,1482.00000,-2091.00000,,,,-12.00000,-2103.00000,-1318.00000,-1318.00000,2.00000,2.00000,-373.00000,133.00000,-1556.00000,-2177.00000,63.00000,-373.00000
2018-12-31,2894.00000,1754.00000,-129.00000,1625.00000,649.00000,-537.00000,-28.00000,-656.00000,3863.00000,-1514.00000,-3500.00000,,,-4.00000,-5018.00000,-2085.00000,-2085.00000,3500.00000,3500.00000,-218.00000,-297.00000,900.00000,-255.00000,76.00000,-218.00000
2017-12-31,2095.00000,1714.00000,60.00000,1774.00000,427.00000,-169.00000,-28.00000,797.00000,4666.00000,-1410.00000,,,,89.00000,-1321.00000,-2857.00000,-2857.00000,,,-176.00000,-22.00000,-3055.00000,290.00000,71.00000,-176.00000
2016-12-31,-4025.00000,2610.00000,5065.00000,7675.00000,-175.00000,117.00000,37.00000,87.00000,3737.00000,-2813.00000,5932.00000,,,434.00000,3553.00000,-3944.00000,-3944.00000,1515.00000,1515.00000,-699.00000,-38.00000,-3166.00000,4079.00000,86.00000,-699.00000
2015-12-31,-12089.00000,3497.00000,11405.00000,14902.00000,813.00000,379.00000,97.00000,407.00000,3220.00000,-6353.00000,,,,107.00000,-6246.00000,1595.00000,1595.00000,1936.00000,1936.00000,-725.00000,-20.00000,2786.00000,-121.00000,85.00000,-725.00000
2014-12-31,-745.00000,3863.00000,3321.00000,7184.00000,215.00000,-249.00000,-176.00000,-808.00000,5631.00000,-7215.00000,3193.00000,,,221.00000,-3801.00000,-1596.00000,-1596.00000,,,-1729.00000,-26.00000,-3351.00000,-1566.00000,106.00000,-1729.00000
2013-12-31,3441.00000,2797.00000,515.00000,3312.00000,49.00000,-288.00000,-211.00000,-614.00000,6139.00000,-5286.00000,-5441.00000,,,-181.00000,-10908.00000,6025.00000,6025.00000,,-228.00000,-2537.00000,-211.00000,3049.00000,-1720.00000,173.00000,-2537.00000
2012-12-31,3980.00000,1179.00000,278.00000,1457.00000,-365.00000,-729.00000,-322.00000,-1663.00000,3774.00000,-3494.00000,,,,31.00000,-3463.00000,-157.00000,-157.00000,,,-1242.00000,-29.00000,-1428.00000,-1117.00000,100.00000,-1242.00000
2011-12-31,5747.00000,1022.00000,744.00000,1766.00000,1246.00000,-693.00000,-227.00000,-893.00000,6620.00000,-2534.00000,,,,-1.00000,-2535.00000,-1265.00000,-1265.00000,,,-1814.00000,78.00000,-3001.00000,1084.00000,117.00000,-1814.00000
2010-12-31,5544.00000,1036.00000,723.00000,1759.00000,-680.00000,-593.00000,-220.00000,-1030.00000,6273.00000,-1412.00000,,-500.00000,-500.00000,43.00000,-1869.00000,-1654.00000,-1654.00000,81.00000,81.00000,-1796.00000,47.00000,-3322.00000,1082.00000,121.00000,-1701.00000
2009-12-31,3534.00000,1014.00000,522.00000,1536.00000,-962.00000,-159.00000,184.00000,-673.00000,4397.00000,-1587.00000,,,,-14.00000,-1601.00000,-1050.00000,-1050.00000,746.00000,746.00000,-229.00000,-479.00000,-1012.00000,1784.00000,102.00000,
