,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,956.10000,327.00000,77.20000,404.20000,-118.20000,-408.00000,-135.90000,-764.90000,608.80000,-178.10000,-252.60000,,2.60000,2.60000,-2.00000,-430.10000,-29.90000,-29.40000,-59.30000,-320.10000,-320.10000,-457.30000,-62.70000,-899.40000,-719.10000,-457.30000
2021-12-31,972.80000,359.60000,80.40000,439.99990,-1218.60000,1858.10000,-104.30000,644.10000,2075.60000,-195.30000,-16.30000,,34.80000,34.80000,-8.50000,-185.30000,-572.80000,-10.80000,-583.60000,8.00000,8.00000,-427.70000,-80.90000,-1084.20000,760.70000,-427.70000
2020-12-31,354.20000,369.00000,345.70000,714.70000,673.90000,-27.00000,-67.90000,758.30000,1847.20000,-167.50000,-4.90000,,13.50000,13.50000,-57.30000,-216.20000,142.50000,1.50000,144.00000,6.50000,6.50000,-398.10000,-98.60000,-346.20000,1315.80000,-398.10000
2019-12-31,673.90000,368.00000,74.90000,442.90000,-149.90000,546.00000,-17.90000,405.60000,1529.20000,-198.50000,-0.60000,,3.80000,3.80000,33.60000,-161.70000,-403.30000,-19.80000,-423.10000,4.30000,4.30000,-363.10000,-61.10000,-843.00000,518.50000,-363.10000
2018-12-31,637.70000,291.60000,82.50000,374.10000,-813.30000,428.70000,-39.10000,-447.90000,565.10000,-177.10000,-2309.80000,,,,-4.60000,-2491.50000,2389.40000,-17.50000,2371.90000,-101.60000,-101.60000,-322.10000,-95.00000,1853.20000,-120.50000,-322.10000
2017-12-31,570.40000,244.90000,24.10000,269.00000,-127.90000,336.40000,62.50000,29.70000,881.80000,-155.90000,-30.60000,,,,-9.70000,-196.20000,-324.60000,3.00000,-321.60000,-287.00000,-287.00000,-280.30000,-116.00000,-1004.90000,-302.50000,-280.30000
2016-12-31,629.00000,251.40000,102.70000,354.10000,-222.90000,-147.40000,-74.40000,-505.80000,512.80000,-200.70000,-52.00000,,,,-11.20000,-263.90000,-1.80000,-56.20000,-58.00000,-293.10000,-293.10000,-238.40000,-76.90000,-666.40000,-405.90000,-238.40000
2015-12-31,480.50000,233.10000,111.00000,344.10000,-236.10000,419.00000,-307.90000,-160.30000,688.50000,-161.10000,-28.60000,,,,-10.00000,-199.70000,-2.00000,51.80000,49.80000,-271.70000,-271.70000,-195.50000,-73.50000,-490.90000,-158.30000,-195.50000
2014-12-31,505.40000,222.40000,91.10000,313.50000,-20.10000,-159.20000,-7.10000,-146.60000,696.40000,-148.70000,-67.80000,,,,17.60000,-198.90000,147.90000,-66.30000,81.60000,-255.00000,-255.00000,-159.00000,-40.30000,-372.70000,23.80000,-159.00000
2013-12-31,288.90000,209.10000,98.20000,307.30000,-157.10000,417.70000,-248.70000,-5.50000,592.90000,-173.00000,-59.00000,10.80000,,10.80000,-3.30000,-224.50000,-602.40000,5.40000,-597.00000,-434.40000,-434.40000,-137.60000,-43.30000,-1212.30000,-938.00000,-126.00000
2012-12-31,464.60000,194.00000,26.30000,220.30000,-44.70000,-120.40000,-117.10000,-340.00000,357.20000,-169.20000,-38.30000,-1.20000,,-1.20000,-1.50000,-210.20000,643.10000,12.60000,655.70000,-339.70000,-339.70000,-115.00000,-69.70000,131.30000,272.10000,-103.40000
2011-12-31,551.50000,193.90000,-37.90000,156.00000,-219.20000,-62.90000,-184.00000,-462.20000,273.50000,-140.30000,-63.10000,,133.50000,133.50000,11.10000,-58.80000,-38.90000,42.50000,3.60000,-388.80000,-388.80000,-122.70000,-33.10000,-541.00000,-373.00000,-111.10000
2010-12-31,281.20000,194.00000,66.70000,260.70000,-547.60000,867.40000,-135.80000,250.40000,817.30000,-96.30000,-61.90000,,,,49.70000,-108.50000,-217.30000,17.40000,-199.90000,,-265.90000,-19.60000,-62.30000,-547.70000,180.50000,0.00000
2009-12-31,143.40000,231.50000,133.60000,365.10000,179.50000,230.00000,-27.20000,18.90000,540.80000,-67.10000,-72.40000,158.50000,,158.50000,10.40000,29.40000,-195.70000,,-195.70000,,,-27.60000,-43.70000,-267.00000,388.00000,0.00000
