,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1436.00000,709.00000,939.00000,1648.00000,,-426.00000,-398.00000,-249.00000,-275.00000,2837.00000,-185.00000,-26.00000,,-912.00000,-912.00000,-12.00000,-1135.00000,-3455.00000,3250.00000,-205.00000,-379.00000,-379.00000,-1080.00000,-64.00000,-1728.00000,-33.00000,52.00000,-1080.00000
2021-12-31,2146.00000,708.00000,-351.00000,357.00000,,-133.00000,-152.00000,-240.00000,351.00000,2874.00000,-301.00000,-32.00000,,578.00000,578.00000,-35.00000,210.00000,-4074.00000,2299.00000,-1775.00000,140.00000,140.00000,-955.00000,-172.00000,-2762.00000,313.00000,88.00000,-955.00000
2020-12-31,1325.00000,653.00000,252.00000,905.00000,,-107.00000,-5.00000,-255.00000,166.00000,2456.00000,-258.00000,-56.00000,,-5.00000,-5.00000,3.00000,-316.00000,-1257.00000,283.00000,-974.00000,,,-846.00000,-170.00000,-1990.00000,144.00000,85.00000,-846.00000
2019-12-31,1254.00000,658.00000,144.00000,802.00000,-7.00000,-24.00000,,-222.00000,366.00000,2474.00000,-83.00000,-35.00000,-8.00000,-16.00000,-16.00000,-8.00000,-150.00000,-1491.00000,167.00000,-1324.00000,,,-844.00000,-196.00000,-2364.00000,-28.00000,64.00000,-844.00000
2018-12-31,589.00000,434.00000,102.00000,536.00000,82.00000,185.00000,,-87.00000,457.00000,1613.00000,-177.00000,,-18945.00000,-39.00000,-39.00000,30.00000,-19131.00000,-764.00000,9080.00000,8316.00000,9000.00000,9000.00000,-232.00000,493.00000,17577.00000,44.00000,35.00000,-232.00000
2017-12-31,1076.00000,165.00000,-154.00000,11.00000,-38.00000,,24.00000,-39.00000,-45.00000,1038.00000,-199.00000,,-1552.00000,-9.00000,-9.00000,-3.00000,-1763.00000,-574.00000,466.00000,-108.00000,-379.00000,-379.00000,-414.00000,-6.00000,-907.00000,-1629.00000,36.00000,-414.00000
2017-09-30,383.00000,256.00000,187.00000,443.00000,-54.00000,108.00000,,-3.00000,896.00000,1749.00000,-66.00000,,,250.00000,250.00000,-4.00000,180.00000,-1983.00000,100.00000,-1883.00000,,,-55.00000,-88.00000,-2026.00000,-89.00000,58.00000,-55.00000
2016-12-31,847.00000,160.00000,39.00000,199.00000,-28.00000,3.00000,32.00000,-103.00000,-98.00000,961.00000,-174.00000,,2.00000,-9.00000,-9.00000,-8.00000,-189.00000,-900.00000,1950.00000,1050.00000,-505.00000,-505.00000,-386.00000,-51.00000,108.00000,876.00000,45.00000,-386.00000
2015-12-31,764.00000,163.00000,85.00000,248.00000,-25.00000,-11.00000,-9.00000,-3.00000,-6.00000,1014.00000,-159.00000,,,-36.00000,-36.00000,1.00000,-194.00000,-5.00000,750.00000,745.00000,-491.00000,-491.00000,-355.00000,-36.00000,-137.00000,674.00000,44.00000,-355.00000
2014-12-31,703.00000,170.00000,104.00000,274.00000,-5.00000,-8.00000,29.00000,33.00000,37.00000,1022.00000,-162.00000,-1.00000,-19.00000,,,-3.00000,-185.00000,-1.00000,-65.00000,-66.00000,-359.00000,-359.00000,-317.00000,-5.00000,-747.00000,84.00000,48.00000,-317.00000
2013-12-31,624.00000,169.00000,175.00000,344.00000,-22.00000,-3.00000,-6.00000,-100.00000,-137.00000,866.00000,-178.00000,,-10.00000,-5.00000,-5.00000,-2.00000,-195.00000,-251.00000,65.00000,-186.00000,-385.00000,-385.00000,-302.00000,-7.00000,-880.00000,-213.00000,37.00000,-302.00000
2012-12-31,629.00000,175.00000,126.00000,301.00000,37.00000,17.00000,12.00000,-28.00000,-430.00000,482.00000,-210.00000,-7.00000,,,,,-217.00000,,50.00000,50.00000,-378.00000,-378.00000,-284.00000,9.00000,-603.00000,-335.00000,35.00000,-284.00000
2011-12-31,606.00000,167.00000,-464.00000,-297.00000,-73.00000,29.00000,-9.00000,-18.00000,450.00000,783.00000,-235.00000,-3.00000,,-2.00000,-2.00000,,-240.00000,,600.00000,600.00000,-502.00000,-502.00000,-251.00000,1.00000,-152.00000,386.00000,34.00000,-251.00000
2010-12-31,528.00000,191.00000,166.00000,357.00000,-2.00000,19.00000,37.00000,1567.00000,1643.00000,2535.00000,-228.00000,,,-1.00000,-1.00000,4.00000,-225.00000,,-978.00000,-978.00000,-1107.00000,-1107.00000,-194.00000,-1.00000,-2280.00000,35.00000,29.00000,-194.00000
2009-12-31,555.00000,224.00000,122.00000,346.00000,5.00000,3.00000,,-32.00000,-22.00000,865.00000,-312.00000,,,61.00000,61.00000,,-251.00000,,-550.00000,-550.00000,1.00000,1.00000,,-5.00000,-554.00000,66.00000,19.00000,0.00000
