,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,806.99500,919.11700,-266.66400,652.45290,-1.22600,-4.69200,1454.75600,272.77500,,-158.17800,-158.17800,-6.80500,107.79200,-929.33690,-929.33690,168.87000,168.87000,-934.10100,-91.04400,-1785.61200,-223.06400,29.51300,-931.78300
2021-12-31,1396.71400,874.80500,-1041.06100,-166.25600,10.73100,29.72600,1260.18400,-363.52010,,-56.68400,-56.68400,-14.41600,-434.62000,291.45310,291.45310,89.71000,89.71000,-903.55800,-42.66100,-565.05600,260.50800,27.81000,-900.46800
2020-12-31,962.50100,881.68800,-506.41400,375.27400,-73.55800,-74.04400,1265.53600,678.66300,,-6.54800,-6.54800,-8.52900,663.58600,-1008.22900,-1028.22900,16.78300,16.78300,-887.02800,-47.91800,-1946.39300,-17.27100,23.17400,-883.93800
2019-12-31,1009.70800,887.40200,-469.38000,418.02190,20.19500,29.54100,1456.98400,-833.32900,,-9.87300,-9.87300,71.37800,-771.82400,175.41410,195.41410,80.90100,80.90100,-834.20100,-126.58700,-684.47400,0.68600,24.44900,-831.11100
2018-12-31,685.19200,842.64790,-197.19400,645.45400,22.92400,25.64900,1356.29500,-364.00310,,-6.57100,-6.57100,-6.26000,-376.83400,-184.02340,-184.02340,34.53400,34.53400,-785.98500,-28.42300,-963.91000,15.55100,27.13200,-782.12200
2017-12-31,628.38100,778.48600,-128.16800,650.31800,-21.53200,-12.91100,1265.78800,-562.30600,,-6.03400,-6.03400,-25.95600,-594.29600,-42.13230,-42.13230,35.34000,35.34000,-742.46600,-40.56000,-789.81800,-118.32600,24.99700,-739.37500
2016-12-31,4480.10400,745.40200,-3970.81400,-3225.41200,-10.23300,-40.56900,1214.12300,5874.04600,,67.54900,67.54900,-37.65300,5903.94200,-2076.90500,-2076.90500,39.51900,39.51900,-4774.04300,-242.66300,-7054.09200,63.97300,30.53000,-4771.72500
2015-12-31,908.01800,787.58400,-305.40300,482.18110,-27.58500,-33.57100,1356.62800,-666.58890,,-20.48400,-20.48400,-8.74100,-695.81400,465.14790,132.14790,63.91200,47.70600,-788.10500,-57.91600,-666.16700,-5.35300,34.60700,-784.74800
2014-12-31,658.68300,775.98500,-173.58600,602.39910,33.96300,62.99100,1324.07300,-668.97200,-44.79600,-15.71100,-15.71100,84.81300,-644.66600,-156.38000,61.62000,84.18800,84.18800,-780.80400,-57.86500,-692.86100,-13.45400,27.54300,-776.65900
2013-12-31,1905.35300,899.84400,-1951.57000,-1051.72600,18.27900,15.28900,868.91600,3925.75400,-4000.87500,-61.59300,-61.59300,129.73700,-6.97700,-796.90380,-681.90380,20.65300,20.65300,-685.75500,-73.98900,-1420.99500,-559.05600,35.47400,-681.61000
2012-12-31,881.20400,712.39000,-513.80210,198.58800,-19.63700,-33.63700,1046.15500,-136.81510,,-5.29100,-5.29100,-119.04900,-261.15500,-1311.46100,-1311.46100,1471.47800,1321.45500,-486.86700,-79.45800,-556.33100,228.66900,24.83200,-473.45100
2011-12-31,935.19700,683.79210,-808.48600,-124.69400,0.14200,-10.03600,800.46700,-213.31900,15.55100,2.51600,2.51600,-1.95600,-197.20800,-363.63210,-363.63210,274.06800,274.06800,-444.85200,-116.33000,-650.74600,-47.48700,21.17700,-432.02300
2010-12-31,295.98300,686.14200,-251.88100,434.26100,5.24700,-4.20700,726.03700,-789.00990,-31.16900,25.00000,25.00000,155.72100,-639.45800,187.70410,187.70410,404.27300,403.39600,-394.44000,-45.11900,151.54100,238.12000,18.87500,-379.96900
2009-12-31,382.02900,619.92600,-296.63600,323.29000,12.01400,-34.50700,670.81200,254.93600,-11.48000,137.93100,137.93100,-276.15800,105.22900,-1038.96300,-1038.96300,99.48800,99.48800,-503.09500,-30.97700,-1473.54700,-697.50600,17.84300,-488.60400
