,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,597.00000,55.00000,680.00000,735.00000,-848.00000,3939.00000,-547.00000,2363.00000,3695.00000,,149.00000,-3762.00000,-3613.00000,195.00000,-3418.00000,-6.00000,-6.00000,-78.00000,-78.00000,-255.00000,-20.00000,-359.00000,-42.00000,45.00000,-255.00000
2021-12-31,1379.00000,76.00000,-4.00000,72.00000,-774.00000,4083.00000,-996.00000,2381.00000,3833.00000,,-43.00000,-3881.00000,-3924.00000,54.00000,-3869.00000,1177.00000,1177.00000,-239.00000,-239.00000,-247.00000,-17.00000,674.00000,639.00000,43.00000,-247.00000
2020-12-31,514.00000,50.00000,-107.00000,-57.00000,-538.00000,3105.00000,-391.00000,2416.00000,2874.00000,,-718.00000,-3470.00000,-4188.00000,505.00000,-3683.00000,1278.00000,1278.00000,-214.00000,-214.00000,-249.00000,-16.00000,800.00000,-6.00000,39.00000,-249.00000
2019-12-31,1009.46100,30.93600,-69.68600,-38.75000,5.42600,827.22000,-188.83400,881.29100,1852.00200,,-167.29000,-1503.59700,-1670.88700,258.39500,-1412.49200,,,-27.73800,-27.73800,-234.32200,-13.62700,-275.68700,151.94100,34.01800,-234.32200
2018-12-31,89.04100,29.27200,244.12800,273.40000,-894.57900,2038.70700,-631.43500,247.62790,610.06900,,455.35000,-3883.03700,-3427.68700,3148.06600,-279.62100,,,-83.46100,-83.46100,-216.22100,-16.91200,-316.59400,21.02800,32.36900,-216.22100
2017-12-31,482.75100,45.86700,-72.07200,-26.20500,-588.93100,1668.06400,-258.90900,706.14700,1162.69300,,-73.92300,-6207.46800,-6281.39100,5548.81400,-732.57700,,,-55.31000,-55.31000,-207.24200,-12.90600,-275.45800,153.14500,30.29700,-207.24200
2016-12-31,996.34400,49.16700,95.62200,144.78900,-218.60500,474.12600,-67.58000,242.46690,1383.60000,47.72100,368.97700,-5907.44300,-5538.46600,4832.87200,-657.87300,,,-375.53700,-375.53700,-195.38400,-10.59500,-581.51600,198.26400,26.39800,-195.38400
2015-12-31,977.86900,50.90100,259.36800,310.26900,-363.31400,252.34300,-32.16100,-179.90300,1108.23500,3.93400,341.73300,-1061.25000,-719.51680,34.48200,-681.10100,,,-386.46200,-386.46200,-175.10700,-11.60100,-573.17000,-153.81600,21.23700,-175.10700
2014-12-31,1199.15600,49.26000,-11.72900,37.53100,-162.27700,182.77500,-233.75600,-181.92500,1054.76200,,-76.48300,-793.13810,-869.62110,111.04900,-758.57200,150.00000,150.00000,-482.18500,-482.18500,-145.91300,,-478.09800,-173.90800,21.19700,-145.91300
2013-12-31,1265.26000,66.51500,-211.40100,-144.88600,-98.71500,23.52900,-160.77500,-22.11300,1098.26100,,-357.45100,36.17500,-321.27600,97.27300,-224.00300,-329.89700,-329.89700,-570.41500,-570.41500,-106.68100,230.50000,-776.49300,74.33200,31.84400,-106.68100
2012-12-31,828.95400,61.89600,-101.69800,-39.80200,-208.96800,-95.86100,172.23100,-94.52000,694.63200,,-175.04300,-178.32600,-353.36900,88.82100,-264.54800,,,-268.51500,-268.51500,-100.40200,,-368.91700,88.39900,31.98400,-100.40200
2011-12-31,-80.48600,47.92100,-125.04100,-77.12000,-138.01100,809.06990,121.58300,875.34400,717.73800,-63.10000,100.96900,-426.41090,-325.44190,121.61800,-266.92400,,-50.00000,-80.22100,-80.22100,-103.84800,,-234.06900,190.24300,17.69300,-103.84800
2010-12-31,610.75400,46.17100,-65.10200,-18.93100,70.03200,414.55800,-147.98700,326.65200,918.47500,,-110.24100,-226.53690,-336.77790,66.76500,-270.01300,-200.00000,-150.00000,-395.48800,-395.48800,-108.47700,,-653.96500,10.81000,14.78600,-108.47700
2009-12-31,806.98900,32.36400,84.45900,116.82300,1.70800,-2.92100,-137.86100,-139.07400,784.73800,,1228.03200,-1793.78500,-565.75290,193.39700,-372.35600,-83.02600,-83.02600,-183.31300,-183.31300,-116.85700,,-383.19600,41.90400,13.34700,-116.85700
