,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,3889.00000,1281.00000,852.00000,2133.00000,1005.00000,-91.00000,-464.00000,,450.00000,6119.00000,-1890.00000,-4.00000,0.00000,121.00000,121.00000,-204.00000,-1977.00000,,-4.00000,-4.00000,-420.00000,-420.00000,-3246.00000,263.00000,-3407.00000,679.00000,70.00000,-3246.00000
2021-12-31,5617.00000,1428.00000,346.00000,1774.00000,-1519.00000,-742.00000,1301.00000,,-960.00000,7695.00000,-1959.00000,-106.00000,346.00000,338.00000,684.00000,-121.00000,-1502.00000,-3925.00000,-296.00000,-4221.00000,-463.00000,-463.00000,-1486.00000,-215.00000,-6385.00000,-288.00000,66.00000,-1486.00000
2020-12-31,1427.00000,1406.00000,871.00000,2277.00000,-246.00000,356.00000,217.00000,,327.00000,3404.00000,-1947.00000,-2440.00000,-156.00000,-295.00000,-451.00000,-68.00000,-4906.00000,3498.00000,254.00000,3752.00000,-4.00000,-4.00000,-1405.00000,-72.00000,2271.00000,877.00000,55.00000,-1405.00000
2019-12-31,3397.00000,1323.00000,279.00000,1602.00000,367.00000,-96.00000,-251.00000,,20.00000,4961.00000,-2694.00000,,403.00000,826.00000,1229.00000,-170.00000,-1635.00000,2057.00000,425.00000,2482.00000,-3752.00000,-3752.00000,-1462.00000,-103.00000,-2835.00000,487.00000,48.00000,-1462.00000
2018-12-31,4690.00000,1255.00000,281.00000,1536.00000,433.00000,-141.00000,-199.00000,,93.00000,5471.00000,-2105.00000,-1756.00000,373.00000,63.00000,436.00000,-134.00000,-3559.00000,-394.00000,810.00000,416.00000,-1854.00000,-1854.00000,-1554.00000,-16.00000,-3008.00000,-1127.00000,39.00000,-1554.00000
2017-12-31,4877.00000,1189.00000,-652.00000,537.00000,-521.00000,-237.00000,165.00000,,-593.00000,5206.00000,-1547.00000,155.00000,-79.00000,-789.00000,-868.00000,504.00000,-1756.00000,-10.00000,-493.00000,-503.00000,-866.00000,-866.00000,-1415.00000,-75.00000,-2859.00000,650.00000,55.00000,-1415.00000
2016-12-31,3837.00000,1080.00000,329.00000,1409.00000,-383.00000,152.00000,383.00000,,152.00000,5606.00000,-2243.00000,209.00000,-14.00000,-126.00000,-140.00000,-127.00000,-2301.00000,812.00000,177.00000,989.00000,-2938.00000,-2938.00000,-1395.00000,-5.00000,-3349.00000,-53.00000,38.00000,-1395.00000
2015-12-31,4474.00000,1063.00000,180.00000,1243.00000,780.00000,308.00000,-786.00000,,302.00000,5842.00000,-1440.00000,,416.00000,-47.00000,369.00000,25.00000,-1046.00000,984.00000,61.00000,1045.00000,-4656.00000,-4656.00000,-1410.00000,171.00000,-4850.00000,-102.00000,53.00000,-1410.00000
2014-12-31,4168.00000,1039.00000,76.00000,1115.00000,358.00000,555.00000,-378.00000,156.00000,691.00000,6048.00000,-1499.00000,,-1688.00000,-350.00000,-2038.00000,6.00000,-3531.00000,992.00000,262.00000,1254.00000,-5788.00000,-5788.00000,-1403.00000,30.00000,-5907.00000,-3419.00000,,-1403.00000
2013-12-31,3853.00000,1042.00000,-63.00000,979.00000,-64.00000,-151.00000,275.00000,-165.00000,-105.00000,4835.00000,-1561.00000,,,,,-41.00000,-1602.00000,1472.00000,,1472.00000,-1949.00000,-1949.00000,-1127.00000,15.00000,-1589.00000,1718.00000,,-1127.00000
2012-12-31,2834.00000,1041.00000,741.00000,1782.00000,-101.00000,441.00000,-189.00000,-98.00000,53.00000,4787.00000,-1060.00000,48.00000,,,,-1.00000,-1013.00000,321.00000,,321.00000,,,-2415.00000,-51.00000,-2145.00000,1667.00000,,-2415.00000
2011-12-31,2140.00000,992.00000,-141.00000,851.00000,-89.00000,-732.00000,703.00000,-23.00000,-134.00000,2860.00000,-979.00000,,,,,-42.00000,-1021.00000,-2063.00000,,-2063.00000,,,-2893.00000,1.00000,-4955.00000,-3157.00000,,-2893.00000
2010-12-31,10084.00000,1453.00000,-9662.00000,-8209.00000,-702.00000,-353.00000,641.00000,91.00000,-319.00000,2043.00000,-537.00000,,12.00000,,12.00000,-22.00000,-547.00000,285.00000,-699.00000,-414.00000,2800.00000,2800.00000,,-265.00000,2121.00000,3664.00000,,0.00000
2009-12-31,-2871.00000,2121.00000,-1752.00000,369.00000,-129.00000,87.00000,99.00000,-832.00000,-775.00000,-787.00000,-759.00000,,23.00000,,23.00000,125.00000,-611.00000,1918.00000,-703.00000,1215.00000,,,,-114.00000,1101.00000,-300.00000,,
