,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-1548.00000,3239.00000,2176.00000,5415.00000,-158.00000,98.00000,-68.00000,844.00000,4735.00000,-2896.00000,8369.00000,3.00000,5476.00000,-8293.00000,-8293.00000,-200.00000,-200.00000,-780.00000,-40.00000,-9313.00000,898.00000,98.00000,-780.00000
2021-12-31,2033.00000,4019.00000,677.00000,4696.00000,-8.00000,-261.00000,93.00000,-245.00000,6501.00000,-2765.00000,,53.00000,-2712.00000,-1667.00000,-1667.00000,-1000.00000,-1000.00000,-1087.00000,-53.00000,-3807.00000,-18.00000,120.00000,-1087.00000
2020-12-31,-1232.00000,4710.00000,3477.00000,8187.00000,115.00000,-543.00000,-127.00000,-528.00000,6524.00000,-3576.00000,,12.00000,-3564.00000,-3054.00000,-3054.00000,,,-1109.00000,-87.00000,-4250.00000,-1290.00000,175.00000,-1109.00000
2019-12-31,-5269.00000,4829.00000,7181.00000,12010.00000,-5.00000,-261.00000,201.00000,-45.00000,6680.00000,-3535.00000,,-35.00000,-3570.00000,-750.00000,-750.00000,,,-1100.00000,-61.00000,-1911.00000,1199.00000,162.00000,-1100.00000
2018-12-31,-1733.00000,5120.00000,3614.00000,8734.00000,25.00000,124.00000,-211.00000,13.00000,7032.00000,-3017.00000,,-61.00000,-3078.00000,-1661.00000,-1661.00000,,,-2312.00000,-50.00000,-4023.00000,-69.00000,186.00000,-2312.00000
2017-12-31,1389.00000,3936.00000,-557.00000,3379.00000,31.00000,-123.00000,-990.00000,-1028.00000,3878.00000,-1577.00000,-7289.00000,-5.00000,-8871.00000,6826.00000,6826.00000,,,-1453.00000,-17.00000,5356.00000,363.00000,111.00000,-1453.00000
2016-12-31,626.00000,3918.00000,318.00000,4236.00000,-266.00000,109.00000,-78.00000,-278.00000,4608.00000,-2951.00000,,-43.00000,-2994.00000,-341.00000,-341.00000,,,-1167.00000,-10.00000,-1518.00000,96.00000,80.00000,-1167.00000
2015-12-31,878.00000,4186.00000,609.00000,4795.00000,-132.00000,-168.00000,-271.00000,-539.00000,5153.00000,-2841.00000,-4.00000,-8.00000,-2853.00000,-292.00000,-292.00000,-819.00000,-819.00000,-1198.00000,8.00000,-2301.00000,-1.00000,73.00000,-1198.00000
2014-12-31,772.00000,4407.00000,561.00000,4968.00000,-163.00000,70.00000,-355.00000,-532.00000,5188.00000,-2984.00000,-93.00000,,-3077.00000,-321.00000,-321.00000,-600.00000,-600.00000,-1228.00000,-2.00000,-2151.00000,-40.00000,79.00000,-1228.00000
2013-12-31,-239.00000,4495.00000,1664.00000,6159.00000,-212.00000,-76.00000,-71.00000,-331.00000,5559.00000,-2968.00000,-160.00000,-20.00000,-3148.00000,376.00000,376.00000,-1513.00000,-1513.00000,-1301.00000,-16.00000,-2454.00000,-43.00000,71.00000,-1301.00000
2012-12-31,777.00000,4692.00000,870.00000,5562.00000,-154.00000,-72.00000,8.00000,-232.00000,6065.00000,-2728.00000,,38.00000,-2690.00000,-1213.00000,-1213.00000,73.00000,73.00000,-1811.00000,-344.00000,-3295.00000,83.00000,110.00000,-1811.00000
2011-12-31,573.00000,3878.00000,556.00000,4434.00000,-102.00000,-58.00000,-770.00000,-899.00000,4201.00000,-2411.00000,-1252.00000,16.00000,-3647.00000,1030.00000,1030.00000,72.00000,72.00000,-1556.00000,-123.00000,-577.00000,-45.00000,,-1556.00000
2010-12-31,948.00000,1435.00000,223.00000,1658.00000,-118.00000,-96.00000,-411.00000,-587.00000,2045.00000,-864.00000,,5.00000,-859.00000,-426.00000,-426.00000,113.00000,113.00000,-879.00000,17.00000,-1175.00000,11.00000,,-879.00000
2009-12-31,647.00000,986.00000,75.00000,1061.00000,-80.00000,-32.00000,79.00000,-183.00000,1574.00000,-755.00000,77.00000,-1.00000,-679.00000,-453.00000,-453.00000,41.00000,41.00000,-560.00000,-4.00000,-976.00000,-81.00000,,-560.00000
