,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-01-31,-1339.09700,384.84200,853.08000,1237.92200,-87.49100,33.11500,168.63300,229.22300,128.04800,-20.03200,-80.33300,-234.36700,-234.36700,0.98000,-333.75200,981.92000,981.92000,-917.63200,-917.63200,-200.95700,-136.66900,-342.37300,794.81800
2021-01-31,-907.98000,334.73800,616.25200,950.99000,-153.72400,-9.08200,-67.26100,-233.87200,-190.86200,-51.70900,-56.38300,908.74300,908.74300,-3.46100,797.19000,577.61490,577.61490,-53.95700,-53.95700,-140.77600,382.88200,992.41100,618.65500
2020-01-31,-336.66800,252.17000,532.92300,785.09300,-679.89100,-5.44100,-109.62700,-736.06100,-287.63600,-103.70800,-594.87000,-5.50500,-5.50500,-3.89800,-707.98100,,,63.92600,63.92600,-164.16000,-100.23400,-1097.51200,545.42400
2019-01-31,-275.57700,158.31600,433.12300,591.43900,-220.94000,9.24000,111.07900,-19.40800,296.45400,-23.16000,-394.91000,-355.71410,-355.71410,-5.49400,-779.27800,2102.77400,2102.77400,-225.98000,-225.98000,-63.36900,1813.42500,1330.21800,441.93000
2018-01-31,-190.21800,87.59400,348.70900,436.30300,-150.95300,3.40900,119.87900,16.81900,262.90400,-20.50300,-59.35000,41.72300,41.72300,-0.37500,-38.50500,-1.80800,-1.80800,38.21900,38.21900,-137.83000,-101.41900,124.60100,358.46300
2017-01-31,-347.46000,68.93100,386.49800,455.42900,-48.65000,2.72000,135.60100,93.86500,201.83400,-45.34900,,-78.61200,-78.61200,-3.50000,-127.46100,,,35.16300,35.16300,-113.02500,-77.86200,-3.19500,378.04100
2016-01-31,-278.77200,19.49100,281.57500,301.06600,-53.25200,0.96500,155.58900,133.32800,155.62200,-51.33200,-142.69300,42.03500,42.03500,-1.50000,-153.49000,,,34.61100,34.61100,0.87400,35.48500,37.22600,292.25700
2015-01-31,-217.11600,12.49400,213.78000,226.27400,-45.06500,1.76600,116.77700,94.82200,103.98000,-13.95000,-2.50000,-628.71000,-628.71000,,-645.16000,,,31.28600,31.28600,0.32400,31.61000,-510.13800,214.17900
2014-01-31,-79.00800,6.69200,69.77100,76.46300,-19.40000,0.17100,79.86900,76.39300,73.84800,-9.30800,-29.73800,,,,-39.04600,,,574.50400,574.50400,-17.80500,556.69900,591.51400,69.36800
2013-01-31,-36.68100,4.67400,32.82400,37.49800,-29.45300,0.18700,63.11600,45.83100,46.64800,-9.07700,,,,0.51400,-8.56300,-2.28900,-2.28900,238.06200,238.06200,0.46200,236.23500,274.34000,19.48000
2012-01-31,-10.99200,2.12000,5.79400,7.91400,-20.34700,0.05500,29.29500,17.70000,14.62200,-8.18000,,,,0.12800,-8.05200,2.28900,2.28900,3.17600,3.17600,-0.17300,5.29200,11.86200,3.76000
2011-01-31,-3.80600,0.95800,1.95100,2.90900,-7.55800,0.53500,11.17300,9.27600,8.37900,-1.47100,,,,0.16100,-1.31000,,,1.03800,1.03800,-0.17500,0.86300,7.93200,1.58500
2010-01-31,-7.45100,0.93800,1.32200,2.26000,-1.78100,0.46200,6.88000,6.08800,0.89700,-0.35900,,4.87700,4.87700,0.20100,4.71900,,,1.59600,1.59600,-0.14300,1.45300,7.06900,1.30000
2009-01-31,0.00000,,,,,,,,,,,,,,,,,,,,,,
