,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-07-31,-267.00000,719.80000,1011.10000,1730.90000,-902.00000,69.30000,1370.20000,520.79990,1984.70000,-192.80000,-37.00000,-703.60000,-703.60000,-933.40000,-0.60000,-0.60000,-755.70000,-755.70000,-50.30000,-806.60000,244.70000,1011.10000
2021-07-31,-498.90000,758.90000,894.40000,1653.30000,-172.40000,-11.80000,456.20000,348.60000,1503.00000,-116.00000,-777.30000,-587.30000,-587.30000,-1480.60000,-0.90000,-0.90000,-1074.10000,-1074.10000,-29.00000,-1104.00000,-1081.60000,894.50000
2020-07-31,-267.00000,575.60000,655.30000,1230.90000,-435.60000,-12.80000,484.30000,71.80000,1035.70000,-214.40000,-583.50000,1085.90000,1085.90000,288.00000,1608.30000,1608.30000,-911.30000,-911.30000,-24.00000,673.00000,1996.70000,658.40000
2019-07-31,-81.90000,430.30000,479.70000,910.00000,-108.70000,32.30000,257.70000,227.50000,1055.60000,-131.20000,-773.70000,-921.00000,-921.00000,-1825.90000,-477.40000,-477.40000,-258.30000,-258.30000,-38.20000,-773.90000,-1544.20000,567.70000
2018-07-31,-122.20000,275.50000,537.80000,813.30000,-33.70000,3.70000,283.50000,347.00000,1038.10000,-112.00000,-374.10000,-33.90000,-33.90000,-520.00000,1350.40000,1350.40000,-61.10000,-61.10000,-43.70000,1245.60000,1763.70000,496.70000
2017-07-31,-203.00000,194.40000,495.40000,689.80000,-42.10000,5.90000,321.30000,382.00000,868.80000,-163.40000,-90.70000,-218.50000,-218.50000,-472.60000,,,-364.60000,-364.60000,-21.40000,-386.00000,10.20000,474.50000
2016-07-31,-192.70000,69.20000,392.80000,462.00000,-136.40000,15.10000,495.90000,389.30000,658.60000,-72.50000,,-266.40000,-266.40000,-338.90000,,,45.30000,45.30000,-6.40000,38.90000,358.60000,392.80000
2015-07-31,-131.30000,54.40000,221.30000,275.70000,-76.80000,-3.50000,222.00000,208.40000,352.80000,-33.80000,-15.10000,-630.10000,-630.10000,-679.00000,,,48.20000,48.20000,,48.20000,-278.00000,221.30000
2014-07-31,-226.50000,22.70000,150.90000,173.60000,-47.90000,-1.10000,162.90000,141.30000,88.40000,-36.10000,-85.70000,-198.50000,-198.50000,-320.30000,449.40000,449.40000,124.70000,124.70000,1.00000,575.10000,343.20000,99.80000
2013-07-31,-29.24600,11.83500,37.20400,49.03900,-41.81900,5.83000,104.55700,94.72600,114.51900,-22.44200,,-129.12300,-129.12300,-151.56500,,,20.95400,20.95400,4.06400,25.01800,-12.02800,43.70400
2012-07-31,0.73700,6.13400,14.58000,20.71400,-15.96500,3.77900,58.19100,55.91700,77.36800,-14.56500,,,,-14.56500,,,217.24900,217.24900,2.07300,219.32200,282.12500,13.83700
2011-07-31,-12.52800,2.18900,6.31000,8.49900,-15.43600,2.73400,42.49300,36.13100,32.10200,-13.00000,,,,-13.00000,,,1.68500,1.68500,0.89500,2.58000,21.68200,4.73300
2010-07-31,-21.13300,1.12300,1.29200,2.41500,-10.71200,0.89400,17.36500,16.03500,-2.68300,-1.68500,,,,-1.68500,,,1.83700,1.83700,,1.83700,-2.53100,0.86900
